,专用设备制造业天然气消费总量,交通运输、仓储和邮政业天然气消费总量,仪器仪表制造业天然气消费总量,其他制造业天然气消费总量,其他行业天然气消费总量,其他采矿业天然气消费总量,农、林、牧、渔、水利业天然气消费总量,农副食品加工业天然气消费总量,制造业天然气消费总量,化学原料及化学制品制造业天然气消费总量,化学纤维制造业天然气消费总量,医药制造业天然气消费总量,印刷业和记录媒介的复制天然气消费总量,塑料制品业天然气消费总量,天然气消费总量,家具制造业天然气消费总量,工业天然气消费总量,废弃资源综合利用业天然气消费总量,建筑业天然气消费总量,开采辅助活动天然气消费总量,批发、零售业和住宿、餐饮业天然气消费总量,文教体育用品制造业天然气消费总量,有色金属冶炼及压延加工业天然气消费总量,有色金属矿采选业天然气消费总量,木材加工及木、竹、藤、棕、草制品业天然气消费总量,橡胶制品业天然气消费总量,橡胶和塑料制品业天然气消费总量,水的生产和供应业天然气消费总量,汽车制造业天然气消费总量,烟草制品业天然气消费总量,煤炭开采和洗选业天然气消费总量,燃气生产和供应业天然气消费总量,生活消费天然气消费总量,电力、热力的生产和供应业天然气消费总量,电力、煤气及水生产和供应业天然气消费总量,电气机械及器材制造业天然气消费总量,皮革、毛皮、羽毛及其制品和制鞋业天然气消费总量,石油加工、炼焦及核燃料加工业天然气消费总量,石油和天然气开采业天然气消费总量,纺织业天然气消费总量,纺织服装、服饰业天然气消费总量,通信设备、计算机及其他电子设备制造业天然气消费总量,通用设备制造业天然气消费总量,造纸及纸制品业天然气消费总量,酒、饮料和精制茶制造业天然气消费总量,采掘业天然气消费总量,金属制品、机械和设备修理业天然气消费总量,金属制品业天然气消费总量,铁路、船舶、航空航天和其他运输设备制造业天然气消费总量,非金属矿物制品业天然气消费总量,非金属矿采选业天然气消费总量,食品制造业天然气消费总量,黑色金属冶炼及硣延加工业天然气消费总量,黑色金属矿采选业天然气消费总量
2003年,2.35975365546,18.82,0.03,0.970700952931,,,,0.15,169.990354653,128.132525787,,0.955234182561,0.1,0.1,339.08,,260.82,,0.7,,6.85,,0.800135594715,,,,,0.02,1.83892081713,0.12,,3.84952062926,,7.54269101363,11.3922116429,1.23192729669,,19.4642117216,79.4374337039,0.902203042007,,5.45715754809,0.22,0.27,0.02,79.4374337039,,0.970700952931,,3.74444063068,0.01,0.1,3.16244247141,
2004年,1.85300189696,26.1627480449,0.0564366059988,0.0280602805026,14.14,,,0.188122019996,187.210752182,122.898486631,0.201191797335,0.662003269586,0.188122019996,0.376244039992,396.721748045,0.0254237503924,278.63,,1.39,,9.179,,2.65469893493,0.023341239631,0.0775674118948,0.355127343247,,0.0385763014204,3.44221643495,0.265784433511,1.07490476639,4.70122759753,,12.743868444,17.4836723429,0.846549089982,0.0188122019996,18.2560857217,72.772859112,0.466704394527,0.094061009998,4.39800406021,1.24160533197,0.35082687387,0.529238035194,73.9355754749,,0.752488079984,,18.3983335556,0.0281750349348,1.3992957934,7.18626116385,0.0362953219279
2005年,2.70179038663,38.0059067278,0.0822880320802,0.0409136095503,9.122724,,,0.274293440267,219.368879167,141.439858207,0.29334997703,0.965241359235,0.193651168829,0.548586880535,467.630638728,0.0370693869849,328.79,,1.49,,10.792008,,3.87071382581,0.0173719178836,0.109328108,0.345198294576,,0.0562466128612,4.91941465796,0.258353334142,4.31727705954,7.32668963609,79.43,18.7760401604,26.1589764094,1.2343204812,0.0274293440267,18.2583459201,78.8830599089,0.556635604613,0.0892367992336,4.77206584262,1.81033670576,0.497294007205,0.502871307157,83.2621444236,,0.686739343283,,23.8086706152,0.0245949784773,1.28003605458,9.76484647352,0.019840558846
2006年,2.96854450134,47.2367037183,0.0969879790933,0.0482224232052,12.768,0.0,0.0,0.273977342071,263.11843218,177.420969129,0.345754063136,1.1376722277,0.228245044133,0.646586527288,561.410722718,0.0436914681152,383.9664,0.0,1.66,,13.1638,0.0,4.56217875338,0.0173518983312,0.128858498434,0.344800484997,,0.0617999731417,5.64742657727,0.258055605466,4.2220180071,9.57638693376,102.615819,29.4908177125,39.1290046193,1.41783274522,0.0301375076278,21.0298030712,77.4352089656,0.5559941328,0.0891339619539,5.24322311873,2.35072559497,0.586130686987,0.577635562867,81.7189632004,,0.809418567744,,23.7812332918,0.0245666350057,1.27856092967,11.2166323844,0.0198176944098
2007年,3.48026474583,46.8823479822,0.117793576013,0.0536535418792,16.0902,,,0.333021984078,309.080357152,207.046850442,0.406923262589,1.33856336378,0.267712672756,0.760303990627,705.226662682,0.0535425345512,479.66995,,2.09,,17.108,,5.35425345512,0.0248278644167,0.149919096743,0.406923262589,,0.0751149586309,6.62006369451,0.296019541403,4.98237022887,8.80401074535,143.3861647,70.7444774801,79.6236031841,1.65981857109,0.0377424915288,24.9998870929,85.8940372956,0.691251882228,0.0925061066883,6.15942660773,2.99553274678,0.685344442255,0.676034627678,90.9659896635,,0.953057115011,,28.906308218,0.0370024426753,1.38759160032,13.1500464858,0.0277518320065
2008年,5.08,71.5536647094,0.25,0.0522,20.91726,,,0.54,337.9194604,200.03,0.4838768,1.80875,0.46,1.09,812.937593249,0.39,531.6043029,,0.99,,17.75,,6.0774,0.04,0.2187864,0.5278656,,0.1,11.62,0.384,5.1359225,9.99,170.1,73.9202,84.0102,2.332564,0.05712,26.03,104.41272,1.4945,0.2,6.26,5.50494,1.111296,0.95004,109.6746425,,2.060528,,43.7472,0.05,2.1,17.0583936,0.036
2009年,4.67,91.07,0.36,0.06,23.64,0.01,,0.65,321.14,176.84,0.29,2.35,0.52,1.36,895.2,0.44,577.9,,0.97,,23.96,0.11,6.73,0.04,0.34,0.69,,0.12,12.18,0.52,4.7,5.79,177.7,127.91,133.82,3.03,0.07,26.72,117.4,1.35,0.24,4.88,6.06,1.06,1.43,122.93,,2.47,,44.62,0.76,2.31,18.81,0.03
2010年,5.95,106.7,0.54,0.34,26.0,0.01,0.5,0.88,357.7,187.28,0.44,2.92,0.77,1.61,1069.41,0.36,680.92,0.01,1.16,,27.24,0.32,9.06,0.09,0.3,0.99,,0.19,12.97,0.62,3.8,8.07,226.895699521,180.8,189.07,4.63,0.04,40.04,129.55,1.66,0.32,6.27,6.66,1.49,1.7,134.14,,3.63,,42.72,0.66,2.76,20.42,0.03
2011年,7.24,138.35,0.51,0.63,27.14,,0.56,1.13,483.07,233.48,0.51,3.7,0.84,1.92,1305.3,0.55,839.95,0.1,1.28,,33.64,0.25,13.94,0.1,0.44,1.35,,0.18,18.55,0.81,5.1,8.87,264.382215299,215.9,224.95,5.42,0.09,68.33,126.04,1.96,0.47,6.44,8.33,2.27,2.41,131.93,,4.87,,63.76,0.65,4.21,28.56,0.05
2012年,6.54792,154.508876265,0.53726,0.67196784,32.8770077595,,0.644,1.61805903912,572.724648819,250.33796,2.2023312432,5.010415,0.97936,,1463.00328353,0.6821,946.747627162,0.2,1.263,,38.6884195425,1.6515,26.053352235,,0.35242,,,0.18484,14.0119,1.73954878936,7.48036,9.32078,288.274352798,225.01692,234.52254,5.97092631531,0.1658346795,98.89162,122.94205879,2.14752343522,0.87010992,6.87728,7.2592,4.1431606016,3.431118768,139.500438342,,7.31656954214,,68.7161845504,0.5369,6.097957,33.1199498602,0.031119552
2013年,8.49464,175.777911432,,,35.6123748051,,0.6931372,2.1901152962,715.735115262,305.42128,2.61846155672,6.0426856925,1.5856,,1705.36880069,0.76592,1129.06434098,0.37592,1.98,,39.3113030971,,34.3157718043,0.01,0.38656,,,0.20312,,1.75924842241,9.4956,12.56964,322.929733176,244.47098,257.24374,7.55759633112,,137.13872,138.228422033,2.87070646579,,6.9576,9.2232,5.65864394804,,156.08548572,,11.8639074506,,80.2984742097,0.08,7.3213493897,38.2023240407,0.0217836864
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
