,交通事故直接财产损失总计,其他交通事故直接财产损失,拖拉机交通事故直接财产损失,摩托车交通事故直接财产损失,机动车交通事故直接财产损失,汽车交通事故直接财产损失,特大交通事故直接财产损失,自行车交通事故直接财产损失,行人乘车人交通事故直接财产损失,重大交通事故直接财产损失,非机动车交通事故直接财产损失
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,35361.6,0.0,0.0,0.0,0.0,0.0,4413.4,0.0,0.0,6994.3,0.0
1991年,42757.6,0.0,0.0,0.0,0.0,0.0,6380.7,0.0,0.0,8978.0,0.0
1992年,64333.6,0.0,0.0,0.0,0.0,0.0,5040.1,0.0,0.0,11109.3,0.0
1993年,100016.1,0.0,0.0,0.0,0.0,0.0,9103.8,0.0,0.0,20224.0,0.0
1994年,133382.7,0.0,0.0,0.0,0.0,0.0,15633.0,0.0,0.0,28536.3,0.0
1995年,152266.6,0.0,0.0,0.0,0.0,0.0,17916.8,0.0,0.0,33445.2,0.0
1996年,171768.5,0.0,2522.5,6531.3,168175.1,152776.4,20917.9,1737.2,1415.5,37413.7,2019.8
1997年,184615.8,0.0,2267.6,7648.5,180705.3,164504.8,23682.2,1630.7,1546.6,39028.2,2093.7
1998年,192951.4,0.0,2579.0,9008.5,188540.0,170258.0,20456.1,1657.8,1583.4,40138.5,2151.2
1999年,212401.8,0.0,2994.9,10280.2,208375.1,187411.1,21090.5,1656.7,1614.3,42438.8,2221.3
2000年,263290.0,0.0,3931.0,11342.8,262333.8,237332.1,23825.3,1542.0,1817.3,46021.7,2054.3
2001年,308787.3,191.0,3753.0,16403.6,303185.6,273089.9,25538.7,2279.8,2583.7,52638.9,2827.0
2002年,332438.1,25105.9,4869.5,17054.1,301707.5,292431.0,33525.7,1953.5,2412.7,57203.6,3212.0
2003年,336914.6,1138.7,3823.3,13881.9,330502.4,300164.0,33922.0,2027.5,2738.3,58312.0,2535.2
2004年,239141.0,10519.0,2566.0,13476.0,224827.0,0.0,0.0,1309.0,1896.0,0.0,1899.0
2005年,188401.2,113.0,1997.1,13789.3,183841.9,167997.4,7811.9,923.2,3014.4,57886.1,1431.8
2006年,148956.0,59.0,1926.0,11330.0,146385.0,127771.0,6689.0,657.0,1179.0,52441.0,1333.0
2007年,119878.3,36.2,1704.3,9256.9,117235.8,104453.4,5441.0,479.7,1356.9,45666.6,1249.5
2008年,100972.2,9.7,1213.1,7825.6,99111.0,88280.2,4083.0,394.0,728.6,45808.0,1122.8
2009年,91436.8,14.3,1137.2,7117.6,89374.7,79770.9,4604.4,271.5,829.3,42159.1,1218.5
2010年,92633.5,29.5,1012.9,6742.8,90420.2,81186.1,5484.5,266.3,920.3,43925.4,1263.6
2011年,107873.0,15.0,847.0,7445.0,104788.0,94912.0,8025.0,441.0,1346.0,52383.0,1724.0
2012年,117489.6,14.1,1832.8,9977.8,114199.5,101244.6,49.0,274.3,1160.0,262.8,2116.0
2013年,103896.6,14.2,864.9,7643.0,100034.1,90267.1,0.0,316.4,1479.5,258.5,2368.8
2014年,107542.9,34.1,656.5,7987.9,103386.0,93837.2,258.5,265.9,1403.5,71.0,2719.4
