,交通事故死亡人数总计,其他交通事故死亡人数,拖拉机交通事故死亡人数,摩托车交通事故死亡人数,机动车交通事故死亡人数,汽车交通事故死亡人数,特大交通事故死亡人数,自行车交通事故死亡人数,行人乘车人交通事故死亡人数,重大交通事故死亡人数,非机动车交通事故死亡人数
1978年,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0
1990年,49243,0,0,0,0,0,3477,0,0,45316,0
1991年,53204,0,0,0,0,0,4064,0,0,48720,0
1992年,58723,0,0,0,0,0,4111,0,0,53383,0
1993年,63551,0,0,0,0,0,5223,0,0,57674,0
1994年,66362,0,0,0,0,0,6548,0,0,59814,0
1995年,71494,0,0,0,0,0,6651,0,0,64817,0
1996年,73655,0,2459,9571,61843,45394,7226,4206,6178,66397,4704
1997年,73861,0,2222,10878,62443,44845,6956,3892,6026,66836,4441
1998年,78067,0,2514,12390,66634,46880,7221,3698,6020,70787,4369
1999年,83529,0,2539,14526,72862,50009,7265,4318,5914,76264,4318
2000年,93853,0,3194,16261,81562,55298,7421,3720,7014,86432,4563
2001年,105930,764,3552,20068,93269,62737,7467,3856,7196,98463,4701
2002年,109381,12078,3611,21236,85916,65216,8217,3473,6798,101164,4589
2003年,104372,942,3294,20026,93390,61869,7720,3278,6022,92594,4018
2004年,107077,2901,3388,21418,97456,0,0,2000,3990,0,2730
2005年,98738,346,2933,20773,93614,69808,7639,1204,2902,98738,1876
2006年,89455,78,3142,19677,84805,55992,6611,1233,2464,89038,2108
2007年,81649,31,2869,17403,77696,56089,5713,957,1954,81649,1968
2008年,73484,17,2410,15118,70206,51436,5222,712,1507,73484,1754
2009年,67759,33,2214,13501,64781,47896,5058,548,1227,67759,1718
2010年,65225,23,1908,12369,62380,46878,5061,447,1222,65225,1600
2011年,62387,29,1546,11070,59673,46100,5047,315,1134,62387,1551
2012年,59997,17,1297,10643,57277,44679,36,279,1075,325,1628
2013年,58539,19,1259,10463,55316,42927,0,300,1185,208,2019
2014年,58523,21,1018,10411,54944,42847,98,289,1247,131,2311
