,交通事故发生数总计,其他交通事故发生数,拖拉机交通事故发生数,摩托车交通事故发生数,机动车交通事故发生数,汽车交通事故发生数,特大交通事故发生数,自行车交通事故发生数,行人乘车人交通事故发生数,重大交通事故发生数,非机动车交通事故发生数
1978年,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0
1990年,250244,0,0,0,0,0,2307,0,0,48047,0
1991年,264596,0,0,0,0,0,2978,0,0,52350,0
1992年,228326,0,0,0,0,0,1193,0,0,52410,0
1993年,240623,0,0,0,0,0,1703,0,0,56364,0
1994年,253537,0,0,0,0,0,2285,0,0,60088,0
1995年,271843,0,0,0,0,0,2556,0,0,64956,0
1996年,287685,0,7479,27255,261435,214320,2813,11124,12263,66591,12729
1997年,304217,0,7005,32107,276868,225230,2865,11157,12826,66908,13126
1998年,346129,0,8150,40271,317534,254162,2770,11350,13035,70418,13809
1999年,412860,0,9826,52351,383217,301925,2878,12014,13583,75991,15152
2000年,616971,0,15953,80426,577282,450896,3014,15467,18659,85637,19677
2001年,754919,1941,17095,116488,705396,540046,3495,19940,22888,99327,24694
2002年,773137,54336,19507,122262,675449,549166,4022,17652,21238,103309,22114
2003年,667507,4446,13859,97381,627029,483197,3927,14331,18639,91758,17393
2004年,517889,20702,11620,103686,471080,0,0,9827,11383,0,14724
2005年,450254,720,10221,110209,424409,303696,1924,8015,11302,86060,13823
2006年,378781,201,10507,100011,358249,230364,1671,6621,7005,77946,13326
2007年,327209,69,9037,83008,309261,213666,1469,4939,5407,71289,12472
2008年,265204,47,6824,65177,251077,176093,1290,3332,3889,64184,10191
2009年,238351,74,6177,58160,225096,158210,1276,2591,2827,59235,10354
2010年,219521,65,4989,51196,207156,148367,1244,1978,2565,58244,9735
2011年,210812,75,3951,46749,198113,145338,1201,1522,2277,54704,10347
2012年,204196,78,3370,42955,190756,142995,1,1433,2063,24,11299
2013年,198394,63,3093,40858,183404,138113,0,1304,2088,16,12839
2014年,196812,74,2458,40185,180321,136386,2,1393,2242,11,14175
