,交通事故受伤人数总计,其他交通事故受伤人数,拖拉机交通事故受伤人数,摩托车交通事故受伤人数,机动车交通事故受伤人数,汽车交通事故受伤人数,特大交通事故受伤人数,自行车交通事故受伤人数,行人乘车人交通事故受伤人数,重大交通事故受伤人数,非机动车交通事故受伤人数
1978年,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0
1990年,155091,0,0,0,0,0,5988,0,0,15783,0
1991年,161962,0,0,0,0,0,6480,0,0,17989,0
1992年,144021,0,0,0,0,0,4973,0,0,18619,0
1993年,142271,0,0,0,0,0,6464,0,0,23882,0
1994年,148817,0,0,0,0,0,7944,0,0,28251,0
1995年,159308,0,0,0,0,0,8053,0,0,30107,0
1996年,174447,0,5119,24720,158185,119376,8536,7778,6780,31866,8951
1997年,190128,0,4828,30615,172047,126989,8084,8193,7638,32969,9678
1998年,222721,0,6040,40051,202611,144725,7995,8846,7910,35873,10791
1999年,286080,0,7495,57903,262829,182262,8020,10413,9412,41790,13188
2000年,418721,0,12170,82475,388027,267575,8445,12340,13069,45547,16053
2001年,546485,1197,14304,124847,508308,342379,9399,16407,16447,53894,20533
2002年,562074,47240,15141,131449,479452,351095,10374,14021,16144,56830,19238
2003年,494174,2802,11882,111797,462427,310963,8167,12149,14027,50116,14918
2004年,480864,11649,11417,125622,446690,0,0,9171,8327,0,14198
2005年,469911,470,10197,132124,443361,300837,5627,7612,12406,47927,13674
2006年,431139,169,11319,126113,412193,256514,5024,6314,5336,46789,13441
2007年,380442,66,9721,106989,363428,243122,4508,4680,3994,42602,12954
2008年,304919,36,7240,83435,291423,197733,3359,3144,2791,38002,10669
2009年,275125,75,6432,74825,262254,178545,3530,2424,1836,35240,10960
2010年,254075,80,5076,66298,241823,167897,3636,1853,1576,33964,10596
2011年,237421,73,3891,59455,224619,159195,4198,1428,1348,31420,11381
2012年,224327,64,3341,53366,210554,152478,3,1354,1168,364,12541
2013年,213724,60,2833,50635,198317,143672,0,1209,1086,259,14261
2014年,211882,91,2260,49727,194887,141718,17,1284,1167,114,15737
