,公路客运量,合资铁路客运量,国家铁路客运量,地方铁路客运量,旅客运输量,民用航空客运量,水运客运量,铁路客运量
1978年,149229.0,,80729.0,762.0,253993.0,231.0,23042.0,81491.0
1979年,178618.0,,85611.0,778.0,289665.0,297.98,24360.0,86389.0
1980年,222799.0,,91246.0,958.0,341785.0,343.0,26439.0,92204.0
1981年,261559.0,,94236.0,980.0,384763.0,401.29,27584.0,95219.0
1982年,300610.0,,98888.0,1034.0,428964.0,445.23,27987.0,99922.0
1983年,336965.0,,104946.0,1098.0,470614.0,391.45,27214.0,106044.0
1984年,390336.0,,112265.0,1088.0,530217.0,554.17,25974.0,113353.0
1985年,476486.0,,110913.0,1197.0,620206.0,747.0,30863.0,112110.0
1986年,544259.0,,107358.0,1221.0,688211.0,996.0,34377.0,108579.0
1987年,593682.0,,111414.0,1065.0,746422.0,1310.0,38951.0,112479.0
1988年,650473.0,,121595.0,1050.0,809592.0,1442.0,35032.0,122645.0
1989年,644508.0,,112796.0,1009.0,791374.0,1283.0,31778.0,113805.0
1990年,648085.0,,94888.0,824.0,772682.0,1660.0,27225.0,95712.0
1991年,682681.0,,94208.0,872.0,806048.0,2178.0,26109.0,95080.0
1992年,731774.0,,98788.0,905.0,860855.0,2886.0,26502.0,99693.0
1993年,860719.0,,104580.0,878.0,996634.0,3383.0,27074.0,105458.0
1994年,953940.0,,108009.0,729.0,1092882.0,4039.0,26165.0,108738.0
1995年,1040810.0,,102081.0,664.0,1172596.0,5117.0,23924.0,102745.0
1996年,1122110.0,634.0,93551.0,612.0,1245357.0,5555.0,22895.0,94797.0
1997年,1204583.0,730.0,91919.0,659.0,1326094.0,5630.0,22573.0,93308.0
1998年,1257332.0,1465.0,92991.0,629.0,1378717.0,5755.0,20545.0,95085.0
1999年,1269004.0,1911.0,97725.0,528.0,1394413.0,6094.0,19151.0,100164.0
2000年,1347392.0,2707.0,101847.0,519.0,1478573.0,6721.66,19386.0,105073.0
2001年,1402798.0,2917.0,101680.0,558.0,1534122.0,7524.0,18645.0,105155.0
2002年,1475257.0,3349.0,101741.0,516.0,1608150.0,8594.0,18693.0,105606.0
2003年,1464335.0,3214.0,93634.0,412.0,1587497.0,8759.0,17142.0,97260.0
2004年,1624526.0,4040.0,107346.0,378.0,1767453.0,12123.0,19040.0,111764.0
2005年,1697381.0,4613.0,110651.0,319.0,1847018.0,13827.0,20227.0,115583.0
2006年,1860487.0,5504.6258,119728.17,423.0,2024157.6406,15967.8448,22047.0,125655.7958
2007年,2050680.0,6507.0,128712.0,450.9885,2227761.2112,18576.2112,22835.0,135670.0
2008年,2682114.0,1266.7296,144452.1183,474.0,2867891.96389,19251.11599,20334.0,146192.8479
2009年,2779081.0,1234.354,150797.5369,419.3017,2976897.8313,23051.6387,22314.0,152451.1926
2010年,3052738.0,2371.0,164761.023,477.0,3269508.1667,26769.1437,22392.0,167609.023
2011年,3286220.0,6498.4848,179199.1732,528.4148,3526318.731,29316.6582,24556.0,186226.0728
2012年,3557010.0,890.8806,187863.3623,582.6082,3804034.9016,31936.0505,25752.0,189336.8511
2013年,1853463.0,2365.7944,207541.3803,689.7418,2122991.5466,35396.6301,23535.0,210596.9165
2014年,1908198.36,2561.7259,232380.9856,761.6909,2209390.574,39194.8776,26292.934,235704.4024
