,公路货物周转量,合资铁路货物周转量,国家铁路货物周转量,地方铁路货物周转量,民用航空货物周转量,水运货物周转量,管道货物周转量,货物周转量,远洋货物周转量,铁路货物周转量
1978年,350.3,,5333.46,11.73,0.97,3801.8,430.0,9928.0,2487.0,5345.19
1979年,350.99,,5588.68,10.03,1.23,4586.72,476.0,11013.65,3174.0,5598.71
1980年,342.9,,5707.32,10.2,1.41,5076.5,491.0,11629.0,3532.0,5717.5
1981年,357.76,,5701.34,10.67,1.7,5176.33,499.0,11746.8,3643.0,5712.01
1982年,411.54,,6109.02,10.84,1.98,5505.25,501.0,12539.63,3769.0,6119.86
1983年,462.68,,6634.45,12.08,2.29,5820.03,534.0,13465.53,3977.0,6646.53
1984年,527.38,,7234.76,12.88,3.11,6569.44,572.0,14919.57,4374.0,7247.64
1985年,1903.0,,8111.6,14.06,4.15,7729.3,603.0,18365.0,5329.0,8125.66
1986年,2118.0,,8750.09,14.69,4.7627,8647.9,612.0,20147.4877,5948.0,8764.78
1987年,2660.4,,9455.65,15.84,6.5236,9465.1,625.0,22228.5136,6576.0,9471.49
1988年,3220.4,,9860.19,17.4,7.3181,10070.4,650.0,23825.7081,6966.0,9877.59
1989年,3374.8,,10372.95,21.23,6.9341,11186.8,629.0,25591.7141,7689.0,10394.18
1990年,3358.1,,10601.2,21.18,8.1825,11591.9,627.0,26208.0,8140.86,10622.38
1991年,3428.0,,10948.07,23.93,10.1,12955.4,621.0,27987.0,8990.4,10972.0
1992年,3755.39,,11548.51,27.04,13.42,13256.2,617.0,29218.0,9034.0,11575.55
1993年,4070.5,,12059.68,31.2,16.61,13860.8,608.0,30646.81,9133.9,12090.9
1994年,4486.3,,12600.56,31.4,18.58,15686.6,612.0,33435.48,10267.7,12632.0
1995年,4694.9,,13015.2,34.2,22.3,17552.2,590.0,35908.9,11938.0,13049.48
1996年,5011.2,122.53,12935.0,48.6,24.93,17862.5,585.0,36589.8,11254.0,13106.2
1997年,5271.5,156.22,13063.0,50.7,29.1,19235.0,579.0,38384.7,14874.7,13269.9
1998年,5483.38,204.83,12304.5,50.7,33.45,19405.8,606.0,38088.7,14920.28,12560.1
1999年,5724.3,222.92,12649.8,37.6,42.34,21262.8,627.93,40567.8,17014.4,12910.3
2000年,6129.4,282.87,13444.0,43.6,50.268319,23734.2,636.0,44320.5,17073.0,13770.49
2001年,6330.4,269.95,14368.8,55.4,43.72,25988.9,653.0,47709.9,20873.0,14694.1
2002年,6782.5,376.51,15219.1,62.8,51.55,27510.6,683.0,50685.9,21733.0,15658.4
2003年,7099.4756,702.08,16475.6,69.0,57.9,28715.8,739.0,53859.2,22304.77,17246.7
2004年,7840.9,914.2,18285.5,89.1,71.8,41428.7,815.0,69445.0,32255.0,19288.8
2005年,8693.2,1093.5,19533.4,99.2,78.8954,49672.3,1088.0,80258.1,38552.0,20726.0
2006年,9754.2476,1291.59,20557.16,105.66,94.27526,55485.7495,1551.16833531,88839.8506953,42577.2996,21954.41
2007年,11354.6872,1551.84,22112.46,132.6785,116.386674,64284.846,1865.89131822,101418.811192,48685.8941,23797.0
2008年,32868.1861,1306.46390941,23648.90271,150.88107,119.602272,50262.7045,1944.03014784,110300.0,32850.6045,25106.2817094
2009年,37188.8205,1462.70542,23649.8771,126.58672,126.230702,57556.6722,2022.41996177,122133.312604,39524.1248,25239.16924
2010年,43389.6721,1590.71574,25937.34974,116.06769,178.89816,68427.5264,2197.19315932,141837.422989,45999.0,27644.13317
2011年,51374.7406,1695.402,27631.66559,138.7176,173.91,75423.8358,2885.4397,159323.6,49355.395,29465.79635
2012年,59534.8647,1830.40628,27220.49537,136.1843,163.889362,81707.5789,3211.04197365,173804.460886,53412.1005,29187.08595
2013年,55738.0775,2173.9429579,26845.01026,154.93737,170.29181,79435.6507,3495.88956597,168013.800164,48705.3681,29173.8905879
2014年,61016.6246029,2291.76702509,25103.4189,135.00451,187.771491,92774.5555745,4328.27506426,185837.417168,55935.0625,27530.1904351
