,公路旅客运输平均运距,旅客运输平均运距,民用航空旅客运输平均运距,水运旅客运输平均运距,铁路旅客运输平均运距
1978年,35.0,69.0,1208.0,44.0,134.0
1979年,33.7754313675,67.9564324306,1174.23988187,46.802134647,140.778339835
1980年,33.0,67.0,1153.0,49.0,150.0
1981年,32.0768927852,64.964666561,1249.96885046,49.9601218097,154.65715876
1982年,32.0634709424,63.9389319383,1336.61253734,51.645406796,157.606933408
1983年,32.8108260502,65.7653618464,1506.19491634,56.5627985596,167.525744031
1984年,34.251004263,68.274076463,1500.57924464,59.1091091091,180.531613632
1985年,36.0,72.0,1563.0,58.0,216.0
1986年,36.4117083962,71.1484239572,1465.89156627,52.9598277918,238.232991647
1987年,36.8956781577,72.5524354856,1420.33129771,50.2990937332,252.763626988
1988年,38.8677162619,76.6981393097,1504.22122053,58.2096369034,265.83309552
1989年,41.304529967,76.7599137702,1455.72876072,59.2453898924,266.896006327
1990年,40.0,73.0,1388.0,61.0,273.0
1991年,42.0,77.0,1383.0,68.0,297.0
1992年,44.0,81.0,1407.0,75.0,316.0
1993年,43.0,79.0,1412.0,73.0,330.0
1994年,44.0,79.0,1366.0,70.0,334.0
1995年,44.0,77.0,1331.0,72.0,345.0
1996年,44.0,74.0,1346.0,70.0,353.0
1997年,46.0,75.8278070785,1374.0,69.0,384.196424744
1998年,47.0,77.1492626841,1391.0,59.0,397.0
1999年,48.85,81.0,1407.0,56.03,412.91282297
2000年,49.0,82.9,1443.7,51.8,431.0
2001年,51.38,85.7500250958,1450.0,48.21,453.311777852
2002年,53.0,88.0,1476.0,44.0,471.0
2003年,53.0,87.0,1442.0,37.0,492.0
2004年,54.0,92.27,1470.0,34.8,511.09
2005年,54.74,94.57,1479.0,33.5,524.47
2006年,54.4526556756,94.8404913231,1484.64619659,33.375289155,527.004915917
2007年,56.1119570094,96.9250238735,1502.84992345,34.0610028465,531.901673178
2008年,46.5159754582,80.8841430611,1497.4712814,29.1037670896,532.078324476
2009年,48.6183652078,83.4255758491,1464.20625706,31.092677243,516.813833046
2010年,49.2043938916,85.3163693001,1508.82523672,32.274964273,522.77485443
2011年,51.001596363,87.8650864076,1547.57164648,30.3504235217,516.162608623
2012年,51.9187351174,87.7570520711,1573.68758357,30.0866340478,518.24708835
2013年,60.7022800024,129.871707615,1598.10680989,29.0344593159,503.123158501
2014年,63.3272624875,136.224811523,1616.07604485,28.2742478264,492.343457391
