,合资铁路内燃机车拥有量,合资铁路机车拥有量,合资铁路电力机车拥有量,合资铁路蒸汽机车拥有量,国家铁路东风4型内燃机车拥有量,国家铁路内燃机车拥有量,国家铁路前进型蒸汽机车拥有量,国家铁路建设型蒸汽机车拥有量,国家铁路机车拥有量,国家铁路电力机车拥有量,国家铁路蒸汽机车拥有量,国家铁路韶山1型电力机车拥有量,地方铁路内燃机车拥有量,地方铁路机车拥有量,地方铁路电力机车拥有量,地方铁路蒸汽机车拥有量
1978年,,,,,326.0,1801.0,2772.0,1092.0,9854.0,221.0,7828.0,154.0,114.0,325.0,,211.0
1979年,,,,,356.0,2014.0,3099.0,1091.0,10149.0,236.0,7899.0,169.0,130.0,365.0,,235.0
1980年,,,,,404.0,2190.0,3405.0,1078.0,10278.0,287.0,7801.0,222.0,126.0,387.0,,261.0
1981年,,,,,466.0,2325.0,3622.0,1078.0,10360.0,317.0,7718.0,252.0,135.0,398.0,,263.0
1982年,,,,,553.0,2508.0,3827.0,1095.0,10471.0,350.0,7613.0,288.0,136.0,391.0,,255.0
1983年,,,,,656.0,2734.0,4027.0,1107.0,10671.0,407.0,7530.0,345.0,142.0,387.0,,245.0
1984年,,,,,784.0,3102.0,4215.0,1174.0,11137.0,484.0,7551.0,420.0,146.0,396.0,,250.0
1985年,,,,,955.0,3511.0,4429.0,1216.0,11770.0,587.0,7672.0,506.0,140.0,386.0,,246.0
1986年,,,,,1153.0,4017.0,4537.0,1344.0,12266.0,707.0,7542.0,605.0,124.0,374.0,,250.0
1987年,,,,,1399.0,4400.0,4544.0,1556.0,12729.0,948.0,7381.0,716.0,122.0,369.0,,247.0
1988年,,,,,1705.0,4836.0,4501.0,1697.0,13163.0,1197.0,7130.0,816.0,128.0,361.0,,233.0
1989年,,,,,2007.0,5250.0,4337.0,1680.0,13366.0,1430.0,6686.0,816.0,122.0,355.0,,233.0
1990年,,,,,2351.0,5680.0,4188.0,1644.0,13592.0,1633.0,6279.0,816.0,127.0,389.0,,262.0
1991年,,,,,2697.0,6111.0,4019.0,1620.0,13906.0,1809.0,5986.0,815.0,125.0,389.0,,264.0
1992年,,,,,3084.0,6582.0,3736.0,1536.0,14083.0,2003.0,5498.0,814.0,125.0,384.0,,259.0
1993年,,,,,3472.0,7092.0,3499.0,1460.0,14397.0,2196.0,5109.0,814.0,123.0,384.0,,261.0
1994年,,,,,3913.0,7673.0,3224.0,1364.0,14694.0,2356.0,4665.0,814.0,128.0,391.0,,263.0
1995年,,,,,4362.0,8282.0,2985.0,1329.0,15146.0,2517.0,4347.0,814.0,129.0,408.0,,279.0
1996年,104.0,290.0,,186.0,4790.0,8944.0,2537.0,1220.0,15403.0,2678.0,3781.0,815.0,129.0,389.0,,260.0
1997年,136.0,337.0,,201.0,5211.0,9583.0,1893.0,1031.0,15335.0,2821.0,2931.0,817.0,130.0,412.0,,282.0
1998年,176.0,420.0,,244.0,5745.0,10004.0,1266.0,789.0,15176.0,3111.0,2061.0,814.0,155.0,386.0,,231.0
1999年,179.0,361.0,,182.0,6070.0,10121.0,501.0,514.0,14480.0,3344.0,1015.0,800.0,161.0,355.0,,200.0
2000年,303.0,454.0,,151.0,5623.0,10355.0,261.0,340.0,14472.0,3516.0,601.0,800.0,168.0,327.0,,159.0
2001年,302.0,453.0,,151.0,6302.0,10598.0,174.0,207.0,14955.0,3976.0,381.0,793.0,181.0,348.0,,167.0
2002年,344.0,510.0,42.0,124.0,6373.0,10752.0,31.0,78.0,15159.0,3876.0,109.0,749.0,216.0,357.0,,141.0
2003年,349.0,505.0,38.0,118.0,6411.0,10778.0,24.0,70.0,15456.0,4584.0,94.0,707.0,228.0,359.0,,131.0
2004年,474.0,604.0,38.0,92.0,6458.0,11135.0,24.0,58.0,16066.0,4849.0,82.0,670.0,263.0,352.0,,89.0
2005年,494.0,578.0,44.0,40.0,6443.0,11331.0,24.0,70.0,16547.0,5122.0,94.0,664.0,289.0,348.0,,59.0
2006年,521.0,581.0,49.0,11.0,6356.0,11348.0,23.0,68.0,16904.0,5465.0,91.0,644.0,279.0,314.0,4.0,31.0
2007年,578.0,660.0,71.0,11.0,6188.0,11229.0,22.0,67.0,17311.0,5993.0,89.0,629.0,304.0,335.0,7.0,24.0
2008年,661.0,755.0,85.0,9.0,6148.0,11041.0,22.0,67.0,17336.0,6206.0,89.0,639.0,319.0,346.0,7.0,20.0
2009年,712.0,826.0,105.0,9.0,5857.0,10844.0,18.0,65.0,17825.0,6898.0,83.0,613.0,249.0,271.0,7.0,15.0
2010年,689.0,803.0,105.0,9.0,5035.0,10041.0,18.0,33.0,18349.0,8257.0,51.0,512.0,260.0,279.0,7.0,12.0
2011年,716.0,836.0,111.0,9.0,4820.0,10095.0,,,19590.0,9495.0,,401.0,270.0,295.0,19.0,6.0
2012年,752.0,875.0,114.0,9.0,4348.0,9578.0,,,19625.0,10047.0,,138.0,272.0,297.0,19.0,6.0
2013年,719.0,865.0,137.0,9.0,3844.0,8983.0,,,19686.0,10703.0,,59.0,259.0,284.0,19.0,6.0
2014年,665.0,813.0,139.0,9.0,3483.0,8552.0,,,19990.0,11438.0,,22.0,268.0,293.0,19.0,6.0
