,机动车驾驶员人数,民用中型载客汽车拥有量,民用中型载货汽车拥有量,民用其他汽车拥有量,民用大型载客汽车拥有量,民用小型载客汽车拥有量,民用微型载客汽车拥有量,民用微型载货汽车拥有量,民用汽车拥有量,民用轻型载货汽车拥有量,民用载客汽车拥有量,民用载货汽车拥有量,民用重型载货汽车拥有量,汽车驾驶员人数
1978年,,,,9.77,,,,,135.84,,25.9,100.17,,192.45
1979年,,,,11.44,,,,,155.49,,29.68,114.37,,224.84
1980年,,,,13.31,,,,,178.29,,35.08,129.9,,245.23
1981年,,,,14.48,,,,,199.14,,40.57,144.09,,227.25
1982年,,,,14.82,,,,,215.75,,44.18,156.75,,303.1
1983年,,,,15.41,,,,,232.63,,47.78,169.44,,326.82
1984年,,,,15.76,,,,,260.41,,56.28,188.37,,348.11
1985年,,,,18.47,,,,,321.12,,79.45,223.2,,462.1355
1986年,,,,18.77,,,,,361.95,,96.61,246.57,,517.03
1987年,1196.82,,,15.4,,,,,408.07,,111.46,281.21,,556.82
1988年,1396.86,,,16.16,,,,,464.39,,130.38,317.85,,654.49
1989年,1559.99,,,18.52,,,,,511.32,,146.43,346.37,,704.32
1990年,1635.85,,,20.69,,,,,551.36,,162.19,368.48,,790.96
1991年,1791.57,,,22.25,,,,,606.11,,185.24,398.62,,859.44
1992年,2017.83,,,24.13,,,,,691.74,,226.16,441.45,,969.55
1993年,2359.42,,,30.6,,,,,817.58,,285.98,501.0,,1112.97
1994年,2812.12,,,31.88,,,,,941.95,,349.74,560.33,,1269.23
1995年,3501.52,,,36.67,,,,,1040.0,,417.9,585.43,,1673.39
1996年,4275.26,,,37.03,,,,,1100.08,,488.02,575.03,,2100.74
1997年,5206.79,,,37.3,,,,,1219.09,,580.56,601.23,,2619.25
1998年,5944.58,,,36.58,,,,,1319.3,,654.83,627.89,,2974.06
1999年,6727.4873,,,35.76,,,,,1452.94,,740.23,676.95,,3361.1247
2000年,7655.56,,,38.86,,,,,1608.91,,853.73,716.32,,3746.51
2001年,8455.0407,,,42.84,,,,,1802.04,,993.96,765.24,,4462.6768
2002年,9362.03,104.8,218.69,38.58,75.48,789.74,232.34,84.66,2053.17,360.58,1202.37,812.22,148.28,4827.08
2003年,10611.036,115.9575,243.6994,50.6106,75.7612,1017.2066,269.8829,82.2212,2382.93,390.7917,1478.81,853.51,136.7943,5368.0656
2004年,11769.0392,124.538,233.9396,64.8034,78.0558,1248.8914,284.4203,79.425,2693.7137,425.7389,1735.9055,893.0048,153.9013,7101.6414
2005年,13069.5249,131.6547,236.6563,71.6608,82.1324,1618.3494,300.3188,66.3068,3159.6629,484.5105,2132.4553,955.5468,168.0732,8017.756
2006年,14213.8678,136.9952,235.3947,91.4853,87.3377,2083.4032,311.8325,44.7587,3697.3531,532.1341,2619.5686,986.2992,174.0117,9317.2381
2007年,15363.88,140.5202,243.4643,108.3051,93.8242,2646.4667,315.1832,36.6349,4358.355,587.2202,3195.9943,1054.0556,186.7362,10567.15
2008年,17336.56,143.1889,249.7305,134.6218,100.3939,3271.1443,324.1949,30.543,5099.6094,644.9561,3838.922,1126.0656,200.836,12276.8009
2009年,19167.5805,145.7994,262.2138,66.919,107.9504,4246.8969,344.4421,25.9725,6280.6086,765.3349,4845.0888,1368.6008,315.0796,13740.7273
2010年,20068.4748,146.0738,269.748,80.1406,116.4424,5498.3643,363.2511,21.124,7801.8259,911.8799,6124.1316,1597.5537,394.8018,15129.8921
2011年,22817.6249,147.4072,267.8008,89.9606,126.5436,6827.5396,376.8795,17.538,9356.3163,1042.0699,7478.3699,1787.9858,460.5771,17416.7581
2012年,25250.8283,131.7779,229.195,95.33,128.1272,8302.6322,380.4742,13.3984,10933.0912,1179.648,8943.0115,1894.7497,472.5083,20028.5176
2013年,26955.9279,117.0629,196.4015,97.7475,131.3816,9951.4618,361.8695,12.225,12670.1435,1300.019,10561.7758,2010.6202,501.9747,21742.7041
2014年,29892.3213,112.0587,188.0933,145.9459,139.6076,11748.1913,326.8394,17.9305,14598.1076,1385.7678,12326.697,2125.4647,533.6731,24812.065
