,公路运输业就业人员数,城市公共交通业就业人员数,水上运输业就业人员数,电信和其他信息传输服务业就业人员数,管道运输业就业人员数,航空运输业就业人员数,装卸搬运和其他运输服务业就业人员数,邮政业就业人员数,铁路运输业就业人员数
1978年,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0
1985年,1949000,0,622000,0,30000,52000,0,0,1900000
1986年,2018000,0,677000,0,32000,59000,0,0,1918000
1987年,2028000,0,684000,0,30000,61000,0,0,1956000
1988年,2056000,0,712000,0,31000,67000,0,0,2027000
1989年,2065000,0,721000,0,30000,70000,0,0,2018000
1990年,2122000,0,716000,0,36000,74000,0,0,2093000
1991年,2211000,0,734000,0,36000,84000,0,0,2116000
1992年,2258000,0,761000,0,36000,94000,0,0,2121000
1993年,1444000,0,439000,0,26000,80000,0,0,2196000
1994年,1506000,0,446000,0,32000,92000,0,0,2200000
1995年,2172000,0,828000,0,24000,108000,0,0,2257000
1996年,2063000,0,757000,0,36000,108000,0,0,2214000
1997年,2000000,0,723000,0,26000,116000,0,0,2238000
1998年,1395000,0,513000,0,33000,112000,0,0,1934000
1999年,1290000,0,443000,0,29000,125000,0,0,1852000
2000年,1200000,0,388000,0,22000,117000,0,0,1871000
2001年,1090348,0,326206,0,17918,121499,0,0,1789271
2002年,1015618,0,281451,0,50902,120515,0,0,1758421
2003年,1624952,888518,570463,812511,21439,178820,277122,441626,1727735
2004年,1595449,882213,525120,858992,18653,205023,277790,447091,1698667
2005年,1549025,896132,498182,896292,17900,209868,252303,454434,1665588
2006年,1512393,919627,478841,955771,17537,221193,282037,468798,1652720
2007年,1495349,925750,456608,980431,17661,231127,261236,477638,1741029
2008年,1528087,947342,435417,985309,19773,252953,250135,435959,1732909
2009年,1609972,1087973,449479,1189463,21842,252779,269764,552687,1850147
2010年,1616625,1119633,444930,1210936,27341,272023,285980,533887,1756385
2011年,1689831,1169084,460513,1416417,32458,335260,311846,618264,1761542
2012年,2778125,0,447050,0,39762,376100,288400,678609,1793267
2013年,3806122,0,483428,0,37704,494397,442510,1076595,1796382
2014年,3881462,0,491124,0,37632,507789,436132,1029294,1902500
