,国家铁路临时营业里程,国家铁路内燃牵引里程,国家铁路内燃牵引里程占营业里程比重,国家铁路半自动闭塞里程,国家铁路复线里程,国家铁路复线里程占营业里程比重,国家铁路无缝线路里程,国家铁路正式营业里程,国家铁路正式营业里程比重,国家铁路电气化铁路里程,国家铁路电气化铁路里程营业里程比重,国家铁路继电集中车站,国家铁路继电集中车站占营业车站比重,国家铁路自动闭塞里程,国家铁路营业里程,国家铁路计算机联锁车站,国家铁路计算机联锁车站占营业车站比重,国家铁路调度集中里程
1978年,0.0,0.0,0.0,0.0,7630.0,15.6937759677,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5981.0,4.8618,0.0,0.0,0.0
1979年,0.3795,0.6872,13.8,36185.0,7899.8,15.8630522088,0.7185,4.6013,92.4,0.1,2.2,0.0,0.0,5997.0,4.98,0.0,0.0,0.0908
1980年,0.3758,0.7401,14.8,37591.0,8119.0,16.2705410822,0.8139,4.6182,92.5,0.17,3.3,0.0,0.0,6044.0,4.99,0.0,0.0,0.0786
1981年,0.2505,0.7692,15.3,38017.0,8263.0,16.4601593625,0.8291,4.7676,95.0,0.17,3.3,0.0,0.0,6408.0,5.02,0.0,0.0,0.0864
1982年,0.2838,0.8611,17.0,38870.0,8613.0,17.0554455446,0.9177,4.7703,94.4,0.18,3.5,0.0,0.0,6536.7,5.05,0.0,0.0,0.1004
1983年,0.3802,0.9057,17.6,39582.0,9183.0,17.7965116279,0.9429,4.7802,92.6,0.23,4.5,0.0,0.0,6615.0,5.16,0.0,0.0,0.089
1984年,0.394,0.9818,19.0,41423.0,9671.0,18.7059961315,1.0034,4.7801,92.4,0.3,5.8,0.0,0.0,6932.0,5.17,0.0,0.0,0.0985
1985年,0.2686,1.0822,20.8,42625.0,9989.0,19.2,1.0439,4.9433,94.8,0.4151,8.0,0.0,0.0,6921.0,5.2119,0.0,0.0,0.1307
1986年,0.3062,1.2438,23.7,43068.0,10613.0,20.2202450131,1.0898,4.9426,94.2,0.44,8.4,0.0,0.0,7425.0,5.2487,0.0,0.0,0.1482
1987年,0.3174,1.4048,26.7,42675.0,11186.0,21.2617133299,1.17,4.9437,94.0,0.46,8.8,0.0,0.0,8110.0,5.2611,0.0,0.0,0.1437
1988年,0.3151,1.4335,27.2,39679.0,11771.0,22.3075027953,1.2028,4.9616,94.0,0.57,10.9,0.0,0.0,8629.0,5.2767,0.0,0.0,0.1457
