,光缆线路长度,固定长途电话交换机容量,局用交换机容量,移动电话交换机容量,长途光缆线路长度
1978年,0.0,0.1863,405.88,0.0,0.0
1979年,0.0,0.0,422.03,0.0,0.0
1980年,0.0,0.1969,443.2,0.0,0.0
1981年,0.0,0.0,463.36,0.0,0.0
1982年,0.0,0.0,490.71,0.0,0.0
1983年,0.0,0.0,516.07,0.0,0.0
1984年,0.0,0.0,553.57,0.0,0.0
1985年,0.0,1.1522,613.44,0.0,0.0
1986年,0.0,0.0,672.36,0.0,0.0
1987年,0.0,0.0,773.93,0.0,0.0
1988年,0.0,0.0,887.22,0.0,0.0
1989年,0.0,10.3269,1034.7,3.7,0.1851
1990年,0.0,16.137,1231.82,5.1448,0.3334
1991年,0.0,28.6325,1492.18,10.4634,0.649
1992年,0.0,52.1885,1915.06,45.3101,1.4388
1993年,0.0,120.6091,3040.78,156.114,3.8666
1994年,0.0,241.6296,4926.24,371.5917,7.329
1995年,0.0,351.8781,7203.59,796.6685,10.6882
1996年,0.0,416.2009,9291.22,1536.2,13.0159
1997年,556921.0,436.8305,11269.18,2585.7,15.0754
1998年,766582.0,449.1595,13823.66,4706.7,19.41
1999年,952228.0,503.2026,15346.1,8136.0,23.9735
2000年,1212357.6,563.5498,17825.63,13985.6,28.6642
2001年,1818939.2,703.5769,25566.3,21926.3,39.9082
2002年,2252564.0,773.0133,28656.8,27400.3,48.7684
2003年,2734807.2,1061.1,35082.5,33698.4,59.4303
2004年,3519224.51,1263.0,42346.9,39684.3,69.53
2005年,4072787.82,1371.6307,47196.1,48241.7,72.304
2006年,4279559.0,1442.3427,50279.9,61032.0,72.243918
2007年,5777288.61,1709.2213,51034.6,85496.1,79.2154
2008年,6778495.61,1690.7188,50863.2,114531.4,79.7979
2009年,8294565.33,1684.9027,49265.59976,144084.7457,83.1011
2010年,9962466.5,1641.4644,46537.3,150284.9,81.8133
2011年,12119302.9,1602.3432,43428.4,171636.0,84.23409
2012年,14793300.43,1579.7426,43749.3079,184023.824,86.817525
2013年,17453709.2,1280.5074,41089.3,196557.3,89.00182
2014年,20612529.22,982.9082,40517.14,205024.92,92.83982
