,40吨以下及不明载重量国家铁路货车拥有量,40吨载重量国家铁路货车拥有量,41-49吨载重量国家铁路货车拥有量,50吨载重量国家铁路货车拥有量,51-59吨载重量国家铁路货车拥有量,60吨载重量国家铁路货车拥有量,61-69吨载重量国家铁路货车拥有量,70吨及以上载重量国家铁路货车拥有量,国家铁路其他客车拥有量,国家铁路其他货车拥有量,国家铁路冷藏车拥有量,国家铁路客车公务车拥有量,国家铁路客车拥有量,国家铁路客车行李车拥有量,国家铁路客车餐车拥有量,国家铁路平均每辆车标记载重量,国家铁路平车拥有量,国家铁路敞车拥有量,国家铁路棚车拥有量,国家铁路毒品车拥有量,国家铁路硬卧客车拥有量,国家铁路硬座客车拥有量,国家铁路罐车拥有量,国家铁路货车总标记载重量,国家铁路货车拥有量,国家铁路软卧客车拥有量,国家铁路软座客车拥有量
1978年,0.0,0.0,0.0,106792.0,18068.0,72453.0,0.0,0.0,575.0,3108.0,2439.0,85.0,15029.0,1149.0,820.0,49.8,20747.0,150745.0,40054.0,0.0,2155.0,8888.0,33045.0,1230.2,253636.0,435.0,78.0
1979年,48100.0,48100.0,0.0,106614.0,18062.0,83249.0,3411.0,298.0,996.0,3852.0,2424.0,85.0,15355.0,1195.0,905.0,50.4,20659.0,159070.0,40035.0,0.0,2291.0,9085.0,33694.0,1292.1,259734.0,533.0,137.0
1980年,46605.0,46605.0,0.0,106270.0,18057.0,91736.0,3410.0,298.0,870.0,3773.0,2508.0,84.0,16367.0,1265.0,972.0,50.8,20816.0,165364.0,40441.0,0.0,2395.0,9577.0,33474.0,1336.8,270253.0,676.0,203.0
1981年,40647.0,40647.0,0.0,108008.0,16819.0,99768.0,1551.0,310.0,861.0,7332.0,2807.0,82.0,17075.0,1290.0,1011.0,51.2,20229.0,163775.0,39692.0,0.0,2408.0,10379.0,33268.0,1359.0,267103.0,669.0,261.0
1982年,35158.0,35158.0,0.0,107252.0,16819.0,108432.0,1551.0,313.0,849.0,7305.0,3067.0,80.0,17788.0,1336.0,1002.0,51.9,19677.0,164147.0,42237.0,0.0,2343.0,11170.0,33092.0,1390.6,269525.0,667.0,243.0
1983年,32880.0,32880.0,0.0,106251.0,16801.0,121780.0,1551.0,314.0,794.0,7582.0,3334.0,83.0,18759.0,1382.0,1043.0,52.5,19330.0,170345.0,45972.0,0.0,2333.0,12096.0,33014.0,1459.1,279577.0,659.0,247.0
1984年,30336.0,30336.0,0.0,105210.0,16549.0,137332.0,1551.0,299.0,739.0,7965.0,3709.0,83.0,19682.0,1449.0,1140.0,53.1,19095.0,178683.0,49566.0,0.0,2445.0,12792.0,32259.0,1538.1,291277.0,673.0,247.0
1985年,20234.0,4577.0,0.0,104456.0,16544.0,153198.0,1571.0,306.0,680.0,7944.0,3991.0,87.0,20872.0,1498.0,1221.0,53.9,18753.0,185684.0,52677.0,0.0,2633.0,13700.0,31837.0,1612.5,300886.0,679.0,260.0
1986年,0.0,0.0,0.0,106479.0,14773.0,165487.0,0.0,0.0,697.0,5862.0,4001.0,94.0,22138.0,1565.0,1306.0,54.6,18453.0,197690.0,54589.0,2581.0,2763.0,14659.0,31361.0,1709.1,314537.0,691.0,260.0
1987年,0.0,0.0,0.0,105305.0,14759.0,184574.0,0.0,0.0,650.0,6004.0,4257.0,89.0,23474.0,1653.0,1370.0,55.3,17843.0,209851.0,55482.0,2611.0,2990.0,15599.0,32098.0,1805.2,328146.0,738.0,285.0
