,上海港口货物吞吐量,八所港口货物吞吐量,大连港口货物吞吐量,天津港口货物吞吐量,宁波—舟山港口货物吞吐量,广州港口货物吞吐量,日照港口货物吞吐量,汕头港口货物吞吐量,沿海主要港口货物吞吐量,海口港口货物吞吐量,湛江港口货物吞吐量,烟台港口货物吞吐量,秦皇岛港口货物吞吐量,营口港口货物吞吐量,连云港港口货物吞吐量,青岛港口货物吞吐量
1978年,7955.0,307.0,2864.0,1131.0,,1050.0,,153.0,19834.0,76.0,947.0,458.0,2219.0,33.0,594.0,2002.0
1979年,8350.0,305.0,3148.0,1270.0,236.0,1211.0,,175.0,21257.0,83.0,1062.0,460.0,2408.0,25.0,681.0,1802.0
1980年,8483.0,278.0,3263.0,1192.0,326.0,1210.0,,176.0,21731.0,72.0,1075.0,506.0,2641.0,24.0,739.0,1708.0
1981年,8335.0,284.0,3308.0,1175.0,349.0,1317.0,,180.0,21931.0,79.0,1084.0,540.0,2655.0,26.0,756.0,1810.0
1982年,8976.0,343.0,3402.0,1287.0,371.0,1513.0,,206.0,23764.0,88.0,1139.0,616.0,2870.0,27.0,806.0,2084.0
1983年,9190.0,372.0,3520.0,1506.0,483.0,1601.0,,210.0,24952.0,109.0,1140.0,650.0,3057.0,34.0,858.0,2183.0
1984年,10066.0,411.0,4016.0,1611.0,597.0,1668.0,,177.0,27549.0,131.0,1195.0,674.0,3579.0,49.0,900.0,2422.0
1985年,11291.0,388.0,4381.0,1856.0,1040.0,1772.0,,201.0,31154.0,170.0,1231.0,689.0,4419.0,98.0,929.0,2611.0
1986年,12604.0,391.0,4429.0,1818.0,1795.0,2595.0,,231.0,37937.0,174.0,1296.0,691.0,4873.0,113.0,949.0,2801.0
1987年,12833.0,405.0,4610.0,1725.0,1940.0,3314.0,425.0,251.0,40604.0,198.0,1424.0,696.0,5379.0,116.0,894.0,3028.0
1988年,13320.0,393.0,4853.0,2109.0,2002.0,4735.0,740.0,286.0,45587.371,241.0,1531.0,780.0,5812.0,181.0,1114.0,3109.0
1989年,14604.0,410.0,5092.0,2437.0,2209.0,4704.0,840.0,282.0,49025.0,256.0,1610.0,703.0,6565.0,200.0,1126.0,3112.0
1990年,13959.0,431.0,4952.0,2063.0,2554.0,4163.0,925.0,279.0,48321.0,288.0,1557.0,668.0,6945.0,237.0,1137.0,3034.0
1991年,14679.0,350.0,5472.0,2378.0,3390.0,4668.0,1080.0,355.0,53220.0,321.0,1667.0,833.0,7236.0,383.0,1213.0,3055.0
1992年,16297.0,377.0,5909.0,2929.0,4367.0,5464.0,1202.0,460.0,60380.0,413.0,1644.0,1114.0,8121.0,509.0,1359.0,3125.0
1993年,17596.0,384.0,5959.0,3719.0,5321.0,6552.0,1317.0,662.0,67835.0,580.0,1953.0,1106.0,7808.0,682.0,1417.0,3545.0
1994年,16581.0,355.0,6212.0,4652.0,5850.0,7158.0,1429.0,708.0,74370.0,699.0,2124.0,1266.0,8207.0,764.0,1589.0,4213.0
1995年,16567.0,275.0,6417.0,5787.0,6853.0,7299.0,1452.0,716.0,80166.0,468.0,1885.0,1361.0,8382.0,1156.0,1716.0,5103.0
1996年,16402.0,265.0,6427.0,6188.0,7639.0,7450.0,1575.0,832.0,85152.0,537.0,1769.0,1430.0,8312.0,1493.0,1583.0,6003.0
1997年,16397.0,336.0,7044.0,6789.0,8220.0,7518.0,1650.0,884.0,90822.0,486.0,2050.0,1560.0,7862.0,1605.0,1652.0,6916.0
1998年,16388.0,358.0,7515.0,6818.0,8707.0,7863.0,1724.0,904.0,92237.0,470.0,1844.0,1511.0,7792.0,1758.0,1776.0,7018.0
1999年,18641.0,380.0,8505.0,7298.0,9660.0,10157.0,2003.0,1191.0,105162.0,674.0,1751.0,1646.0,8261.0,1945.0,2017.0,7257.0
2000年,20440.0,378.0,9084.0,9566.0,11547.0,11128.0,2674.0,1284.0,125603.0,808.0,2038.0,1774.0,9743.0,2268.0,2708.0,8636.0
2001年,22099.0,342.0,10047.0,11369.0,12852.0,12823.0,2933.0,1309.0,142634.0,888.0,2205.0,2190.0,11302.0,2520.0,3058.0,10398.0
