,七台河站货物发送量,万水泉站货物发送量,中云站货物发送量,云岗西站货物发送量,介休站货物发送量,北周庄站货物发送量,双鸭山站货物发送量,口泉站货物发送量,古交站货物发送量,古冶站货物发送量,嘉峰站货物发送量,大同东站货物发送量,大官屯站货物发送量,大新站货物发送量,平顶山东站货物发送量,恒山站货物发送量,新港站货物发送量,新高山站货物发送量,日照站货物发送量,晋城北站货物发送量,本溪站货物发送量,武昌东站货物发送量,湛江站货物发送量,潘集西站货物发送量,灵山站货物发送量,玉门沟站货物发送量,白云鄂博站货物发送量,白羊墅站货物发送量,竣德站货物发送量,长治北站货物发送量,阜新站货物发送量,阳泉站货物发送量,霍林河站货物发送量,鹤岗站货物发送量,黄岛站货物发送量
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,857.0,,,501.0,472.0,,814.0,,,852.0,,,1082.0,,1657.0,545.0,,642.0,,1060.0,504.0,593.0,,,1318.0,,736.0,736.0,611.0,636.0,572.0,,,732.7,
1989年,874.0,,,675.0,511.0,,919.0,,,810.0,,,1111.0,,1672.0,589.0,,641.0,,1181.0,474.0,591.0,,,1329.0,,765.0,859.0,603.0,606.0,597.0,,,820.0,
1990年,998.0,,,768.0,510.0,,962.0,,,847.0,,,1083.0,,1734.0,661.0,,662.0,,1224.0,480.0,606.0,,,1289.0,,773.0,834.0,627.0,632.0,630.0,,,889.0,
1991年,1007.0,,,756.0,523.0,,746.0,,,800.0,,,1070.0,,1740.0,628.0,,695.0,,1182.0,514.0,575.0,,,1302.0,,805.0,777.0,608.0,648.0,624.0,,,838.0,
1992年,1027.0,,,868.0,545.0,,598.0,,,809.0,,,1047.0,,1810.0,573.0,,760.0,,1196.0,461.0,574.0,,,1312.0,,802.0,852.0,555.0,638.0,602.0,,,813.0,
1993年,997.0,,,1064.0,525.0,,636.0,,,891.0,,,1001.0,,1907.0,533.0,,932.0,,1200.0,448.0,572.0,,,1297.0,,809.0,993.0,559.0,620.0,612.0,,,805.0,
1994年,1025.0,,,1073.0,509.0,,735.0,,,974.0,,,981.0,,1990.0,509.0,,1057.0,,1217.0,436.0,576.0,,,1234.0,,865.0,890.0,519.0,674.0,532.0,,,779.0,
1995年,1046.0,,,1007.0,535.0,,643.0,,,822.0,,,861.0,,2084.0,543.0,,1224.0,,1272.0,419.0,535.0,,,1050.0,,995.0,1017.0,508.0,637.0,557.0,,,746.0,
1996年,1143.0,,,1051.0,540.0,,560.0,,,896.0,,,767.0,,2174.0,561.0,,1198.0,,1259.0,410.0,549.0,,,1008.0,,939.0,1025.0,550.0,684.0,640.0,,,649.0,
1997年,1289.0,,,1087.0,504.0,,669.0,,,970.0,,,653.0,,2119.0,481.0,,1040.0,,1100.0,384.0,553.0,,,910.0,,969.0,1029.0,584.0,947.0,686.0,,,821.0,
1998年,1273.0,,,839.0,522.0,,621.0,,,837.0,,,643.0,,2013.0,386.0,,905.0,,1168.0,377.0,532.0,,,909.0,,860.0,856.0,404.0,939.0,602.0,,,656.0,
1999年,1317.0,,,752.0,488.0,,722.0,,,847.0,,,689.0,,1953.0,374.0,,868.0,,1265.0,356.0,454.0,,,957.0,,808.0,959.0,526.0,947.0,503.0,,,725.0,
