,公路旅客周转量,合资铁路旅客周转量,国家铁路旅客周转量,地方铁路旅客周转量,旅客周转量,民用航空旅客周转量,水运旅客周转量,铁路旅客周转量
1978年,521.3,,1090.81,2.41,1743.1,27.91,100.63,1093.22
1979年,603.29,,1213.73,2.44,1968.46,34.99,114.01,1216.17
1980年,729.5,,1380.37,2.79,2281.3,39.56,129.12,1383.16
1981年,839.0,,1469.87,2.76,2499.6,50.16,137.81,1472.63
1982年,963.86,,1572.0,2.84,2742.75,59.51,144.54,1574.84
1983年,1105.61,,1773.39,3.12,3095.01,58.96,153.93,1776.51
1984年,1336.94,,2043.15,3.23,3620.0076,83.1576,153.53,2046.38
1985年,1724.88,,2412.51,3.63,4435.3863,115.7163,178.65,2416.14
1986年,1981.74,,2583.11,3.6,4896.5128,146.0028,182.06,2586.71
1987年,2190.43,,2840.0,3.06,5415.4734,186.0634,195.92,2843.06
1988年,2528.24,,3257.31,3.0,6209.42,216.9087,203.92,3260.31
1989年,2662.11,,3034.37,3.04,6074.58,186.77,188.27,3037.41
1990年,2620.32,,2610.1,2.53,5628.4,230.4797,164.91,2612.63
1991年,2871.74,,2824.84,3.21,6178.3,301.32,177.2,2828.1
1992年,3192.64,,3148.29,3.95,6949.4,406.12,198.35,3152.24
1993年,3700.7,,3479.38,3.92,7858.0,477.6,196.4,3483.3
1994年,4220.3,,3632.81,3.23,8591.4,551.58,183.5,3636.0
1995年,4603.1,,3542.61,3.09,9001.9,681.3,171.8,3545.7
1996年,4908.79,22.2,3322.01,3.36,9164.8,747.84,160.57,3347.6
1997年,5541.4,36.61,3543.53,4.72,10055.48,773.52,155.7,3584.86
1998年,5942.81,77.44,3690.97,5.01,10636.7,800.24,120.27,3773.42
1999年,6199.24,85.27,4046.26,4.4,11299.7,857.3,107.28,4135.9
2000年,6657.42,113.32,4414.68,4.59,12261.1,970.543699,100.54,4532.59
2001年,7207.08,125.07,4636.55,5.2,13155.13,1091.35,89.88,4766.82
2002年,7805.8,161.1,4803.1,5.3,14125.6,1268.7,81.8,4969.4
2003年,7695.6,161.83,4622.79,3.99,13810.5,1263.19,63.1,4788.61
2004年,8748.4,196.2,5512.0,4.0,16309.1,1782.3,66.3,5712.2
2005年,9292.08,225.23,5833.2,3.53,17466.74,2044.9288,67.77,6061.96
2006年,10130.8458,264.19039,6353.26712,4.6647,19197.210515,2370.660005,73.5825,6622.12221
2007年,11506.7668,314.81,6896.18,5.31547,21592.580858,2791.725758,77.7783,7216.31
2008年,12476.1149,33.6000261,7739.14993,5.8546,23196.6983891,2882.799333,59.1796,7778.6045561
2009年,13511.4375,33.16115,7840.09241,5.63496,24834.941582,3375.235362,69.3802,7878.88852
2010年,15020.8123,30.15046,8725.72206,6.30574,27894.256618,4038.995958,72.2701,8762.17826
2011年,16760.2466,22.966563,9582.70589,6.6211,30984.03,4536.9629,74.5285,9612.293553
2012年,18467.546,21.46127,9783.99038,6.87553,33383.088894,5025.736614,77.4791,9812.32718
2013年,11250.943,38.01509,10550.32145,7.28204,27571.653741,5656.759561,68.3326,10595.61858
2014年,12084.0978422,41.12672,11556.36449,7.26083,30097.3814524,6334.190277,74.3412932,11604.75204
