,一次货物作业时间,内燃机车万吨公里耗油,内燃机车平均牵引总重,内燃机车日产量,客运密度,客运机车日车公里,旅客列车出发正点率,旅客列车技术速度,旅客列车旅行速度,旅客列车运行正点率,电力机车万吨公里耗电,电力机车平均牵引总重,电力机车日产量,货物列车出发正点率,货物列车技术速度,货物列车旅行速度,货物列车运行正点率,货车中转停留时间,货车周转时间,货车静载重(准轨),货车静载重利用率,货运密度,货运机车平均牵引总重,货运机车日产量,货运机车日车公里
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,13.3,35.7,1615.0,57.1,256.5,436.0,99.1,54.5,43.6,92.9,132.6,1959.0,89.2,92.8,43.6,28.6,89.4,3.6,3.0,47.4,93.7,1181.2,1992.0,72.3,412.0
1980年,13.1,35.0,1652.0,58.0,290.0,429.0,99.3,54.2,43.4,94.2,129.8,1959.0,83.7,93.6,43.5,28.7,91.7,3.6,3.02,48.0,94.1,1199.0,1994.0,72.3,415.0
1981年,13.8,34.1,1687.0,58.9,307.0,426.0,99.1,54.2,43.1,93.6,122.1,2032.0,79.1,92.5,43.3,28.5,90.5,3.8,3.2,48.6,94.6,1192.0,1996.0,71.8,411.0
1982年,13.6,33.1,1775.0,62.4,329.0,427.0,99.2,54.0,43.1,94.5,120.6,2174.0,79.2,92.0,42.9,28.0,89.8,3.8,3.2,49.2,94.4,1277.0,2021.0,72.0,407.0
1983年,13.9,32.4,1882.0,62.4,370.6,430.0,99.3,54.1,43.1,94.2,124.8,2237.0,74.8,91.9,42.9,27.8,89.7,3.8,3.3,49.9,94.7,1387.0,2073.0,73.0,408.0
1984年,14.0,31.0,2018.0,68.0,424.0,445.0,99.0,54.0,43.0,95.0,127.0,2248.0,75.0,92.0,43.0,28.0,90.0,4.0,3.0,51.0,95.0,1500.0,2131.0,74.0,408.0
1985年,14.2,28.8,2216.0,80.6,479.4,463.0,99.3,55.1,43.9,94.8,121.5,2378.0,85.3,93.5,43.3,28.1,91.3,3.7,3.48,51.6,95.4,1612.0,2211.0,77.4,412.0
1986年,14.5,26.8,2379.0,90.6,505.7,477.0,99.3,55.7,44.5,95.4,114.0,2483.0,94.7,92.9,43.6,28.5,91.1,3.7,3.57,52.2,95.3,1712.9,2291.0,80.6,416.0
1987年,15.1,25.9,2460.0,96.1,543.3,485.0,99.2,56.2,45.3,94.7,112.5,2577.0,97.7,91.9,43.6,28.3,90.6,3.8,3.77,53.2,96.2,1809.1,2343.0,82.1,414.0
