,互联网普及率,开通互联网宽带业务的行政村比重,每千人拥有公用电话数,电话普及率(包括移动电话),移动电话普及率
1978年,0.0,0.0,0.0,0.38,0.0
1979年,0.0,0.0,0.0,0.41,0.0
1980年,0.0,0.0,0.0,0.43,0.0
1981年,0.0,0.0,0.0,0.44,0.0
1982年,0.0,0.0,0.0,0.46,0.0
1983年,0.0,0.0,0.0,0.49,0.0
1984年,0.0,0.0,0.0,0.53,0.0
1985年,0.0,0.0,0.0,0.6,0.0
1986年,0.0,0.0,0.0,0.67,0.0
1987年,0.0,0.0,0.0,0.75,0.0
1988年,0.0,0.0,0.0,0.86,0.0
1989年,0.0,0.0,0.04,0.98,0.0
1990年,0.0,0.0,0.0,1.11,0.002
1991年,0.0,0.0,0.0,1.29,0.0
1992年,0.0,0.0,0.0,1.61,0.02
1993年,0.0,0.0,0.0,2.2,0.05
1994年,0.0,0.0,0.0,3.2,0.13
1995年,0.0,0.0,0.0,4.66,0.3
1996年,0.0,0.0,0.0,6.33,0.59
1997年,0.0,0.0,1.57,8.11,1.07
1998年,0.0,0.0,0.0,9.95,1.93
1999年,0.0,0.0,2.36,13.12,3.47
2000年,0.0,0.0,2.2,19.1,6.72
2001年,0.0,0.0,2.71,26.55,11.47
2002年,4.6,0.0,7.67,33.67,16.14
2003年,6.2,0.0,12.2,42.16,21.02
2004年,7.3,0.0,17.14,50.03,25.91
2005年,8.5,0.0,20.63,57.22,30.26
2006年,10.5,0.0,22.64,63.4,35.3
2007年,16.0,0.0,22.76,69.45,41.64
2008年,22.6,0.0,20.98,74.29,48.53
2009年,28.9,0.0,20.4,79.89,56.27
2010年,34.3,80.11,19.45,86.41,64.36
2011年,38.3,84.0,18.41,94.81,73.55
2012年,42.1,87.9,17.4,103.1,82.5
2013年,45.8,91.0,16.4134766888,109.948996781,90.3281296666
2014年,47.9,93.5,15.0377015982,112.260657835,94.0250489099
