,信筒信箱数量,农村投递路线,城市投递路线,快递营业网点,汽车邮路总长度,航空邮路总长度,营业网点,邮路总长度,铁路邮路总长度
1978年,156398.0,4266291.0,0.0,0.0,572204.0,0.0,49623.0,4863282.0,150249.0
1979年,0.0,0.0,0.0,0.0,574700.0,0.0,49647.0,0.0,148900.0
1980年,159009.0,4138879.0,0.0,0.0,582058.0,0.0,49471.0,4737124.0,150819.0
1981年,0.0,0.0,0.0,0.0,599400.0,0.0,49570.0,0.0,152000.0
1982年,0.0,0.0,0.0,0.0,612900.0,0.0,49727.0,0.0,156000.0
1983年,0.0,0.0,0.0,0.0,624600.0,0.0,50162.0,0.0,164800.0
1984年,0.0,0.0,0.0,0.0,638400.0,0.0,51463.0,0.0,170500.0
1985年,174678.0,3565758.0,0.0,0.0,658102.0,0.0,53107.0,1416303.0,181916.0
1986年,0.0,0.0,0.0,0.0,703500.0,0.0,52777.0,0.0,201900.0
1987年,0.0,0.0,0.0,0.0,695400.0,0.0,52882.0,0.0,199900.0
1988年,0.0,0.0,0.0,0.0,681400.0,0.0,52881.0,0.0,199100.0
1989年,178289.0,3389374.0,0.0,0.0,675352.0,0.0,53092.0,1526073.0,196178.0
1990年,181877.0,3364861.0,0.0,0.0,676747.0,0.0,53629.0,1618200.0,191313.0
1991年,181939.0,3371424.0,0.0,0.0,685759.0,0.0,54006.0,1603344.0,185872.0
1992年,183289.0,3374556.0,0.0,0.0,712367.0,0.0,54891.0,1646931.0,189359.0
1993年,187966.0,3377769.0,0.0,0.0,727380.0,0.0,57005.0,1760506.0,189704.0
1994年,193902.0,3364730.0,0.0,0.0,757931.0,0.0,60447.0,1781787.0,187871.0
1995年,203011.0,3345848.0,0.0,0.0,819412.0,0.0,61898.0,1886082.0,183036.0
1996年,217235.0,3358100.0,0.0,0.0,917200.0,0.0,72500.0,2118900.0,183884.0
1997年,231337.0,3402900.0,0.0,0.0,873700.0,0.0,79300.0,2363100.0,186382.0
1998年,234716.0,3361500.0,0.0,0.0,930600.0,1466002.0,102225.0,2853900.0,189652.0
1999年,232674.0,3348100.0,0.0,0.0,989100.0,1569715.0,66600.0,2979000.0,190056.0
2000年,239356.0,3364498.0,0.0,0.0,1070304.0,1597044.0,58437.0,3073331.0,184925.0
2001年,225846.0,3492800.0,0.0,0.0,1074100.0,1636435.0,57100.0,3102600.0,180399.0
2002年,217541.0,3511200.0,0.0,0.0,1112800.0,1601388.0,76400.0,3081000.0,177685.0
2003年,275962.0,3531800.0,0.0,0.0,1137500.0,1756337.0,63600.0,3270200.0,191351.0
2004年,222946.0,3530500.0,0.0,0.0,1194600.0,1762990.0,66400.0,3336400.0,195998.0
2005年,202259.0,3565226.0,941286.0,0.0,1229802.0,1813959.0,65917.0,3406226.0,200180.0
2006年,197491.0,3566982.0,985785.0,0.0,1230633.0,1777368.0,62799.0,3369392.0,204733.0
2007年,195336.0,3637553.0,1024046.0,46981.0,1302915.0,1855335.0,70655.0,3532980.0,211534.0
2008年,224023.0,3656936.0,1111749.0,48157.0,1385102.0,1908316.0,69146.0,3693464.0,236860.0
2009年,206597.0,3676051.0,1324378.0,35783.0,1450782.0,2178332.0,65672.0,4027751.0,248876.0
2010年,171043.0,3690561.31,1461321.0,64394.0,1753027.28,2529232.0,75739.0,4635568.79,269700.01
2011年,148206.0,3632579.0,1171464.0,75262.0,2017482.75,2718291.5,78667.0,5140271.51,309027.0
2012年,150271.0,3731657.16,1327673.89,89052.0,2289076.88,3160292.0,95572.0,5855106.69,320144.01
2013年,147351.0,3744733.32,1282319.34,117651.0,2070846.97,3334949.0,125115.0,5897228.82,395809.0
2014年,142330.0,3775875.38,1435111.44,130456.0,2361996.98,3622873.0,137562.0,6305555.83,232976.0
