,公路货物运输平均运距,民用航空货物运输平均运距,水运货物运输平均运距,管道货物运输平均运距,货物运输平均运距,铁路货物运输平均运距
1978年,32.0,1516.0,873.0,416.0,395.0,485.0
1979年,23.725960726,1537.5,974.239592184,419.679068947,346.06042896,500.362846648
1980年,20.0,1580.0,1184.0,467.0,220.0,514.0
1981年,26.599454271,1808.5106383,1136.8553984,456.583401958,393.339994589,530.496038933
1982年,29.68535857,1941.17647059,1132.02212535,448.683503493,401.99213175,539.218467774
1983年,32.1191800126,1974.13793103,1176.02497525,459.552495697,415.659738557,559.547582166
1984年,34.7337570389,2073.33333333,1274.95099656,455.994897959,438.817335549,584.138497993
1985年,35.0,2129.0,1221.0,442.0,246.0,622.0
1986年,34.1550652865,2126.20535714,1042.39290277,412.81618887,236.041502794,646.203413573
1987年,37.3954210148,2181.80602007,1168.83389521,412.731955359,234.421364459,673.394097531
1988年,43.9756115879,2236.33024383,1127.94435546,416.18645153,242.576149339,681.457488203
1989年,45.9919240209,2236.80645161,1278.59371607,402.148200243,258.911451942,686.134306781
1990年,46.0,2211.0,1447.0,398.0,270.0,705.0
1991年,47.0,2234.0,1554.0,399.0,284.0,718.0
1992年,48.0,2335.0,1433.0,417.0,279.0,734.0
1993年,48.0,2394.0,1415.0,410.0,274.637011266,742.711647849
1994年,50.0,2241.0,1465.0,406.0,283.256490471,773.943731007
1995年,50.0,2206.0,1551.0,386.0,291.0,786.0
1996年,51.0,2168.0,1402.0,366.0,282.0,766.0
1997年,54.0,2334.0,1696.0,362.0,300.199438692,771.0
1998年,56.0,2388.0,1771.0,348.0,301.0,764.0
1999年,58.0,2485.0,1855.0,310.0,314.0,771.0
2000年,59.0,2555.0,1939.0,340.0,326.0,771.0
2001年,60.0,2556.0,1959.0,336.0,339.650165539,761.0
2002年,61.0,2551.0,1940.0,339.0,342.0,764.0
2003年,61.0,2643.0,1817.0,336.0,344.259968554,769.08824159
2004年,63.0,2595.0,2211.0,329.0,407.0,775.0
2005年,65.0,2572.0,2261.0,350.0,431.0,770.0
2006年,66.5207321323,2697.95756519,2231.00443099,463.917892602,436.118051241,761.713458976
2007年,69.2598851309,2896.28233286,2286.0979591,460.125828472,445.636031904,757.294653399
2008年,171.477927585,2934.0342042,1706.65527486,443.0,427.0,759.980842226
2009年,174.773128449,2833.24064321,1804.30701952,453.472799951,432.296347424,757.14193899
2010年,177.241627629,3177.37811393,1805.71861649,439.686133065,437.525850804,758.88963265
2011年,182.173471154,3119.59058401,1770.64558371,505.572487171,430.958282324,749.264319792
2012年,186.718932091,3006.95545318,1781.26636727,515.634353996,423.892992285,747.548210831
2013年,181.164948021,3034.13829883,1419.03857195,536.107208891,409.89972641,735.419991972
2014年,183.077104496,3160.61040148,1550.68131739,586.87007852,423.628669031,721.944656427
