,3G移动电话用户,公用电话用户,农村住宅电话年末用户数,农村电话年末用户数,函件数,包裹数,固定本地电话通话时长,固定电话年末用户,固定电话长途通话时长,城市住宅电话年末用户数,城市电话年末用户数,报刊期发数,汇票业务,电信业务总量,移动电话去话通话时长,移动电话国内漫游去话通话时长,移动电话国际及港澳台漫游去话通话时长,移动电话年末用户,移动电话漫游国家和地区,移动电话通话时长,移动电话非漫游去话通话时长,移动短信业务量,邮政业务总量,邮电业务总量,集邮业务量
1993年,,15.838,139.5472,325.7855,68.7,13964.5,,1733.1573,,800.3821,1407.3718,25511.0,21894.8,382.45,,,,63.8,,,,,80.26,462.71,210885.0
1994年,,38.6565,274.8581,482.7477,76.5,15908.2,,2729.525,,1489.4036,2246.7773,24096.0,23862.1,592.3,,,,156.778,,,,,95.89,688.19,236849.0
1995年,,84.9835,551.3709,807.0047,79.55,15641.0,,4070.5656,,2358.4045,3263.5609,21689.0,23985.1,875.51,0.0,0.0,0.0,362.9416,,1134000.0,0.0,,113.34,988.85,239250.0
1996年,,138.0,907.2738,1216.9172,78.68,14920.0,,5494.7372,,3224.6248,4277.82,21157.0,23923.4,1208.75,,,,685.3,,2524000.0,,,133.29,1342.04,303436.0
1997年,,193.9,1406.5604,1786.6344,68.6,9715.3,,7031.0368,,4057.1583,5244.4024,21875.0,23416.5,1628.95,,,,1323.3,,4202000.0,,,144.34,1773.29,451729.0
1998年,,259.5,2070.7488,2482.2816,65.51,9726.5,,8742.0937,,4911.0805,6259.8121,22989.0,23069.2,2264.94,,,,2386.3,,6357000.0,,,166.28,2431.21,502850.0
1999年,,297.4,2949.2,3408.4,60.5,9741.9,,10871.6,5466000.0,5894.4,7463.3,25035.0,22886.8,3132.4,,,,4329.6,,11881000.0,,,198.44,3330.82,522475.0
2000年,,352.0,4597.8,5171.3,77.71,9600.3,,14482.9,6715000.0,7219.4,9311.6,20089.7,22475.0,4559.9,0.0,0.0,0.0,8453.3,,18453000.0,0.0,,232.8,4792.7,453500.0
2001年,,346.2,6197.7,6843.1,86.93,9931.2,,18036.8,6282000.0,8535.3,11193.7,21811.0,21399.7,4098.84,,,,14522.2,90.0,29045000.0,,,457.42,4556.26,344114.0
2002年,,985.5,7183.8,7843.1,106.01,10537.9,,21422.2,5399000.0,10196.7,13579.1,17620.0,21080.0,5201.12,,,,20600.5,116.0,41840000.0,,583.3,494.69,5695.8,244159.0
2003年,,1561.4,8389.7,9165.0,103.8,11029.4,,26274.7,5875000.0,12533.9,17109.7,16594.0,20442.0,6478.75,,,,26995.3,155.0,63089000.0,,1386.3,541.04,7019.79,183421.0
2004年,,2215.0,9240.5,10150.5,82.8,9948.7,,31175.6,7416000.0,15246.5,21025.1,14789.0,17895.4,9148.0,,,,33482.4,184.0,94547000.0,,2170.5,564.3,9712.3,149178.0
2005年,,2681.2,10023.9,11069.2,73.51,9531.8,,35044.5,8942000.0,17201.2,23975.3,14601.3,16052.0,11403.02,0.0,0.0,0.0,39340.576,203.0,125074256.0,0.0,3046.343,625.52,12028.54,121214.0
2006年,,2960.7136,10561.5184,11645.62867,71.312323,9317.5,0.0,36778.5613,17426000.0,17697.57031,25132.93263,14372.7,18928.0,14595.37549,0.0,0.0,0.0,46105.8016,219.0,168706512.0,0.0,4295.366,730.4929,15325.86839,104580.9
2007年,,2991.9,10533.1,11704.0,69.50344,9103.3,0.0,36563.7,17567000.0,16988.2,24859.8,13030.6,22875.2,18591.33392,0.0,0.0,0.0,54730.586,231.0,230613264.0,0.0,5945.7888,1213.72723697,19805.061157,113656.7
2008年,,2771.5,9612.2,10880.0,73.63,7936.7,0.0,34035.9,16558000.0,15588.3,23155.9,15658.3,26404.2,22247.72218,0.0,0.0,0.0,64124.512,237.0,293556416.0,0.0,6996.892,1401.8,23649.52218,131873.0
2009年,1232.2,2708.8,8813.3,10183.2,75.32448,7229.63,0.0,31373.2,13146000.0,12969.5,21190.0,13909.52,27177.36,25553.57788,0.0,0.0,0.0,74721.4,237.0,353510212.2,0.0,7726.47577,1639.88317263,27193.4610526,110088.49516
2010年,4705.1,2595.9,8325.0,9776.1,74.01409503,6642.5198,0.0,29434.2,10689000.0,11973.4,19658.1,17158.3112,28043.2161,29993.18,211290489.0,13628293.0,41437.0,85900.3,239.0,432612342.5,197620758.0,8277.45846,1985.30109192,31978.48,114622.5
2011年,12842.4,2468.3,7861.2,9388.1,73.784045,6883.0002,42274481.6,28509.8,8569411.9,11411.6,19121.7,15007.6506,26474.25,11725.78,250560092.0,19673502.0,54667.8,98625.3,258.0,504726258.9,230831922.2,8790.04093,1607.71311999,13333.49312,102857.5
2012年,23280.3462,2347.1425,7315.7714,8921.8808,70.74049795,6875.5048,35776867.5,27815.2913,7007052.4,11013.1786,18893.4105,15401.648045,22913.4,12982.4422,276034571.0,25970527.0,66796.1,111215.5176,258.0,554448851.0,249997248.0,8973.1094,2036.83928251,15019.2814825,118276.0
2013年,40161.1,2233.4,6643.4,8241.7,63.4148774,6924.9,30230948.8,26698.5,5905540.1,10474.3,18456.8,15140.9,18520.58,15707.152689,289877326.8,30686663.2,80722.6,122911.3,258.0,582296720.7,259109941.1,8921.01533,2725.08436275,18432.2370518,118335.3
2014年,48525.51,2056.89,5769.17,7315.09,56.095567,6024.1521,26139373.09,24943.03,5300999.95,9896.08,17627.94,14936.76,12527.38,18138.33,292701007.53,33960882.83,83882.99,128609.34,258.0,590127141.3,258656250.48,7674.236382,3696.08280437,21834.4128044,138990.4164
