,国内同城快递量,国内异地快递量,国际及港澳台快递量,快递业务收入,快递量
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,247.3
1990年,,,,,343.3
1991年,,,,,566.7
1992年,,,,,959.2
1993年,,,,,2156.2
1994年,,,,,4019.5
1995年,,,,,5562.7
1996年,,,,,7096.6
1997年,,,,,6878.9
1998年,,,,,7667.7
1999年,,,,,9091.3
2000年,,,,,11031.4
2001年,,,,,12652.7
2002年,,,,,14036.2
2003年,,,,,17237.8
2004年,,,,,19772.0
2005年,,,,,22880.3
2006年,,,,,26988.04
2007年,33312.5,77157.0,9720.1,3425851.6,120189.5637
2008年,40223.41,100465.56,10640.37,4084274.59,151329.3
2009年,43728.27,130803.6,11253.92,4790030.74,185785.81
2010年,53605.84,167324.72,12961.42,5746029.84,233891.99
2011年,81818.28,272742.13,12750.67,7579878.21,367311.08
2012年,131410.21,418894.95,18242.79,10553324.22,568547.99
2013年,228736.3087,663736.683,26201.8983,14416815.26,918674.89
2014年,,,,,1395925.3039
