,国际航线线路长度,定期航班航线里程,民用大中型A320运输飞机架数,民用大中型MD82运输飞机架数,民用大中型MD90运输飞机架数,民用大中型波音737运输飞机架数,民用大中型波音747运输飞机架数,民用大中型波音757运输飞机架数,民用大中型波音767运输飞机架数,民用大中型运输飞机架数,民用小型运输飞机架数,民用教学校验飞机架数,民用航班飞行机场数,民用航空国内航线数,民用航空国内航线航线里程,民用航空国际航线数,民用航空港、澳地区航线数,民用航空港、澳地区航线里程,民用航空航线数,民用运输飞机架数,民用通用飞机架数,民用飞机架数
1978年,55300.0,148900.0,,,,,,,,,,,,,,,,,,,,
1979年,51300.0,160000.0,,,,,,,,,,,,159.0,108658.0,15.0,,,174.0,,,
1980年,81200.0,195300.0,,,,,,,,,,,,159.0,110414.0,18.0,4.0,3601.0,181.0,,,
1981年,82800.0,218200.0,,,,,3.0,,,,,,,171.0,125767.0,19.0,7.0,9666.0,197.0,,,396.0
1982年,99900.0,232700.0,,,,,3.0,,,,,,,171.0,123186.0,21.0,7.0,9601.0,199.0,,,382.0
1983年,99900.0,229100.0,,,,,4.0,,,,,,,,118800.0,,,10368.0,,,,387.0
1984年,107400.0,260200.0,,,,,5.0,,,,,,88.0,183.0,141836.0,24.0,8.0,10935.0,215.0,,,391.0
1985年,106000.0,277200.0,,5.0,,15.0,6.0,,2.0,,,,82.0,233.0,160323.0,27.0,8.0,10935.0,268.0,,,404.0
1986年,107600.0,323100.0,,5.0,,23.0,6.0,,2.0,,,,84.0,253.0,205830.0,27.0,8.0,10935.0,288.0,,,404.0
1987年,148900.0,389100.0,,7.0,,21.0,7.0,3.0,4.0,,,,83.0,280.0,229292.0,39.0,8.0,10935.0,327.0,,,402.0
1988年,128300.0,373800.0,,11.0,,21.0,7.0,5.0,5.0,,,,96.0,302.0,234268.0,40.0,8.0,11224.0,350.0,,,410.0
1989年,166400.0,471900.0,,17.0,,21.0,8.0,7.0,6.0,,,,88.0,326.0,296364.0,44.0,8.0,9148.0,378.0,,,413.0
1990年,166350.0,506762.0,,25.0,,21.0,11.0,9.0,6.0,,,82.0,94.0,385.0,329493.0,44.0,8.0,10919.0,437.0,204.0,217.0,503.0
1991年,177400.0,559100.0,,30.0,,34.0,11.0,12.0,6.0,139.0,82.0,,96.0,395.0,370324.0,49.0,8.0,11406.0,452.0,221.0,196.0,417.0
1992年,303000.0,836600.0,,35.0,,53.0,13.0,22.0,10.0,211.0,104.0,,98.0,492.0,515186.0,58.0,13.0,18446.0,563.0,315.0,287.0,602.0
1993年,278700.0,960800.0,,37.0,,91.0,14.0,33.0,12.0,280.0,93.0,,113.0,563.0,663584.0,71.0,13.0,18446.0,647.0,373.0,273.0,646.0
1994年,351900.0,1045600.0,,38.0,,108.0,15.0,40.0,16.0,316.0,90.0,,127.0,630.0,675288.0,84.0,13.0,18446.0,727.0,406.0,392.0,798.0
1995年,348200.0,1129000.0,1.0,39.0,,115.0,16.0,44.0,17.0,330.0,86.0,130.0,139.0,694.0,750794.0,85.0,18.0,29992.0,797.0,416.0,306.0,852.0
1996年,386300.0,1166500.0,3.0,39.0,3.0,130.0,16.0,45.0,17.0,356.0,87.0,,142.0,757.0,746310.0,98.0,21.0,33870.0,876.0,443.0,302.0,891.0
1997年,504400.0,1425000.0,17.0,39.0,9.0,141.0,18.0,46.0,17.0,397.0,88.0,,141.0,851.0,910927.0,109.0,7.0,9575.0,967.0,485.0,285.0,915.0
1998年,504400.0,1505800.0,34.0,39.0,16.0,161.0,20.0,48.0,15.0,443.0,80.0,,143.0,983.0,994130.0,131.0,8.0,7252.0,1122.0,523.0,278.0,1004.0
1999年,523300.0,1522200.0,51.0,29.0,20.0,174.0,17.0,48.0,16.0,445.0,65.0,,142.0,987.0,998921.0,128.0,22.0,30812.0,1115.0,510.0,285.0,949.0
2000年,508405.0,1502887.0,60.0,27.0,22.0,186.0,19.0,48.0,16.0,462.0,65.0,154.0,139.0,1032.0,994482.0,133.0,42.0,55759.0,1165.0,527.0,301.0,982.0
2001年,516859.0,1553596.0,63.0,27.0,22.0,198.0,17.0,52.0,17.0,486.0,80.0,,143.0,1009.0,1036737.0,134.0,42.0,55759.0,1143.0,566.0,296.0,1031.0
2002年,574500.0,1637700.0,65.0,26.0,22.0,234.0,20.0,54.0,18.0,525.0,77.0,,141.0,1015.0,1063238.0,161.0,44.0,61626.0,1176.0,602.0,335.0,1112.0
2003年,715300.0,1749500.0,76.0,26.0,22.0,264.0,19.0,55.0,22.0,580.0,84.0,,126.0,961.0,1034276.0,194.0,43.0,62874.0,1155.0,664.0,343.0,1160.0
2004年,894200.0,2049394.0,93.0,26.0,22.0,304.0,20.0,62.0,27.0,675.0,79.0,,133.0,1035.0,1155219.0,244.0,45.0,62484.0,1279.0,754.0,365.0,1245.0
2005年,855932.0,1998501.0,115.0,15.0,22.0,358.0,22.0,64.0,27.0,785.0,78.0,140.0,135.0,1024.0,1142569.0,233.0,43.0,61056.0,1257.0,863.0,383.0,1386.0
2006年,966168.0,2113505.0,141.0,12.0,22.0,418.0,30.0,60.0,29.0,921.0,77.0,,142.0,1068.0,1147337.0,268.0,43.0,62846.0,1336.0,998.0,457.0,1614.0
2007年,1047418.0,2342961.0,160.0,12.0,22.0,486.0,35.0,56.0,22.0,1050.0,84.0,222.0,148.0,1216.0,1295543.0,290.0,48.0,71169.0,1506.0,1134.0,457.0,1813.0
2008年,1120166.0,2461840.0,186.0,,22.0,527.0,37.0,52.0,22.0,1155.0,104.0,218.0,152.0,1235.0,1341674.0,297.0,49.0,68592.0,1532.0,1259.0,484.0,1961.0
2009年,919899.0,2345085.0,219.0,,22.0,593.0,37.0,51.0,19.0,1297.0,120.0,209.0,165.0,1329.0,1425186.0,263.0,72.0,107262.0,1592.0,1417.0,555.0,2181.0
2010年,1070167.0,2765147.0,281.0,11.0,11.0,650.0,40.0,48.0,18.0,1453.0,144.0,202.0,175.0,1578.0,1694980.0,302.0,85.0,121437.0,1880.0,1597.0,606.0,2405.0
2011年,1494387.0,3490571.0,357.0,,,700.0,40.0,51.0,15.0,1601.0,163.0,303.0,178.0,1847.0,1996184.0,443.0,91.0,135103.0,2290.0,1764.0,1124.0,3191.0
2012年,1284712.0,3280114.0,432.0,,,756.0,40.0,46.0,13.0,1769.0,172.0,328.0,180.0,2076.0,1995402.0,381.0,99.0,133333.0,2457.0,1941.0,1320.0,3589.0
2013年,1503150.0,4106000.0,503.0,,,854.0,29.0,45.0,11.0,1985.0,160.0,340.0,190.0,2449.0,2602850.0,427.0,107.0,168363.0,2876.0,2145.0,1519.0,4004.0
2014年,1767210.0,4637214.0,579.0,,,958.0,24.0,41.0,9.0,2218.0,152.0,359.0,200.0,2652.0,2870004.0,490.0,114.0,179320.0,3142.0,2370.0,1798.0,4168.0
