,国内航线客货总周转量,国内航线旅客周转量,国内航线旅客运输量,国内航线货物周转量,国内航线货物运输量,国际航线客货总周转量,国际航线旅客周转量,国际航线旅客运输量,国际航线货物周转量,国际航线货物运输量,民用航空客货总周转量,民用航空旅客周转量,民用航空旅客运输量,民用航空货物周转量,民用航空货物运输量,民用航空飞机农林业航空作业通用飞行时间,民用航空飞机工业航空作业通用飞行时间,民用航空飞机播种造林作业通用飞行时间,民用航空飞机航空护林作业通用飞行时间,民用航空飞机通用飞行时间,港、澳地区航线客货总周转量,港、澳地区航线旅客周转量,港、澳地区航线旅客运输量,港、澳地区航线货物周转量,港、澳地区航线货物运输量
1978年,,,,,,,,,,,,27.91,231.0,0.97,6.4,,,,,,,,,,
1979年,2.5949,26.6128,273.71,0.7039,6.8408,1.1322,8.1016,14.77,0.5246,0.9647,3.7536,34.99,297.98,1.23,8.0,,,,,,,,,,
1980年,2.7712,28.2989,294.27,0.7483,6.8591,1.3759,9.9868,24.65,0.6065,1.3905,4.2935,39.56,343.0,1.41,8.9,,,,,,0.1464,1.2695,24.2,0.0512,0.637
1981年,3.0299,31.6895,326.0,0.7536,7.013,1.9236,14.5048,28.0,0.8356,1.4716,5.3583,50.16,401.29,1.7,9.4,19511.0,,3428.0,4992.0,38869.0,0.4048,3.9659,47.0,0.1074,0.936
1982年,3.305,35.0792,355.75,0.7929,7.2277,2.5334,19.7706,36.88,1.0506,1.7748,6.3249,59.51,445.23,1.98,10.2,16706.0,,3245.0,4486.0,38544.0,0.4865,4.6555,52.6,0.1374,1.165
1983年,,,,,,,,,,,6.5903,58.96,391.45,2.29,11.6,17883.0,,3979.0,3211.0,42804.0,,,,,
1984年,4.7098,48.3106,434.0,1.2065,10.4712,3.7917,28.256,56.0,1.6725,2.8418,9.2249,83.1576,554.17,3.11,15.0,18468.0,,4592.0,2278.0,47303.0,0.7234,6.5826,64.0,0.2296,1.7849
1985年,6.7423,70.6092,595.0,1.6405,13.4242,5.0615,38.1769,75.0,2.199,3.7922,12.7102,115.7163,747.0,4.15,19.5,14841.0,28181.0,6547.0,3785.0,43022.0,0.9064,7.9302,77.0,0.3118,2.2895
1986年,9.1901,100.0283,831.0,1.9612,15.5809,5.254,36.9232,76.0,2.4847,4.2118,15.4801,146.0028,996.0,4.7627,22.4,18271.0,,6895.0,4957.0,44022.0,1.036,9.0513,90.0,0.3618,2.6414
1987年,12.2373,130.8847,1109.0,2.6836,21.1557,6.8254,45.18,95.0,3.436,5.7231,20.2833,186.0634,1310.0,6.5236,29.9,33730.0,12019.0,6273.0,6256.0,45749.0,1.2206,10.8883,106.0,0.404,2.997
1988年,13.2925,143.6921,1171.0,2.9741,22.6807,8.098,56.7502,115.0,3.8417,6.3435,23.1212,216.9087,1442.0,7.3181,32.7237,24231.0,,6791.0,5051.0,38268.0,1.7307,16.512,157.0,0.4923,3.781
1989年,11.9506,127.7069,1052.0,2.8065,20.863,6.9539,44.1193,86.0,3.645,6.5123,20.5602,186.77,1283.0,6.9341,31.0,23342.0,,4626.0,4370.0,34451.0,1.6557,14.9669,145.0,0.4827,3.5946
1990年,14.5156,157.6554,1346.0,3.1647,23.9467,8.2595,51.691,114.0,4.383,8.1102,24.995,230.4797,1660.0,8.1825,36.9722,22674.0,19850.0,4605.0,3573.0,42524.0,2.2199,21.1333,200.0,0.6348,4.9153
1991年,19.0329,211.7406,1797.0,3.7803,28.8962,10.3772,64.4647,153.0,5.5424,10.3724,32.0663,301.32,2178.0,10.1,45.2,28478.0,20538.0,4379.0,3782.0,49016.0,2.6562,25.1132,228.0,0.7727,5.9299
1992年,26.0459,294.4009,2394.0,4.9504,36.9681,13.4903,79.5337,202.0,7.5612,13.3724,42.8456,406.12,2886.0,13.42,57.5,25310.0,18675.0,5138.0,3956.0,43985.0,3.3094,32.1859,290.0,0.9125,7.1864
1993年,31.2621,351.7911,2805.0,6.0606,44.1896,15.8708,86.242,234.0,9.4522,16.7261,51.182,477.6,3383.0,16.61,69.4,15161.0,17226.0,3663.0,2243.0,32387.0,4.0491,39.5713,344.0,1.1011,8.4777
1994年,37.7594,419.3544,3446.0,7.7515,56.5202,17.0017,96.8129,288.0,9.8094,18.6731,58.4122,551.58,4039.0,18.58,82.9,15196.0,15547.0,2839.0,2846.0,30743.0,3.651,35.4129,306.0,1.0157,7.7501
1995年,47.466,528.7232,4419.0,9.6604,70.2557,20.125,114.971,368.0,11.5894,22.9632,71.4385,681.3,5117.0,22.3,101.1,16838.0,22647.0,1713.0,2410.0,39485.0,3.8475,37.6094,330.0,1.0483,7.8956
1996年,54.0717,573.1759,4782.0,11.419,82.1556,22.5802,136.1709,440.0,12.4217,24.7126,80.6078,747.84,5555.0,24.93,115.0,18933.0,24138.0,2636.0,2909.0,43071.0,3.9559,38.4951,334.0,1.0918,8.1033
1997年,58.7698,608.882,5112.0,13.4759,95.387,27.8132,163.5499,505.0,15.6132,29.1142,86.6771,773.52,5630.0,29.1,124.7,16582.0,24295.0,1384.0,2352.0,40877.0,0.0942,1.0849,13.0,0.0134,0.1577
1998年,61.6686,622.8104,5205.0,15.3684,108.1655,31.1262,175.4665,526.0,18.0499,31.4942,92.9736,800.24,5755.0,33.45,140.1,19225.0,23737.0,2252.0,3575.0,42962.0,0.1788,1.9675,24.0,0.0322,0.3959
1999年,66.6638,651.672718,5463.0,18.223339,128.0552,39.4489,205.60906,631.0,24.119393,42.37445,106.1127,857.3,6094.0,42.34,170.4,18555.0,21513.0,1383.0,2929.0,40068.0,5.124,46.0761,376.0,1.695768,11.9088
2000年,75.981759,737.728252,6031.1956,21.113303,147.4767,46.518983,232.815447,690.4651,29.155016,49.23557,122.500742,970.543699,6721.66,50.268319,196.71228,22922.0,25785.0,4060.0,3927.0,48707.0,5.687819,50.240464,403.38,1.949457,13.5442
2001年,95.155,846.3034,6832.0,19.609,135.4019,46.0367,245.0505,693.0,24.106,35.5795,141.1918,1091.35,7524.0,43.72,171.0,30754.0,21752.0,4934.0,5300.0,55937.0,6.0452,53.6808,424.0,1.2495,8.2796
2002年,110.0647,971.9846,7756.0,23.2451,159.5299,54.8619,296.7177,838.0,28.3064,42.5321,164.9267,1268.7,8594.0,51.55,202.1,25266.0,23685.0,5465.0,5795.0,57577.0,6.5578,56.7557,438.0,1.4856,9.6836
