,公路货运量,合资铁路货运量,国家铁路货运量,地方铁路货运量,民用航空货运量,水运货运量,管道货运量,货物运输量,远洋货运量,铁路货运量
1978年,151602.0,0.0,107492.0,2627.0,6.4,47357.0,10347.0,319431.0,3659.0,110119.0
1979年,147935.0,0.0,109495.0,2398.0,8.0,47080.0,11342.0,318258.0,4249.0,111893.0
1980年,142195.0,0.0,108584.0,2695.0,8.9,46833.0,10525.0,310841.0,4292.0,111279.0
1981年,134499.0,0.0,104836.0,2837.0,9.4,45532.0,10929.0,298642.4,4530.0,107673.0
1982年,138634.0,0.0,111048.0,2447.0,10.2,48632.0,11166.0,311937.2,4606.0,113495.0
1983年,144051.0,0.0,116070.0,2714.0,11.6,49489.0,11620.0,323955.6,4759.0,118784.0
1984年,151835.0,0.0,121215.0,2859.0,15.0,51527.0,12544.0,339995.0,5545.0,124074.0
1985年,538062.0,0.0,127516.0,3193.0,19.5,63322.0,13650.0,745763.0,6627.0,130709.0
1986年,620113.0,0.0,132219.0,3416.0,22.4,82962.0,14825.0,853557.0,7228.0,135635.0
1987年,711424.0,0.0,136949.0,3704.0,29.9,80979.0,15143.0,948229.0,7984.0,140653.0
1988年,732315.0,0.0,140555.0,4395.0,32.7237,89281.0,15618.0,982195.0,8530.0,144948.0
1989年,733781.0,0.0,146805.0,4685.0,31.0,87493.0,15641.0,988435.0,9027.0,151489.0
1990年,724040.0,0.0,146209.0,4472.0,36.9722,80094.0,15750.0,970602.0,9408.0,150681.0
1991年,733907.0,0.0,147898.0,4995.0,45.2,83370.0,15578.0,985793.0,10567.0,152893.0
1992年,780941.0,0.0,152317.0,5310.0,57.5,92490.0,14783.0,1045899.0,11191.0,157627.0
1993年,840256.0,0.0,156791.0,6003.0,69.4,97938.0,14845.0,1115902.0,12508.0,162794.0
1994年,894914.0,0.0,157278.0,5938.0,82.9,107091.0,15092.0,1180396.0,13421.0,163216.0
1995年,940387.0,0.0,159473.0,6509.0,101.1,113194.0,15274.0,1234938.0,15251.0,165982.0
1996年,983860.0,2112.0,161787.0,7125.0,115.0,127430.0,15992.0,1298421.0,14213.0,171024.0
1997年,976536.0,2285.0,162010.0,7854.0,124.7,113406.0,16002.0,1278218.0,20287.0,172149.0
1998年,976004.0,2839.0,153435.0,8035.0,140.1,109555.0,17419.0,1267427.0,18892.0,164309.0
1999年,990444.0,3019.0,157239.0,7296.0,170.4,114608.0,20232.0,1293008.0,22621.0,167554.0
2000年,1038813.0,4156.0,166056.0,8369.0,196.71228,122391.0,18700.0,1358682.0,22949.0,178581.0
2001年,1056312.0,4446.0,179201.0,9542.0,171.0,132675.0,19439.0,1401786.0,27573.0,193189.0
2002年,1116324.0,6137.0,187578.0,11241.0,202.1,141832.0,20133.0,1483446.86,29896.0,204956.0
2003年,1159957.0,11370.0,199814.0,13064.0,219.0,158070.0,21998.0,1564491.54156,34002.0,224248.0
2004年,1244990.0,16277.0,217816.0,14924.0,276.7,187394.0,24734.0,1706412.0,39469.0,249017.0
2005年,1341778.0,19655.0,231839.0,17802.0,306.7168,219648.0,31037.0,1862066.0,48549.0,269296.0
2006年,1466347.0,23154.0,245476.0,19593.0,349.43196,248703.0,33436.2687891,2037059.70075,54413.0,288224.0
2007年,1639432.0,27447.0,262400.0,24390.0,401.84851,281199.0,40551.7622085,2275821.61072,58903.0,314237.0
2008年,1916759.0,27982.7178,275243.4237,27127.7569,407.63762,294510.0,43906.295,2585937.3156,42352.0,330354.1394
2009年,2127834.0,31902.9961,277571.6981,23873.2283,445.5347,318996.0,44598.4844513,2825221.94165,51733.0,333347.9225
2010年,2448052.0,35640.7682,309541.0835,19088.9458,563.03705,378949.0,49971.8547866,3241806.68934,58054.0,364270.7975
2011年,2820100.0,41549.3636,329534.7554,22178.7713,557.477,425968.0,57072.72,3696961.0873,63542.0,393262.8903
2012年,3188475.0,43971.453,323559.4977,22906.5559,545.03422,458705.0,62273.6237173,4100436.16454,65815.0,390437.5066
2013年,3076648.0,49490.6775,322207.2389,24999.2997,561.25263,559785.0,65208.7774233,4098900.03185,71156.0,396697.0018
2014年,3332837.537,50296.1954,306942.2848,24095.3269,594.09882,598282.539,73751.8442782,4386799.8262,74733.0,381333.8071
