,公路里程,内河航道里程,国家铁路复线里程,国家铁路复线里程占营业里程比重,国家铁路自动闭塞里程,国家铁路营业里程,等级公路里程,等级公路里程比重,等级航道里程,等级航道里程比重
1978年,89.02,13.6,0.763,15.6937759677,0.5981,4.8618,,,5.7408,42.2117647059
1979年,87.58,10.78,0.78998,15.8630522088,0.5997,4.98,50.6444,57.8264443937,5.7472,53.3135435993
1980年,88.825,10.85,0.8119,16.2705410822,0.6044,4.99,52.1134,58.6697438784,5.3899,49.6764976959
1981年,89.75,10.87,0.8263,16.4601593625,0.6408,5.02,53.667,59.7961002786,5.4922,50.5262189512
1982年,90.7,10.86,0.8613,17.0554455446,0.65367,5.05,55.0294,60.6718853363,5.5595,51.1924493554
1983年,91.51,10.89,0.9183,17.7965116279,0.6615,5.16,56.2815,61.5031144137,5.6177,51.5858585859
1984年,92.67,10.93,0.9671,18.7059961315,0.6932,5.17,58.0381,62.6287903313,5.6732,51.9048490393
1985年,94.24,10.91,0.9989,19.2,0.6921,5.2119,60.6443,64.3509125637,5.7456,52.6636113657
1986年,96.28,10.94,1.0613,20.2202450131,0.7425,5.2487,63.771,66.234939759,5.7491,52.5511882998
1987年,98.22,10.98,1.1186,21.2617133299,0.811,5.2611,66.839,68.0502952555,5.8165,52.959600834
1988年,99.96,10.94,1.1771,22.3075027953,0.8629,5.2767,69.7271,69.7550020008,5.7971,53.0073881716
1989年,101.43,10.9,1.2528,23.5546280106,0.9259,5.3187,71.5923,70.5829636202,5.8131,53.3116287601
1990年,102.8348,10.9192,1.3024,24.4,1.037,5.3378,74.1104,72.0674324256,5.9575,54.559857865
1991年,104.11,10.97,1.338,25.049143499,1.0937,5.3415,76.4668,73.4480837576,6.0336,54.9994074911
1992年,105.67,10.97,1.3658,25.4979930925,1.1287,5.3565,78.6935,74.4709946058,6.143,55.9736851697
1993年,108.35,11.02,1.4315,26.6068175904,1.22,5.3802,82.2133,75.8775265344,6.3395,57.5272232305
1994年,111.78,11.0238,1.5475,28.6574074074,1.2613,5.4,86.14,77.0620862408,6.3894,57.9600500735
1995年,115.7,11.06,1.6909,30.9597920023,1.291,5.4616,91.0754,78.7162416196,6.4323,58.1782167472
1996年,118.58,11.08,1.8423,32.4920634921,1.5254,5.67,94.8068,79.9517625232,6.4915,58.5875451264
1997年,122.64,10.98,1.9046,33.0659722222,1.7344,5.76,99.7496,81.3352902805,6.4328,58.5865209472
1998年,127.85,11.03,1.9673,34.1545138889,2.1042,5.76,106.9243,83.6326163473,6.6682,60.4551223935
1999年,135.17,11.65,2.0925,36.1398963731,1.7969,5.79,115.6736,85.5763852926,6.0156,51.6360515021
2000年,167.9848,11.9325,2.14079,36.4974367455,1.83178,5.86559,131.5931,78.3363137617,6.1367,51.4284517075
2001年,169.8,12.15,2.264,38.3,1.8845,5.9079,133.6044,78.6833922261,6.3692,52.421399177
2002年,176.52,12.16,2.3058,38.7,2.0682,5.953,138.2926,78.343870383,6.3597,52.3001644737
2003年,180.98,12.4,2.3702,39.2,2.192,6.0446,143.8738,79.4970714996,6.0865,49.0846774194
2004年,187.07,12.33,2.3841,39.1,2.2724,6.1015,151.5826,81.0298818624,6.0842,49.3446877534
2005年,334.52,12.33,2.44972,39.4,2.41489,6.22,159.1791,47.584329786,6.1013,49.4833738848
2006年,345.6999,12.338827,2.5244,39.8,2.563,6.3412,228.2872,66.0362354748,6.1035,49.4658041644
2007年,358.3715,12.349518,2.5793858,40.533116661,2.6526,6.3636503,253.5383,70.7473390044,6.119733,49.5544279542
2008年,373.0164,12.276349,2.6598852,41.5770226328,2.81,6.3974884,277.8521,74.4879045533,6.1093,49.764795706
2009年,386.0823,12.3683,2.8682,43.7953306561,3.1619,6.5491,305.6265,79.1609716374,6.154615,49.7612040458
2010年,400.8229,12.424178,2.9683617,44.812887401,3.75,6.6239019,330.4709,82.4481086285,6.229022,50.1362907067
2011年,410.6387,12.4612,2.988392,45.2445426842,3.41753,6.6049778,345.359,84.1028865521,6.26484,50.2747728951
2012年,423.7508,12.499463,3.0661478,46.2480547642,3.7299562,6.6297876,360.96,85.1821400691,6.371861,50.9770779753
2013年,435.6218435,12.585297,3.1854468,47.8402690141,3.8839647,6.6585052,375.5567,86.2116318554,6.490045,51.568469143
2014年,446.3913,12.628002,3.2545762,48.5835839607,3.539593,6.6989216,390.0834,87.3859772805,6.536228,51.7597954134
