,公路营运普通载货汽车吨位数,公路营运普通载货汽车拥有量,公路营运汽车客位数,公路营运汽车拥有量,公路营运载客汽车拥有量,公路营运载货汽车吨位数,公路营运载货汽车拥有量
1978年,,14.8,,18.5,3.34,,14.8
1979年,,,,18.98,3.56,,15.42
1980年,,15.88,,19.95,4.07,,15.88
1981年,,17.19,,22.16,4.97,,17.2
1982年,,18.56,,24.17,5.62,,18.5
1983年,,19.27,,25.45,6.18,,19.27
1984年,,19.15,,26.11,6.95,,19.15
1985年,,19.41,,27.73,8.32,,19.41
1986年,,20.2,388.94,29.27,9.06,1186500.0,20.2
1987年,1198700.0,20.25,418.13,30.32,9.63,1227300.0,20.54
1988年,1241100.0,19.93,441.84,30.69,10.16,1272600.0,20.26
1989年,1247400.0,19.73,457.23,30.85,10.49,1286200.0,20.09
1990年,1270600.0,19.82,468.92,31.3,10.76,1316058.0,20.2168
1991年,1265400.0,19.36,497.35,31.67,11.53,1320177.0,19.8291
1992年,1184200.0,17.59,528.87,30.87,12.7,1259109.0,18.1691
1993年,1083700.0,15.53,509.56,28.96,12.85,1162007.0,16.1471
1994年,1012100.0,14.22,493.94,27.97,13.05,1097983.0,14.8652
1995年,945600.0,13.12,480.61,27.49,13.73,1031260.0,13.7524
1996年,918300.0,12.74,499.58,28.81,15.41,1020823.0,13.4
1997年,850900.0,12.22,519.1,29.89,17.01,953100.0,12.88
1998年,795100.0,11.81,536.43,31.88,19.4,900200.0,12.48
1999年,14060000.0,401.28,1409.86,501.77,92.14,14810200.0,409.62
2000年,15737292.0,475.24,2524.45,702.8179,216.8093,16677000.0,486.02
2001年,16214034.0,496.6455,2701.6799,764.3869,255.1167,17335780.0,509.2702
2002年,16747900.0,520.27,2972.32,826.34,289.55,18084500.0,536.78
2003年,17888551.0,553.2333,3430.6397,924.6393,352.1877,19415184.0,572.4516
2004年,21196419.0,604.9287,3872.2112,1067.1796,439.0901,23386067.0,628.0895
2005年,22821481.0,580.2777,1859.2832,733.2202,128.4011,25377528.0,604.8191
2006年,23431340.0,598.4341,2312.4073,802.5774,161.9219,28226852.0,640.6555
2007年,26437426.0,648.0073,2428.8089,849.2237,164.7297,31356868.0,684.494
2008年,31397612.0,720.1778,2560.3642,930.6056,169.6399,36862022.0,760.9657
2009年,40027959.0,859.2746,2799.7148,1087.3515,180.7909,46552291.0,906.5606
2010年,52232319.0,996.4252,2017.0891,1133.3221,83.1319,59998178.0,1050.1902
2011年,62735114.0,1116.3639,2086.6567,1263.7525,84.3412,72612001.0,1179.4113
2012年,69632860.0,1184.5813,2166.5517,1339.8917,86.7055,80621408.0,1253.1862
2013年,50083378.0,1080.7508,2170.2588,1504.7322,85.2566,96139137.0,1419.4756
2014年,52414465.0,1091.3213,2189.5471,1537.932,84.5759,102924686.0,1453.3561
