,一般火灾发生数,火灾发生数,特大火灾发生数,较大火灾发生数,重大火灾发生数
1978年,0,0,0,0,0
1979年,0,0,0,0,0
1980年,0,0,0,0,0
1981年,0,0,0,0,0
1982年,0,0,0,0,0
1983年,0,0,0,0,0
1984年,0,0,0,0,0
1985年,0,0,0,0,0
1986年,0,0,0,0,0
1987年,0,0,0,0,0
1988年,0,0,0,0,0
1989年,0,0,0,0,0
1990年,56088,57302,106,0,1108
1991年,43614,45020,124,0,1282
1992年,37779,39391,177,0,1435
1993年,35936,38094,205,0,1953
1994年,36701,39357,264,0,2392
1995年,34414,37136,200,0,2522
1996年,34030,36856,196,0,2630
1997年,139672,140280,88,0,520
1998年,140678,141305,78,0,549
1999年,179369,179955,85,0,501
2000年,188740,189185,61,0,384
2001年,216422,216784,35,0,327
2002年,257946,258315,25,0,344
2003年,253590,253932,37,0,305
2004年,252418,252704,27,0,259
2005年,235658,235941,33,0,250
2006年,222501,222702,20,0,181
2007年,163446,163521,1,66,8
2008年,136752,136835,2,77,4
2009年,129317,129381,1,59,4
2010年,132416,132497,0,77,4
2011年,125330,125417,0,80,7
2012年,152095,152157,0,60,2
2013年,0,0,0,0,0
2014年,0,0,0,0,0
