,人均国内生产总值指数(上年=100),国内生产总值指数(上年=100),国民总收入指数(上年=100),第一产业增加值指数(上年=100),第三产业增加值指数(上年=100),第二产业增加值指数(上年=100)
1978年,110.162560342,111.646643994,111.646643994,104.142809027,113.59662113,115.032991033
1979年,106.140138944,107.565457151,107.565457151,106.13410953,107.814673113,108.196182561
1980年,106.506008343,107.850241327,107.850241327,98.5170137125,106.063825505,113.573219725
1981年,103.797081193,105.13522453,105.090149538,106.982814879,109.671068569,101.879009353
1982年,107.438008461,109.031928718,109.224236316,111.529076861,112.713296307,105.558572925
1983年,109.178001786,110.767021612,111.042949677,108.325736858,114.66904824,110.37474838
1984年,113.730268329,115.232320079,115.359867562,112.880785414,119.478827605,114.475961505
1985年,111.974657488,113.509844001,113.260466447,101.843844739,118.256575447,118.57413461
1986年,107.34028053,108.948791546,108.643588263,103.318368144,112.34306963,110.228481089
1987年,109.941619886,111.718861175,111.653588851,104.704326469,114.777314841,113.701339849
1988年,109.525831985,111.303548584,111.332998327,102.544207867,113.277604414,114.479159803
1989年,102.622942606,104.208449976,104.302413682,103.074960408,105.850152543,103.74847876
1990年,102.404810215,103.918477168,104.145254227,107.327898937,102.659482454,103.166886463
1991年,107.805764557,109.28678386,109.216414154,102.353426948,109.227772743,113.86392939
1992年,112.874289834,114.266116398,114.090849275,104.650944152,112.633616423,121.153726221
1993年,112.634864905,113.937208854,113.642502166,104.649281657,112.216036831,119.864913835
1994年,111.824484109,113.095561945,113.122769618,103.945766336,111.421666769,118.255088342
1995年,109.780657613,110.979937851,109.396442182,104.942688165,110.106565308,113.874583109
1996年,108.777890293,109.924032623,110.106934581,105.039705959,109.214426169,112.103982526
1997年,108.117157345,109.22936415,109.557784539,103.436289886,110.427661123,110.473954533
1998年,106.818168123,107.848075628,107.32993315,103.432814303,108.406428101,108.910484797
1999年,106.694678218,107.622506586,107.945358589,102.730576746,109.213891821,108.155973381
2000年,107.579925003,108.430956591,108.553404595,102.327290219,109.720320594,109.404096227
2001年,107.520949455,108.304804252,108.061001771,102.637161011,110.242060195,108.446693498
2002年,108.356387854,109.084812681,109.546181714,102.698608761,110.452269114,109.828582609
2003年,109.338884568,110.02203911,110.469980948,102.371025009,109.52475693,112.666099237
2004年,109.42535,110.077196912,110.470462393,106.10391422,110.091028688,111.102483639
2005年,110.695001476,111.34794462,110.850246653,105.072271011,112.325642101,112.068641612
2006年,112.058508344,112.685964478,113.278043308,104.753438313,114.115305485,113.408446249
2007年,113.604543263,114.199419916,114.676080366,103.521180252,116.058515817,115.015212774
2008年,109.060737872,109.620984931,110.056740774,105.154548452,110.458272911,109.799241159
2009年,108.694111432,109.236082441,108.372756033,103.997477994,109.465483202,110.072881622
2010年,110.09626005,110.629266673,110.337775834,104.253189812,109.686695421,112.675379301
2011年,108.963855703,109.487209337,108.92901721,104.175754914,109.504362935,110.577910614
2012年,107.223848095,107.747550834,108.514471303,104.471715,107.960918848,108.188559914
2013年,107.154993454,107.685336079,107.052995685,103.819009923,108.256443244,107.878216704
2014年,106.727746534,107.269491788,107.800168811,104.056782502,107.848554958,107.306059278
