,人均国内生产总值指数(1978年=100),国内生产总值指数(1978年=100),国民总收入指数(1978年=100),第一产业增加值指数(1978年=100),第三产业增加值指数(1978年=100),第二产业增加值指数(1978年=100)
1978年,100.0,100.0,100.0,100.0,100.0,100.0
1979年,106.140138944,107.565457151,107.565457151,106.13410953,107.814673113,108.196182561
1980年,113.045625239,116.009605122,116.009605122,104.560155239,114.352366759,122.881888154
1981年,117.338059414,121.966958821,121.914667501,111.861397317,125.411462558,125.190850325
1982年,126.065674201,132.982927601,133.160364536,124.757983791,141.355393396,132.149675036
1983年,137.635984031,147.301228155,147.865196581,135.145005231,162.090884244,145.859871306
1984年,156.533773956,169.738622709,170.577094946,152.552743352,193.66428815,166.974490127
1985年,175.278157241,192.670045846,193.196413387,155.365579085,229.020755029,197.988556688
1986年,188.14406569,209.911686621,209.895515899,160.521180968,257.288946289,218.239778767
1987年,206.848633539,234.510945766,234.35587634,168.072621372,295.309343934,248.141552541
1988年,226.552686833,261.019004456,260.915423884,172.348738228,334.51935042,284.07036447
1989年,232.495033782,272.003858685,272.14108478,177.648393692,354.089242704,294.718681744
1990年,238.086098103,282.662267783,283.4220246,190.666288446,363.506183984,304.05208778
1991年,256.670538363,308.912501647,309.54337219,195.153480259,397.049708549,346.205654539
1992年,289.715047391,352.9823187,353.160662206,204.229959637,447.211445735,419.441050863
1993年,326.320152238,402.178201674,401.340613195,213.725185688,501.842960658,502.762654206
1994年,364.905826786,454.845697204,454.007617246,222.158282117,559.161791329,594.542420881
1995年,400.596016314,504.787472074,496.668180501,233.138873235,615.673842944,677.032703186
1996年,435.759895143,554.882745479,546.866108591,244.888386922,672.404654641,758.980623274
1997年,471.131211478,606.094894666,599.134392966,253.303461795,742.520733403,838.475908672
1998年,503.253729557,653.661680376,643.050543448,261.998899261,804.940204991,913.188177043
1999年,536.944947368,703.487085013,694.143215032,269.152980278,879.1065247,987.667561684
2000年,577.644971685,762.797775774,753.51609268,275.416951261,964.558497265,1080.54876958
2001年,621.089358034,826.146637888,814.257038257,282.680139716,1063.34915917,1171.81941225
2002年,672.989993714,901.200512414,891.98749475,290.308570731,1174.49327491,1286.99265121
2003年,735.83975238,991.519180231,985.378415508,297.191859545,1286.3609045,1450.00441759
2004年,805.19522448,1091.43652044,1088.55209194,315.332195721,1416.1679524,1610.99092082
2005年,891.31086562,1215.29213235,1206.66267886,331.326699272,1590.71974575,1805.41564146
2006年,998.789660726,1369.46366057,1366.88387194,347.076109536,1815.25469727,2047.49382732
2007年,1134.67043223,1563.91955633,1567.4888475,359.297284964,2106.75765996,2354.92938203
2008年,1237.4799458,1714.38402117,1725.12713755,377.817437603,2327.08812561,2585.69459129
2009年,1345.06783124,1872.72594272,1869.56782403,392.92060653,2547.35826123,2846.14854659
2010年,1480.86937734,2071.78297722,2062.83955474,409.632265737,2794.11309728,3206.90867035
2011年,1613.61237147,2268.33736527,2247.03085361,426.737505204,3059.67574687,3546.13260296
2012年,1730.17727803,2444.07795573,2438.35365081,445.819990234,3303.25405008,3836.50979579
2013年,1853.97134902,2631.91356066,2610.33062859,462.845899902,3575.98534595,4138.75835138
2014年,1978.70184219,2823.24030083,2813.94082414,481.622551382,3856.64852112,4441.1384899
