,住户部门实物交易资金运用_其他经常转移,住户部门实物交易资金运用_其他财产收入,住户部门实物交易资金运用_其他资本转移,住户部门实物交易资金运用_其他非金融资产获得减处置,住户部门实物交易资金运用_净出口,住户部门实物交易资金运用_净金融投资,住户部门实物交易资金运用_初次分配总收入,住户部门实物交易资金运用_利息,住户部门实物交易资金运用_劳动者报酬,住户部门实物交易资金运用_单位社会保险付款,住户部门实物交易资金运用_可支配总收入,住户部门实物交易资金运用_固定资本形成总额,住户部门实物交易资金运用_地租,住户部门实物交易资金运用_增加值,住户部门实物交易资金运用_存货增加,住户部门实物交易资金运用_居民消费,住户部门实物交易资金运用_工资及工资性收入,住户部门实物交易资金运用_总储蓄,住户部门实物交易资金运用_投资性补助,住户部门实物交易资金运用_收入税,住户部门实物交易资金运用_政府消费,住户部门实物交易资金运用_最终消费,住户部门实物交易资金运用_生产税,住户部门实物交易资金运用_生产税净额,住户部门实物交易资金运用_生产补贴,住户部门实物交易资金运用_社会保险福利,住户部门实物交易资金运用_社会保险缴款,住户部门实物交易资金运用_社会补助,住户部门实物交易资金运用_红利,住户部门实物交易资金运用_经常转移,住户部门实物交易资金运用_财产收入,住户部门实物交易资金运用_资本形成总额,住户部门实物交易资金运用_资本转移
2005年,1166.82847775,46.3,,-1455.40406111,,19526.7435994,,1154.29768874,34220.0491077,,,21504.6253908,13.7227,,375.491659404,72958.7,,,,2094.9104,,72958.7,,1290.10531965,,,6307.1,,,9568.83887775,1214.32038874,21880.1170503,
2006年,1462.40857834,69.7,,-1998.06294319,,30213.5370647,,1925.69813104,39153.5860756,,,20117.3783,19.3706,,518.064516241,82575.5,,,,2453.7087,,82575.5,,1420.52227563,,,7682.8,,,11598.9172783,2014.76873104,20635.4428162,
2007年,2122.12582487,,,-3021.89269557,,42243.1840036,,2666.17026583,46608.6069939,,,22280.11,24.4399,,724.732058647,96332.5,,,,3185.58,,96332.5,,2773.36464163,,,9593.43,,,14901.1358249,2690.61016583,23004.8420586,
2008年,2512.42172789,,,-4336.30407463,,51160.1743361,,3637.5178064,54722.5112744,,,24918.393,24.4399,,2513.64543,111670.4,,,,3722.31,,111670.4,,2066.59331513,,,12135.27,,,18370.0017279,3661.9577064,27432.03843,
2009年,3085.89734497,,,-6570.48347714,,56337.8794128,,3468.46823367,60186.5788585,,,32039.8471,26.5985,,1910.52782377,123584.6,,,,3949.344512,,123584.6,,602.722580233,,,14420.9,,,21456.141857,3495.06673367,33950.3749238,
2010年,3609.89511518,,,-9889.50151664,,71639.428048,,4659.19311495,68530.9711391,,,38161.369,26.5985,,2451.84485871,140758.6,,,,4837.27,,140758.6,,1015.21854662,,,17339.6011,,,25786.7662152,4685.79161495,40613.2138587,
2011年,3962.58291438,,57.2925,-14592.9993738,,74356.3689781,,8287.25429134,80385.4693128,,,53887.3324,42.3179,,3107.98803699,168956.6,,,,6054.11,,168956.6,,1220.45354222,,,21801.2045,,,31817.8974144,8329.57219134,56995.320437,57.2925
2012年,4797.66565316,,57.2925,-14451.8286261,,82437.0886354,,11202.2844756,93667.8195742,,,60068.0041,51.0847,,2703.99843715,190584.6,,,,6163.631912,,190584.6,,1992.02133467,,,25061.6039,,,36022.9014652,11253.3691756,62772.0025372,57.2925
2013年,5655.79718311,,384.6139,-23371.6418939,,87703.4947279,,7598.5354491,101415.272818,,,69897.8958,57.7995,,2736.49629426,219762.5,,,,6603.1764,,219762.5,,2950.56085062,,,28567.8234,,,40826.7969831,7656.3349491,72634.3920943,384.6139
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
