,人口出生率,人口死亡率,人口自然增长率
1978年,18.25,6.25,12.0
1979年,17.82,6.21,11.61
1980年,18.21,6.34,11.87
1981年,20.91,6.36,14.55
1982年,22.28,6.6,15.68
1983年,20.19,6.9,13.29
1984年,19.9,6.82,13.08
1985年,21.04,6.78,14.26
1986年,22.43,6.86,15.57
1987年,23.33,6.72,16.61
1988年,22.37,6.64,15.73
1989年,21.58,6.54,15.04
1990年,21.06,6.67,14.39
1991年,19.68,6.7,12.98
1992年,18.24,6.64,11.6
1993年,18.09,6.64,11.45
1994年,17.7,6.49,11.21
1995年,17.12,6.57,10.55
1996年,16.98,6.56,10.42
1997年,16.57,6.51,10.06
1998年,15.64,6.5,9.14
1999年,14.64,6.46,8.18
2000年,14.03,6.45,7.58
2001年,13.38,6.43,6.95
2002年,12.86,6.41,6.45
2003年,12.41,6.4,6.01
2004年,12.29,6.42,5.87
2005年,12.4,6.51,5.89
2006年,12.09,6.81,5.28
2007年,12.1,6.93,5.17
2008年,12.14,7.06,5.08
2009年,11.95,7.08,4.87
2010年,11.9,7.11,4.79
2011年,11.93,7.14,4.79
2012年,12.1,7.15,4.95
2013年,12.08,7.16,4.92
2014年,12.37,7.16,5.21
