,0-14岁人口,15-64岁人口,65岁及以上人口,少儿抚养比,年末总人口,总抚养比,老年抚养比
1978年,0.0,0.0,0.0,0.0,96259.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,97542.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,98705.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,100072.0,0.0,0.0
1982年,34145.5786,62517.21,4991.2114,54.6178861789,101654.0,62.6016260163,7.9837398374
1983年,0.0,0.0,0.0,0.0,103008.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,104357.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,105851.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,107507.0,0.0,0.0
1987年,31347.24,71984.98,5967.78,43.5469177042,109300.0,51.8372304889,8.29031278469
1988年,0.0,0.0,0.0,0.0,111026.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,112704.0,0.0,0.0
1990年,31658.8077,76305.8442,6368.3481,41.4893617021,114333.0,49.8351813006,8.34581959844
1991年,32094.5533,76790.649,6937.7977,41.7948717949,115823.0,50.8295625943,9.0346907994
1992年,32339.196,77614.0704,7217.7336,41.6666666667,117171.0,50.9661835749,9.29951690821
1993年,32177.3655,79050.839,7288.7955,40.7046476762,118517.0,49.9250374813,9.2203898051
1994年,32359.5,79868.04,7622.46,40.5162064826,119850.0,50.0600240096,9.54381752701
1995年,32218.0,81393.312,7509.502,39.5831048133,121121.0,48.8092952895,9.22619047619
1996年,32311.0,82245.408,7833.0,39.2708333333,122389.0,48.8095238095,9.53869047619
1997年,32093.3096,83447.55,8085.1404,38.4592592593,123626.0,48.1481481481,9.68888888889
1998年,32064.0,84338.0,8359.0,38.0173517281,124761.0,47.9282226331,9.91087090504
1999年,31949.644,85157.122,8679.0,37.5184638109,125786.0,47.7196070576,10.2011432467
2000年,29012.0,88910.0,8821.0,32.6365817125,126743.0,42.5596612346,9.92307952203
2001年,28716.075,89849.408,9062.0,31.9602272727,127627.0,42.0459921116,10.0857648389
2002年,28774.0,90302.0,9377.0,31.8641890545,128453.0,42.2482337047,10.3840446502
2003年,28559.0,90976.0,9692.0,31.3917956384,129227.0,42.0451547661,10.6533591277
2004年,27947.0,92184.0,9857.0,30.3165408314,129988.0,41.0092857763,10.6927449449
2005年,26504.0,94197.0,10055.0,28.1367771797,130756.0,38.8112147945,10.6744376148
2006年,25961.0,95068.0,10419.0,27.3078217697,131448.0,38.267345479,10.9595237093
2007年,25660.0,95833.0,10636.0,26.7757453069,132129.0,37.8742186929,11.098473386
2008年,25166.0,96680.0,10956.0,26.0302027307,132802.0,37.3624327679,11.3322300372
2009年,24659.0,97484.0,11307.0,25.2954330967,133450.0,36.8942595708,11.5988264741
2010年,22259.0,99938.0,11894.0,22.3,134091.0,34.2,11.9
2011年,22164.0,100283.0,12288.0,22.1014528883,134735.0,34.354775984,12.2533230956
2012年,22287.0,100403.0,12714.0,22.1975438981,135404.0,34.8605121361,12.662968238
2013年,22329.0,100582.0,13161.0,22.1997971804,136072.0,35.2846433756,13.0848461951
2014年,22558.0,100469.0,13755.0,22.4526968518,136782.0,36.2,13.690790194
