,普通高等学校专科在校学生数,普通高等学校专科招生数,普通高等学校专科毕(结)业生数,普通高等学校专科预计毕业生数,普通高等学校在校学生数,普通高等学校招生数,普通高等学校数,普通高等学校本专科授予学位数,普通高等学校本科在校学生数,普通高等学校本科招生数,普通高等学校本科毕(结)业生数,普通高等学校本科预计毕业生数,普通高等学校毕(结)业生数,普通高等学校预计毕业生数
1978年,,,,,85.63,40.15,598.0,,,,,,16.5,
1979年,,,,,102.0,27.5,633.0,,,,,,8.5,
1980年,,,,,114.37,28.12,675.0,,,,,,14.7,
1981年,,,,,127.9,27.9,704.0,,,,,,14.0,
1982年,,,,,115.4,31.5,715.0,,,,,,45.7,
1983年,,,,,120.7,39.1,805.0,,,,,,33.5,
1984年,,,,,139.6,47.5,902.0,,,,,,28.7,
1985年,,,,,170.31,61.92,1016.0,,,,,,31.6,
1986年,,,,,188.0,57.2,1054.0,,,,,,39.3,
1987年,,,,,195.8725,61.6822,1063.0,,,,,,53.193,
1988年,,,,,206.5923,66.9731,1075.0,,,,,,55.3466,
1989年,,,,,208.2111,59.7113,1079.0,,,,,,57.6242,
1990年,,,,,206.27,60.89,1075.0,,,,,,61.4,
1991年,,,,,204.3662,61.9874,1075.0,,,,,,61.4267,
1992年,,,,,218.4376,75.4192,1053.0,,,,,,60.4223,
1993年,,,,,253.6,92.4,1065.0,,,,,,57.1,
1994年,,,,,279.9,90.0,1080.0,,,,,,63.7,
1995年,,,,,290.64,92.59,1054.0,,,,,,80.5,
1996年,,,,,302.1,96.6,1032.0,,,,,,83.9,
1997年,,,,,317.4,100.0,1020.0,,,,,,82.9,
1998年,117.4117,43.0492,42.52,,340.9,108.4,1022.0,,223.4647,65.3135,40.4666,,83.0,
1999年,136.1453,61.1864,40.67,,408.5874,154.8554,1071.0,,272.4421,93.669,44.0935,,84.76,
2000年,216.0719,104.5881,45.41,,556.09,220.61,1041.0,,340.0181,116.0191,49.5624,,94.98,
2001年,294.6914,130.0955,46.85,,719.07,268.28,1225.0,,424.3744,138.1835,56.7839,,103.63,
2002年,376.2786,161.7037,68.15,,903.36,320.5,1396.0,,527.0845,158.7939,65.5763,,133.73,
2003年,479.3553,199.6439,94.79,,1108.5642,382.1701,1552.0,,629.2089,182.5262,92.9598,,187.7492,
2004年,595.6533,237.4271,119.4862,,1333.4969,447.3422,1731.0,,737.8436,209.9151,119.629,,239.1152,
2005年,712.9579,268.0934,160.217,209.5325,1561.7767,504.4581,1792.0,130.9692,848.8188,236.3647,146.5786,178.5706,306.7956,388.1031
2006年,795.5046,292.9676,204.8034,253.0949,1738.8441,546.053,1867.0,156.5549,943.3395,253.0854,172.6674,205.6794,377.4708,458.7743
2007年,860.5924,283.8223,248.1963,291.0293,1884.8594,565.9194,1908.0,182.0516,1024.303,282.0971,199.5944,232.4882,447.7907,523.5175
2008年,916.8042,310.6011,286.2715,288.9615,2021.0249,607.6612,2263.0,208.2558,1104.2207,297.0601,225.6783,252.8494,511.9498,541.8109
2009年,964.8059,313.3851,285.5664,321.1179,2144.657,639.4932,2305.0,229.82,1179.8511,326.1081,245.5359,266.296,531.1023,587.4139
2010年,966.1797,310.4988,316.371,332.245,2231.7929,661.7551,2358.0,243.5867,1265.6132,351.2563,259.0535,286.8211,575.4245,619.0661
2011年,958.8501,324.8598,328.5336,324.8092,2308.5078,681.5009,2409.0,270.7934,1349.6577,356.6411,279.6229,311.3087,608.1565,636.1179
2012年,964.2267,314.7762,320.8865,328.6498,2391.3155,688.8336,2442.0,296.6148,1427.0888,374.0574,303.8473,323.1125,624.7338,651.7623
2013年,973.6373,318.3999,318.7494,324.0024,2468.0726,699.833,2491.0,313.0415,1494.4353,381.4331,319.9716,349.745,638.721,673.7474
2014年,1006.6346,337.9835,317.9884,329.7753,2547.6999,721.3987,2529.0,333.8323,1541.0653,383.4152,341.3787,370.1175,659.3671,699.8928
