,初中学校数,学前教育学校数,普通中学学校数,普通小学学校数,普通高等学校数,特殊教育学校学校数,职业中学学校数,高中学校数
1978年,113130.0,163952.0,162345.0,949323.0,598.0,292.0,,49215.0
1979年,103944.0,164629.0,144233.0,923532.0,633.0,289.0,,40289.0
1980年,87077.0,170419.0,118377.0,917316.0,675.0,292.0,3314.0,31300.0
1981年,82271.0,130296.0,106718.0,894074.0,704.0,302.0,2655.0,24447.0
1982年,80775.0,122107.0,101649.0,880516.0,715.0,312.0,3104.0,20874.0
1983年,77598.0,136306.0,96474.0,862165.0,805.0,319.0,5481.0,18876.0
1984年,75903.0,166526.0,93714.0,853740.0,902.0,326.0,7002.0,17318.0
1985年,75903.0,172262.0,93221.0,832309.0,1016.0,375.0,8070.0,17318.0
1986年,75856.0,173376.0,92967.0,820846.0,1054.0,423.0,8187.0,17111.0
1987年,75927.0,176775.0,92857.0,807406.0,1063.0,504.0,8381.0,16930.0
1988年,74968.0,171845.0,91492.0,793261.0,1075.0,577.0,8954.0,16524.0
1989年,73525.0,172634.0,89575.0,777244.0,1079.0,662.0,9173.0,16050.0
1990年,71953.0,172322.0,87631.0,766072.0,1075.0,746.0,9164.0,15678.0
1991年,70608.0,164465.0,85851.0,729158.0,1075.0,886.0,9572.0,15243.0
1992年,69171.0,172506.0,84021.0,712973.0,1053.0,1077.0,9860.0,14850.0
1993年,68415.0,165197.0,82795.0,696681.0,1065.0,1123.0,9985.0,14380.0
1994年,68116.0,174657.0,82358.0,682588.0,1080.0,1241.0,10217.0,14242.0
1995年,67029.0,180438.0,81020.0,668685.0,1054.0,1379.0,10147.0,13991.0
1996年,66092.0,187324.0,79967.0,645983.0,1032.0,1428.0,10049.0,13875.0
1997年,64762.0,182485.0,78642.0,628840.0,1020.0,1440.0,10047.0,13880.0
1998年,63940.0,181368.0,77888.0,609626.0,1022.0,1535.0,10074.0,13948.0
1999年,63086.0,181136.0,77213.0,582291.0,1071.0,1520.0,9636.0,14127.0
2000年,62704.0,175836.0,77268.0,553622.0,1041.0,1539.0,8849.0,14564.0
2001年,65525.0,111706.0,80432.0,491273.0,1225.0,1531.0,7802.0,14907.0
2002年,64661.0,111752.0,80067.0,456903.0,1396.0,1540.0,7402.0,15406.0
2003年,63711.0,116390.0,79490.0,425846.0,1552.0,1551.0,6843.0,15779.0
2004年,63060.0,117899.0,79058.0,394183.0,1731.0,1560.0,6478.0,15998.0
2005年,61885.0,124402.0,77977.0,366213.0,1792.0,1593.0,6423.0,16092.0
2006年,60550.0,130495.0,76703.0,341639.0,1867.0,1605.0,6100.0,16153.0
2007年,59109.0,129086.0,74790.0,320061.0,1908.0,1618.0,6191.0,15681.0
2008年,57701.0,133722.0,72907.0,300854.0,2263.0,1640.0,6128.0,15206.0
2009年,56167.0,138209.0,70774.0,280184.0,2305.0,1672.0,5805.0,14607.0
2010年,54823.0,150420.0,68881.0,257410.0,2358.0,1706.0,5273.0,14058.0
2011年,54063.0,166750.0,67751.0,241249.0,2409.0,1767.0,4856.0,13688.0
2012年,53167.0,181251.0,66725.0,228585.0,2442.0,1853.0,,13509.0
2013年,52764.0,198553.0,,213529.0,2491.0,1933.0,,13352.0
2014年,,209881.0,,201377.0,2529.0,2000.0,,13253.0
