,中央部委中等职业学校数,中央部委其他机构(教学点)(不计校数)数,中央部委成人中等专业学校数,中央部委普通中等专业学校数,中央部委职业高中学校数,中等职业学校数,其他机构(教学点)(不计校数)数,地方中等职业学校数,地方企业中等职业学校数,地方企业其他机构(教学点)(不计校数)数,地方企业成人中等专业学校数,地方企业普通中等专业学校数,地方企业职业高中学校数,地方其他机构(教学点)(不计校数)数,地方成人中等专业学校数,地方普通中等专业学校数,地方职业高中学校数,成人中等专业学校数,教育部门中等职业学校数,教育部门其他机构(教学点)(不计校数)数,教育部门成人中等专业学校数,教育部门普通中等专业学校数,教育部门职业高中学校数,普通中等专业学校数,民办中等职业学校数,民办其他机构(教学点)(不计校数)数,民办成人中等专业学校数,民办普通中等专业学校数,民办职业高中学校数,职业高中学校数,非教育部门中等职业学校数,非教育部门其他机构(教学点)(不计校数)数,非教育部门成人中等专业学校数,非教育部门普通中等专业学校数,非教育部门职业高中学校数
1978年,,,,,,,,,,,,,,,,,,,,,,,,2760.0,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,3033.0,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,3069.0,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,3132.0,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,3076.0,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,3090.0,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,3301.0,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,3557.0,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,3782.0,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,3913.0,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,4022.0,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,3984.0,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,3982.0,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,3925.0,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,3903.0,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,3964.0,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,3987.0,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,4049.0,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,4099.0,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,4143.0,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,4109.0,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,3962.0,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,3646.0,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,3260.0,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,2953.0,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,3065.0,,,,,,,,,,,
2004年,100.0,28.0,24.0,61.0,15.0,11570.0,2295.0,9837.0,,,,,,2056.0,2550.0,2754.0,4533.0,2742.0,6720.0,1380.0,1731.0,1277.0,3712.0,3047.0,1633.0,211.0,168.0,232.0,1233.0,5781.0,3117.0,676.0,819.0,1477.0,821.0
