,初中专任教师数,学前教育专任教师数,普通中学专任教师数,普通小学专任教师数,普通高等学校专任教师数,特殊教育学校专任教师数,职业中学专任教师数,高中专任教师数
1978年,244.1,27.8,318.2,522.6,20.6,0.4,,74.13
1979年,241.0,29.5,307.8,538.2,23.7,0.45,,66.8
1980年,244.9,41.1,302.0,549.9,24.7,0.5,2.3,57.07
1981年,235.0,40.1,284.4,558.0,25.0,0.51,2.9,49.4
1982年,221.5,41.5,268.1,550.5,28.7,0.54,4.0,46.6
1983年,241.6,43.3,259.7,542.5,30.3,0.6,7.3,45.1
1984年,209.7,49.1,255.7,537.0,31.5,0.6,10.4,45.9
1985年,216.0,55.0,265.2,537.7,34.4,0.7,14.1,49.17
1986年,223.9,60.5,275.8,541.4,37.2,0.8,16.4,51.8
1987年,232.7,65.1392,287.0424,543.383,38.5352,0.948,18.5,54.4
1988年,240.3,67.0368,295.9628,550.13,39.3185,1.0777,20.3,55.7
1989年,242.7,70.9119,298.0438,554.3818,39.7365,1.2169,21.4,55.4
1990年,247.0,75.0,303.2621,558.2,39.5,1.4,22.4,56.23
1991年,251.7,76.8927,308.9921,553.2252,39.0771,1.6011,23.5,57.3
1992年,256.5,81.5014,314.1132,552.6491,38.7585,1.8537,24.8,57.6
1993年,260.8,83.6,316.7,555.2,38.8,2.0,26.2,55.9
1994年,268.7,86.1756,323.3707,561.1,39.6,2.3,27.7,54.7
1995年,278.4,87.5,333.4242,566.4,40.1,2.5,29.2,55.05
1996年,289.3,88.8596,346.4759,573.6,40.3,2.7016,30.8,57.2
1997年,298.2,88.4429,358.6762,579.4,40.5,2.9,32.2,60.5
1998年,305.5,87.5,369.7,581.9,40.7,3.0,33.6,64.2
1999年,314.8,87.2,384.1,586.1,42.6,3.1,33.6,69.2
2000年,324.86,85.6,400.5,586.03,46.28,3.2,32.0,75.69
2001年,334.84,54.6,418.84,579.77,53.19,2.85,30.59,84.0
2002年,343.03,57.12,437.63,577.89,61.84,2.98,31.01,94.6
2003年,346.7,61.3,453.7,570.3,72.5,3.0,28.9,107.06
2004年,347.7,65.6,466.8,562.9,85.8,3.1,29.4,119.07
2005年,347.1839,72.16,477.1299,559.25,96.58,3.19,30.2739,129.95
2006年,346.3,77.6491,485.1,558.7557,107.5989,3.3396,30.7,138.72
2007年,346.4296,82.68,490.74,561.26,116.83,3.5,31.7359,144.31
2008年,346.8957,89.86,494.449,562.19,123.75,3.63,32.626,147.55
2009年,351.3438,98.5889,500.6751,563.3447,129.5248,3.7945,32.6082,149.33
2010年,352.3382,114.4225,504.1576,561.7091,134.3127,3.965,30.8948,151.82
2011年,352.2976,131.5634,507.9805,560.4861,139.2676,4.1311,31.7013,155.6829
2012年,350.4363,147.9,509.9,558.55,144.03,4.37,,159.5035
2013年,,166.3487,,558.4644,149.6865,4.5653,,162.9008
2014年,,184.4148,,563.3906,153.451,4.8125,,166.27
