,博士在校学生数,博士招生数,博士授予学位数,博士毕(结)业生数,在职人员攻读博士、硕士学位在校学生数,在职人员攻读博士硕士学位招生数,在职人员攻读博士硕士学位授予学位数,学历文凭考试毕(结)业生数,成人专科在校学生数,成人专科招生数,成人专科毕(结)业生数,成人本科、专科生在校学生数,成人本科、专科生招生数,成人本科、专科生授予学位数,成人本科、专科生毕(结)业生数,成人本科在校学生数,成人本科招生数,成人本科授予学位数,成人本科毕(结)业生数,普通专科在校学生数,普通专科招生数,普通专科毕(结)业生数,普通本科、专科生在校学生数,普通本科、专科生招生数,普通本科、专科生授予学位数,普通本科、专科生毕(结)业生数,普通本科在校学生数,普通本科招生数,普通本科授予学位数,普通本科毕(结)业生数,普通预科生在校学生数,普通预科生毕(结)业生数,电大注册视听生在校学生数,电大注册视听生毕(结)业生数,留学生在校学生数,留学生招生数,留学生授予学位数,留学生毕(结)业生数,研究生在校学生数,研究生招生数,研究生授予学位数,研究生毕(结)业生数,研究生课程进修班在校学生数,研究生课程进修班毕(结)业生数,硕士在校学生数,硕士招生数,硕士授予学位数,硕士毕(结)业生数,网络专科在校学生数,网络专科招生数,网络专科毕(结)业生数,网络本科、专科生在校学生数,网络本科、专科生招生数,网络本科、专科生授予学位数,网络本科、专科生毕(结)业生数,网络本科在校学生数,网络本科招生数,网络本科授予学位数,网络本科毕(结)业生数,自考助学班在校学生数,自考助学班招生数,自考助学班毕(结)业生数,进修及培训在校学生数,进修及培训毕(结)业生数
1978年,,,,,,,,,,,,,,,,,,,,,,,85.63,40.15,,16.5,,,,,,,,,,,,,1.0934,1.0708,,0.0009,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,102.0,27.5,,8.5,,,,,,,,,,,,,1.883,0.811,,0.014,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,114.37,28.12,,14.7,,,,,,,,,,,,,2.1604,0.3616,,0.0476,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,127.9,27.9,,14.0,,,,,,,,,,,,,1.8848,0.9363,,1.1669,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,115.4,31.5,,45.7,,,,,,,,,,,,,2.5847,1.108,,0.4058,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,120.7,39.1,,33.5,,,,,,,,,,,,,3.7166,1.5642,,0.4497,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,139.6,47.5,,28.7,,,,,,,,,,,,,5.7566,2.3181,,0.2756,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,170.31,61.92,,31.6,,,,,,,,,,,,,8.7331,4.6871,,1.7004,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,188.0,57.2,,39.3,,,,,,,,,,,,,11.0371,4.131,,1.695,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,195.8725,61.6822,,53.193,,,,,,,,,,,,,12.0191,3.9017,,2.7603,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,206.5923,66.9731,,55.3466,,,,,,,,,,,,,11.2776,3.5645,,4.0838,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,208.2111,59.7113,,57.6242,,,,,,,,,,,,,10.1339,2.8569,,3.7232,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,206.27,60.89,,61.4,,,,,,,,,,,,,9.3018,2.9649,,3.544,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,204.3662,61.9874,,61.4267,,,,,,,,,,,,,8.8128,2.9679,,3.2537,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,218.4376,75.4192,,60.4223,,,,,,,,,,,,,9.4164,3.3439,,2.5692,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,253.6,92.4,,57.1,,,,,,,,,,,,,10.6771,4.2145,,2.8214,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,279.9,90.0,,63.7,,,,,,,,,,,,,12.7935,5.0864,,2.8047,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,290.64,92.59,,80.5,,,,,,,,,,,,,14.5443,5.1053,,3.1877,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,302.1,96.6,,83.9,,,,,,,,,,,,,16.3322,5.9398,,3.9652,,,,,,,,,,,,,,,,,,,,,,
