,初中毕业生数,普通中学毕业生数,普通小学毕业生数,普通高等学校毕业生数,特殊教育学校毕业生数,职业中学毕业生数,高中毕业生数
1978年,1692.6,2375.3,2287.9,16.5,0.3,,682.7
1979年,1657.9,2384.4,2087.9,8.5,0.34,,726.5
1980年,964.7,1581.0,2053.3,14.7,0.4,7.9,616.2
1981年,1154.2,1640.3,2075.7,14.0,0.37,9.4,486.1
1982年,1032.1,1342.7,2068.9,45.7,0.35,13.1,310.6
1983年,960.3,1195.4,1980.7,33.5,0.3,21.6,235.1
1984年,950.4,1140.2,1995.0,28.7,0.4,27.8,189.8
1985年,998.3,1194.9,1999.9,31.6,0.4,41.3,196.6
1986年,1057.0,1281.0,2016.1,39.3,0.5,57.9,224.0
1987年,1117.3,1364.05,2043.01,53.193,0.4064,75.0,246.78
1988年,1157.2,1407.79,1930.34,55.3466,0.4513,81.0,250.56
1989年,1134.3,1377.5,1857.1,57.6242,0.5026,86.3,243.2
1990年,1109.1,1342.1,1863.1,61.4,0.5,89.3,233.0
1991年,1085.5,1308.5,1846.7,61.4267,0.5819,94.5,222.9
1992年,1102.3,1328.4,1872.4,60.4223,0.8936,96.7,226.1
1993年,1134.2,1365.9,1841.5,57.1,1.2,102.5,231.7
1994年,1152.6,1361.9052,1899.6,63.7,1.4,107.6,209.3021
1995年,1227.4,1429.0254,1961.5,80.5,1.9,124.0,201.6
1996年,1279.0,1483.966,1934.1,83.9,2.4,139.6,204.9
1997年,1442.4,1664.0386,1960.1,82.9,2.8036,150.1,221.7
1998年,1580.2,1832.0,2117.4,83.0,3.5,162.8,251.8
1999年,1589.8,1852.71,2313.74,84.76,3.8,167.83,262.91
2000年,1607.09,1908.6,2419.18,94.98,4.34,176.28,301.51
2001年,1706.98,2047.44,2396.9,103.63,4.63,166.5,340.46
2002年,1879.87,2263.63,2351.92,133.73,4.42,145.43,383.76
2003年,1995.6,2453.7,2267.9,187.7492,4.5,135.5,458.1
2004年,2070.4,2617.4,2135.2,239.1152,4.7,142.5,546.9
2005年,2106.515,2768.0863,2019.4768,306.7956,4.3214,169.9992,661.5713
2006年,2062.4,2789.5,1928.5,377.4708,4.5,179.5,727.1
2007年,1956.8428,2745.1571,1870.1708,447.7907,5.0283,197.7467,788.3143
2008年,1862.8943,2698.9536,1864.9512,511.9498,5.2035,216.6924,836.0593
2009年,1794.7254,2618.4474,1805.1997,531.1023,5.7423,232.128,823.722
2010年,1748.5714,2543.0049,1739.6364,575.4245,5.8941,231.9823,794.4335
2011年,1735.4963,2523.2,1662.8054,608.1565,4.4194,218.9831,787.7401
2012年,1660.7751,2452.3,1641.6,624.7338,4.9,,791.5
2013年,,,1581.0583,638.721,5.0739,,798.9789
2014年,,,1476.628,659.3671,4.9032,,799.6189
