,普通高等学校专任教师数,普通高等学校中级专任教师数,普通高等学校初级专任教师数,普通高等学校副高级专任教师数,普通高等学校教职工总数,普通高等学校无职称专任教师数,普通高等学校校本部工勤人员数,普通高等学校校本部教职工数,普通高等学校校本部教辅人员数,普通高等学校校本部行政人员数,普通高等学校正高级专任教师数
1978年,20.6,0.0,0.0,0.0,51.8,0.0,0.0,0.0,0.0,0.0,0.0
1979年,23.7,0.0,0.0,0.0,57.4,0.0,0.0,0.0,0.0,0.0,0.0
1980年,24.7,0.0,0.0,0.0,63.2,0.0,0.0,0.0,0.0,0.0,0.0
1981年,25.0,0.0,0.0,0.0,66.6,0.0,0.0,0.0,0.0,0.0,0.0
1982年,28.7,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,30.3,0.0,0.0,0.0,76.3,0.0,0.0,0.0,0.0,0.0,0.0
1984年,31.5,0.0,0.0,0.0,80.4,0.0,0.0,0.0,0.0,0.0,0.0
1985年,34.4,0.0,0.0,0.0,87.1,0.0,0.0,0.0,0.0,0.0,0.0
1986年,37.2,0.0,0.0,0.0,93.1,0.0,0.0,0.0,0.0,0.0,0.0
1987年,38.5352,0.0,0.0,0.0,96.8657,0.0,15.1966,80.9659,10.5912,16.6429,0.0
1988年,39.3185,0.0,0.0,0.0,99.3643,0.0,15.2879,82.5728,11.2426,16.7238,0.0
1989年,39.7365,0.0,0.0,0.0,100.4049,0.0,15.2028,83.4007,11.7384,16.723,0.0
1990年,39.5,0.0,0.0,0.0,100.591,0.0,15.1595,83.2055,11.7573,16.832,0.0
1991年,39.0771,0.0,0.0,0.0,100.8898,0.0,15.1402,83.1595,11.8477,17.0945,0.0
1992年,38.7585,0.0,0.0,0.0,101.4,0.0,15.1853,83.285,12.1612,17.18,0.0
1993年,38.8,0.0,0.0,0.0,102.1,0.0,14.9823,83.3046,12.3009,17.2406,0.0
1994年,39.6,0.0,0.0,0.0,104.0,0.0,15.0682,84.2586,12.2635,17.288,0.0
1995年,40.1,0.0,0.0,0.0,104.1,0.0,14.9127,84.7573,12.3595,17.4109,0.0
1996年,40.3,0.0,0.0,0.0,103.6,0.0,14.699,84.6531,12.2625,17.4447,0.0
1997年,40.5,0.0,0.0,0.0,103.2,0.0,14.4497,84.7103,12.2115,17.602,0.0
1998年,40.7,0.0,0.0,0.0,102.9563,0.0,0.0,0.0,0.0,0.0,0.0
1999年,42.6,0.0,0.0,0.0,106.5093,0.0,0.0,0.0,0.0,0.0,0.0
2000年,46.28,0.0,0.0,0.0,111.2776,0.0,0.0,0.0,0.0,0.0,0.0
2001年,53.19,0.0,0.0,0.0,121.4429,0.0,0.0,0.0,0.0,0.0,0.0
2002年,61.84,21.0992,12.0229,18.6293,130.36,4.0695,0.0,0.0,0.0,0.0,6.021
2003年,72.5,24.0555,14.6092,21.6161,145.3,5.1787,0.0,0.0,0.0,0.0,7.0063
2004年,85.8,0.0,0.0,0.0,161.0658,0.0,0.0,0.0,0.0,0.0,0.0
2005年,96.58,0.0,0.0,0.0,174.2073,0.0,0.0,0.0,0.0,0.0,0.0
2006年,107.5989,35.221,23.9482,30.483,187.2601,7.0611,0.0,0.0,0.0,0.0,10.8856
2007年,116.83,39.4449,25.6962,32.63,197.4526,7.0938,0.0,0.0,0.0,0.0,11.9651
2008年,123.75,43.564,25.832,34.2699,205.1029,7.1826,18.0542,189.8086,19.4358,28.5735,12.8966
2009年,129.5248,47.7541,24.7962,36.0675,211.1451,7.0909,17.9514,196.65,19.9692,29.2046,13.8161
2010年,134.3127,51.6938,23.1099,37.7225,215.6601,6.9313,17.631,202.0497,20.3345,29.7715,14.8552
2011年,139.2676,54.9921,21.8431,39.4689,220.4819,6.9944,17.5221,207.708,20.5157,30.4026,15.9691
2012年,144.03,57.6013,20.9811,41.2692,225.4372,7.2353,16.8159,212.4081,20.6096,30.9534,16.9423
2013年,149.6865,59.6954,20.3713,43.2356,229.6262,8.2341,16.4563,217.9314,20.528,31.2606,18.1501
2014年,153.451,61.3729,19.5763,44.8625,233.5723,8.7257,15.9217,221.8556,20.6321,31.8508,18.9136
