,初中在校学生数,学前教育在校学生数,普通中学在校学生数,普通小学在校学生数,普通高等学校在校学生数,特殊教育学校在校学生数,职业中学在校学生数,高中在校学生数
1978年,4995.2,787.7,6548.3,14624.0,85.63,3.1,,1553.1
1979年,4613.0,879.2,5905.0,14662.9,102.0,3.2,,1292.0
1980年,4538.3,1150.8,5508.1,14627.0,114.37,3.3,45.4,969.8
1981年,4144.6,1056.2,4859.6,14332.8,127.9,3.3,48.1,715.0
1982年,3888.0,1113.1,4528.5,13972.0,115.4,3.4,70.4,640.5
1983年,3768.8,1140.3,4397.8,13578.0,120.7,3.6,122.0,629.0
1984年,3864.3,1294.7,4554.2,13557.1,139.6,3.6,174.5,689.8
1985年,3964.8,1479.7,4706.0,13370.2,170.31,4.2,229.5,741.1
1986年,4116.6,1629.0,4889.9,13182.5,188.0,4.7,256.0,773.4
1987年,4174.4,1807.8,4948.12,12835.9,195.8725,5.2876,267.6,773.73
1988年,4015.5,1854.5,4761.52,12535.78,206.5923,5.7617,279.4,745.98
1989年,3837.9,1847.7,4554.0,12373.1,208.2111,6.3974,282.3,716.1
1990年,3868.7,1972.2,4586.0,12241.4,206.27,7.2,295.0,717.3
1991年,3960.6,2209.3,4683.5,12164.2,204.3662,8.5008,315.6,722.9
1992年,4065.9,2428.2,4770.8,12201.3,218.4376,12.9455,342.8,704.9
1993年,4082.2,2552.5,4739.1,12421.2,253.6,16.86,362.6,656.9
1994年,4316.7,2630.2725,4981.6643,12822.6,279.9,21.1404,405.6,664.9
1995年,4657.8,2711.2,5370.979,13195.2,290.64,29.56,448.3,713.2
1996年,4970.4,2666.327,5739.6761,13615.0042,302.1,32.1063,473.3,769.3
1997年,5167.8,2518.9638,6017.8565,13995.4,317.4,34.0621,511.9,850.1
1998年,5363.0,2403.0,6301.0,13953.8,340.9,35.84,541.6,938.0
1999年,5721.6,2326.3,6771.3,13548.0,408.5874,37.16,533.9,1049.7
2000年,6167.6,2244.18,7368.91,13013.25,556.09,37.8,503.21,1201.26
2001年,6431.05,2021.84,7836.02,12543.47,719.07,38.64,466.43,1404.97
2002年,6604.06,2036.02,8287.87,12156.71,903.36,37.45,511.5,1683.81
2003年,6618.4,2003.9,8583.2,11689.74,1108.5642,36.47,528.17,1964.8
2004年,6475.0,2089.4,8695.4,11246.2,1333.4969,37.2,569.4,2220.4
2005年,6171.8079,2179.029,8580.898,10864.0655,1561.7767,36.4409,625.5656,2409.0901
2006年,5937.4,2263.9,8451.9,10711.5,1738.8441,36.3,676.2,2514.5
2007年,5720.8992,2348.83,8243.3,10564.0027,1884.8594,41.9,740.544,2522.4008
2008年,5574.1542,2474.96,8050.5,10331.5122,2021.0249,41.744,761.1336,2476.2842
2009年,5433.642,2657.8141,7867.9203,10071.4661,2144.657,42.8125,785.7235,2434.2783
2010年,5275.9127,2976.6695,7703.2478,9940.7043,2231.7929,42.5613,729.7505,2427.3351
2011年,5064.2058,3424.45,7519.0,9926.3674,2308.5078,39.8736,683.5688,2454.8227
2012年,4763.0607,3685.76,7230.2,9695.9,2391.3155,37.88,,2467.17
2013年,,3894.6903,,9360.5478,2468.0726,36.8103,,2435.8817
2014年,,4050.7145,,9451.0651,2547.6999,39.487,,2400.4723
