,技工学校在校学生数,技工学校招生数,技工学校教职工数,技工学校数,技工学校毕业生数
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,51.2,20.3,17.8,3367.0,32.3
1983年,52.5,27.4,18.7,3443.0,26.9
1984年,62.8,31.1,18.9,3465.0,18.5
1985年,74.2,35.5,21.5,3548.0,22.6
1986年,89.2,39.4,24.4,3765.0,23.3
1987年,103.1,42.3,26.1556,3952.0,26.5
1988年,116.1,46.1,28.039,3996.0,31.1
1989年,125.8,47.0,29.5782,4102.0,36.8
1990年,133.2,50.6,30.8,4184.0,41.3
1991年,142.2,54.4,32.5,4269.0,45.4
1992年,155.6,60.2,33.6,4392.0,45.7
1993年,171.7,66.4,33.5,4477.0,49.7
1994年,187.1,71.4,34.0,4430.0,55.7
1995年,188.6,74.1,33.7,4521.0,68.2
1996年,191.8,72.7,33.5,4467.0,68.1
1997年,193.1,73.4,31.0,4395.0,69.9
1998年,181.3,59.4,31.0,4362.0,68.2
1999年,156.0,51.5,26.9,4098.0,66.2
2000年,140.1,50.38,23.96,3792.0,64.62
2001年,134.71,55.11,21.96,3470.0,47.73
2002年,153.0,73.3,20.3,3075.0,45.4
2003年,193.1,91.6,20.2,2970.0,45.3
2004年,234.5,109.7,20.5,2884.0,53.5
2005年,275.2974,118.3693,20.4009,2855.0,68.9976
2006年,320.8,134.8,21.5,2880.0,86.4
2007年,367.1475,158.5487,23.9989,2995.0,99.6599
2008年,397.5203,161.3506,24.6736,3075.0,108.997
2009年,415.3,156.7,26.0,3077.0,115.5
2010年,422.1,159.0,26.6,3008.0,121.6
2011年,430.4232,163.9038,26.6116,2924.0,119.2208
2012年,423.8051,157.0564,26.8106,2901.0,120.5106
2013年,386.5864,133.4957,26.9443,2882.0,116.8809
2014年,338.9696,124.4065,26.5203,2818.0,106.7944
