,专科院校数,中央部委专科院校数,中央部委成人高等学校数,中央部委普通高校数,中央部委普通高校研究生培养机构数,中央部委本科院校数,中央部委民办的其他高等教育机构数,中央部委研究生培养机构数,中央部委科研机构研究生培养机构数,中央部委职业技术学院数,其他部委专科院校数,其他部委成人高等学校数,其他部委普通高校数,其他部委普通高校研究生培养机构数,其他部委本科院校数,其他部委民办的其他高等教育机构数,其他部委研究生培养机构数,其他部委科研机构研究生培养机构数,其他部委职业技术学院数,地方专科院校数,地方企业专科院校数,地方企业成人高等学校数,地方企业普通高校数,地方企业普通高校研究生培养机构数,地方企业本科院校数,地方企业民办的其他高等教育机构数,地方企业研究生培养机构数,地方企业科研机构研究生培养机构数,地方企业职业技术学院数,地方成人高等学校数,地方普通高校数,地方普通高校研究生培养机构数,地方本科院校数,地方民办的其他高等教育机构数,地方研究生培养机构数,地方科研机构研究生培养机构数,地方职业技术学院数,成人高等学校数,教育部专科院校数,教育部成人高等学校数,教育部普通高校数,教育部普通高校研究生培养机构数,教育部本科院校数,教育部民办的其他高等教育机构数,教育部研究生培养机构数,教育部科研机构研究生培养机构数,教育部职业技术学院数,教育部门专科院校数,教育部门成人高等学校数,教育部门普通高校数,教育部门普通高校研究生培养机构数,教育部门本科院校数,教育部门民办的其他高等教育机构数,教育部门研究生培养机构数,教育部门科研机构研究生培养机构数,教育部门职业技术学院数,普通高校数,普通高校研究生培养机构数,本科院校数,民办专科院校数,民办成人高等学校数,民办普通高校数,民办普通高校研究生培养机构数,民办本科院校数,民办的其他高等教育机构数,民办研究生培养机构数,民办科研机构研究生培养机构数,民办职业技术学院数,研究生培养机构数,科研机构研究生培养机构数,职业技术学院数,非教育部门专科院校数,非教育部门成人高等学校数,非教育部门普通高校数,非教育部门普通高校研究生培养机构数,非教育部门本科院校数,非教育部门民办的其他高等教育机构数,非教育部门研究生培养机构数,非教育部门科研机构研究生培养机构数,非教育部门职业技术学院数
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1552.0,,,,,,,,,,,,,,,,,,,,,,,
2004年,1047.0,7.0,19.0,111.0,97.0,104.0,,369.0,272.0,,7.0,18.0,38.0,24.0,31.0,,296.0,272.0,,823.0,,,,,,,,,,484.0,1394.0,357.0,571.0,,400.0,43.0,,505.0,,1.0,73.0,73.0,73.0,,73.0,,,299.0,201.0,799.0,332.0,500.0,,332.0,,,1731.0,454.0,684.0,217.0,2.0,226.0,,9.0,,,,,769.0,315.0,872.0,524.0,283.0,595.0,25.0,71.0,,68.0,43.0,
2005年,1091.0,7.0,17.0,111.0,97.0,104.0,,370.0,273.0,,7.0,16.0,38.0,24.0,31.0,,297.0,273.0,,861.0,,,,,,,,,,462.0,1431.0,353.0,570.0,,396.0,43.0,,481.0,,1.0,73.0,73.0,73.0,,73.0,,,329.0,191.0,834.0,330.0,505.0,,330.0,,,1792.0,450.0,701.0,223.0,2.0,250.0,,27.0,,,,,766.0,316.0,921.0,532.0,271.0,597.0,23.0,65.0,,66.0,43.0,
2006年,1147.0,6.0,15.0,111.0,97.0,105.0,,371.0,274.0,,6.0,14.0,38.0,24.0,32.0,,298.0,274.0,,894.0,,,,,,,,,,427.0,1480.0,353.0,586.0,,396.0,43.0,,444.0,,1.0,73.0,73.0,73.0,,73.0,,,336.0,177.0,853.0,331.0,517.0,,331.0,,,1867.0,450.0,720.0,247.0,2.0,276.0,,29.0,,,,,767.0,317.0,981.0,558.0,250.0,627.0,22.0,69.0,,65.0,43.0,
2007年,1168.0,5.0,14.0,111.0,98.0,106.0,,371.0,273.0,,5.0,13.0,38.0,25.0,33.0,,298.0,273.0,,898.0,,,,,,,,,,397.0,1502.0,381.0,604.0,,424.0,43.0,,413.0,,1.0,73.0,73.0,73.0,,73.0,,,320.0,161.0,852.0,357.0,532.0,,358.0,1.0,,1908.0,479.0,740.0,265.0,2.0,295.0,,30.0,,,,,795.0,316.0,1015.0,578.0,236.0,650.0,24.0,72.0,,66.0,42.0,
2008年,1184.0,5.0,14.0,111.0,98.0,106.0,,374.0,276.0,2.0,5.0,13.0,38.0,25.0,33.0,,301.0,276.0,2.0,910.0,,,,,,,,,,384.0,1514.0,381.0,604.0,,422.0,41.0,770.0,400.0,,1.0,73.0,73.0,73.0,,73.0,,,326.0,159.0,859.0,358.0,533.0,,359.0,1.0,260.0,2263.0,479.0,1079.0,269.0,2.0,638.0,,369.0,866.0,,,264.0,796.0,317.0,1036.0,584.0,225.0,655.0,23.0,71.0,,63.0,40.0,510.0
2009年,1215.0,5.0,14.0,111.0,98.0,106.0,,373.0,275.0,2.0,5.0,13.0,38.0,25.0,33.0,,300.0,275.0,2.0,924.0,,,,,,,,,,368.0,1538.0,383.0,614.0,,423.0,40.0,790.0,384.0,,1.0,73.0,73.0,73.0,,73.0,,,334.0,154.0,877.0,359.0,543.0,,360.0,1.0,274.0,2305.0,481.0,1090.0,286.0,2.0,656.0,,370.0,812.0,,,279.0,796.0,315.0,1071.0,590.0,214.0,661.0,24.0,71.0,,63.0,39.0,516.0
2010年,1246.0,3.0,14.0,111.0,98.0,108.0,,374.0,276.0,2.0,3.0,13.0,38.0,25.0,35.0,,301.0,276.0,2.0,940.0,,,,,,,,,,349.0,1573.0,383.0,633.0,,423.0,40.0,815.0,365.0,,1.0,73.0,73.0,73.0,,73.0,,,312.0,128.0,854.0,360.0,542.0,,361.0,1.0,255.0,2358.0,481.0,1112.0,303.0,2.0,674.0,,371.0,836.0,,,296.0,797.0,316.0,1113.0,628.0,221.0,719.0,23.0,91.0,,62.0,39.0,560.0
2011年,1280.0,3.0,14.0,111.0,98.0,108.0,,333.0,235.0,2.0,3.0,13.0,38.0,25.0,35.0,,260.0,235.0,2.0,969.0,49.0,45.0,50.0,,1.0,,1.0,1.0,49.0,337.0,1602.0,383.0,633.0,,422.0,39.0,840.0,353.0,,1.0,73.0,73.0,73.0,,73.0,,,395.0,123.0,969.0,362.0,574.0,,363.0,1.0,333.0,2409.0,481.0,1129.0,308.0,2.0,696.0,,388.0,830.0,,,301.0,755.0,274.0,1143.0,525.0,169.0,583.0,21.0,58.0,,58.0,37.0,458.0
2012年,1297.0,4.0,14.0,113.0,102.0,109.0,,340.0,238.0,,4.0,13.0,40.0,29.0,36.0,,267.0,238.0,,977.0,51.0,45.0,52.0,1.0,1.0,,2.0,1.0,,333.0,1623.0,427.0,646.0,,466.0,39.0,,348.0,,1.0,73.0,73.0,73.0,,73.0,,,389.0,118.0,967.0,399.0,578.0,,400.0,1.0,,2442.0,534.0,1145.0,316.0,1.0,706.0,5.0,390.0,823.0,5.0,,,811.0,277.0,,537.0,170.0,604.0,27.0,67.0,,64.0,37.0,
2013年,1321.0,3.0,13.0,113.0,107.0,110.0,,348.0,241.0,,3.0,12.0,40.0,34.0,37.0,,275.0,241.0,,993.0,48.0,41.0,48.0,,,,1.0,1.0,,283.0,1661.0,436.0,668.0,,477.0,41.0,,297.0,,1.0,73.0,73.0,73.0,,73.0,,,414.0,96.0,1015.0,411.0,601.0,,412.0,1.0,,2491.0,548.0,1170.0,325.0,1.0,717.0,5.0,392.0,802.0,5.0,,,830.0,282.0,,531.0,146.0,598.0,25.0,67.0,,64.0,39.0,
2014年,1327.0,3.0,13.0,113.0,107.0,110.0,,284.0,177.0,,3.0,12.0,40.0,34.0,37.0,,211.0,177.0,,1017.0,44.0,41.0,44.0,,,,1.0,1.0,,281.0,1689.0,459.0,672.0,,499.0,40.0,,295.0,,1.0,73.0,73.0,73.0,,73.0,,,449.0,94.0,1053.0,432.0,604.0,,433.0,1.0,,2529.0,571.0,1202.0,307.0,1.0,727.0,5.0,420.0,799.0,5.0,,,788.0,217.0,1186.0,524.0,146.0,592.0,27.0,68.0,,65.0,38.0,
