,出国留学人员,学成回国留学人员,研究生在学人数,研究生招生数,研究生毕业生数
1978年,0.086,0.0248,1.0934,1.0708,0.0009
1979年,0.1777,0.0231,1.883,0.811,0.014
1980年,0.2124,0.0162,2.1604,0.3616,0.0476
1981年,0.2922,0.1143,1.8848,0.9363,1.1669
1982年,0.2326,0.2116,2.5847,1.108,0.4058
1983年,0.2633,0.2303,3.7166,1.5642,0.4497
1984年,0.3073,0.292,5.7566,2.3181,0.2756
1985年,0.4888,0.1424,8.7331,4.6871,1.7004
1986年,0.4676,0.1388,11.0371,4.131,1.695
1987年,0.4703,0.1605,12.0191,3.9017,2.7603
1988年,0.3786,0.3,11.2776,3.5645,4.0838
1989年,0.3329,0.1753,10.1339,2.8569,3.7232
1990年,0.295,0.1593,9.3018,2.9649,3.544
1991年,0.29,0.2069,8.8128,2.9679,3.2537
1992年,0.654,0.3611,9.4164,3.3439,2.5692
1993年,1.0742,0.5128,10.6771,4.2145,2.8214
1994年,1.9071,0.423,12.7935,5.0864,2.8047
1995年,2.0381,0.575,14.5443,5.1053,3.1877
1996年,2.0905,0.657,16.3322,5.9398,3.9652
1997年,2.241,0.713,17.6353,6.3749,4.6539
1998年,1.7622,0.7379,19.8885,7.2508,4.7077
1999年,2.3749,0.7748,23.3513,9.2225,5.467
2000年,3.8989,0.9121,30.1239,12.8484,5.8767
2001年,8.3973,1.2243,39.3256,16.5197,6.7809
2002年,12.5179,1.7945,50.098,20.2611,8.0841
2003年,11.7307,2.0152,65.126,26.8925,11.1091
2004年,11.4682,2.4726,81.9896,32.6286,15.0777
2005年,11.8515,3.4987,97.861,36.4831,18.9728
2006年,13.4,4.2,110.4653,39.7925,25.5902
2007年,14.4,4.4,119.5047,41.8612,31.1839
2008年,17.98,6.93,128.3046,44.6422,34.4825
2009年,22.93,10.83,140.4942,51.0953,37.1273
2010年,28.47,13.48,153.8416,53.8177,38.36
2011年,33.97,18.62,164.5845,56.0168,42.9994
2012年,39.96,27.29,171.9818,58.9673,48.6455
2013年,41.39,35.35,179.3953,61.1381,51.3626
2014年,45.98,36.48,184.7689,62.1323,53.5863
