,中外合作经营零售业企业主营业务税金及附加,中外合资经营零售业企业主营业务税金及附加,其他外商投资零售业企业主营业务税金及附加,其他有限责任公司零售业企业主营业务税金及附加,其他港澳台商投资零售业企业主营业务税金及附加,其他联营零售业企业主营业务税金及附加,其他零售业企业主营业务税金及附加,内资零售业企业主营业务税金及附加,国有与集体联营零售业企业主营业务税金及附加,国有独资公司零售业企业主营业务税金及附加,国有联营零售业企业主营业务税金及附加,国有零售业企业主营业务税金及附加,外商投资股份有限公司零售业企业主营业务税金及附加,外商投资零售业企业主营业务税金及附加,外资零售业企业主营业务税金及附加,有限责任公司零售业企业主营业务税金及附加,港澳台商合作经营零售业企业主营业务税金及附加,港澳台商合资经营零售业企业主营业务税金及附加,港澳台商投资股份有限公司零售业企业主营业务税金及附加,港澳台商投资零售业企业主营业务税金及附加,港澳台商独资经营零售业企业主营业务税金及附加,私营合伙零售业企业主营业务税金及附加,私营有限责任公司零售业企业主营业务税金及附加,私营独资零售业企业主营业务税金及附加,私营股份有限公司零售业企业主营业务税金及附加,私营零售业企业主营业务税金及附加,联营零售业企业主营业务税金及附加,股份合作零售业企业主营业务税金及附加,股份有限公司零售业企业主营业务税金及附加,集体联营零售业企业主营业务税金及附加,集体零售业企业主营业务税金及附加,零售业企业主营业务税金及附加
2003年,0.10331,0.38828,,5.74835,,0.08459,,22.32281,,0.37988,,3.99052,,0.53594,,6.12823,0.20946,0.30939,,0.62338,0.10453,0.15948,2.7932,0.38026,0.30599,3.63893,0.19831,0.65727,6.42719,,1.24013,23.48213
2004年,0.21979,0.35648,0.0,11.96031,0.0,0.03329,0.06962,40.56317,0.04065,0.26705,0.10621,5.39698,0.08179,0.92039,0.26233,12.22736,0.04053,0.76534,0.0012,0.81124,0.00417,0.20379,7.50124,0.95859,0.55582,9.21944,0.21896,0.75749,10.73081,0.03881,1.94251,42.2948
2005年,0.28235,0.59565,,12.94366,,0.07373,0.17501,45.40722,,0.37753,,5.19057,,0.99283,0.11112,13.32119,0.05387,0.91152,,0.99521,,0.29199,10.36127,0.72007,0.69613,12.06936,0.17608,0.6348,11.07296,,2.76725,47.39526
2006年,0.7421,0.6592,,15.9382,,,0.341,51.5472,,1.0194,0.0558,4.6384,0.065,3.8082,2.342,16.9577,0.1541,1.0159,,1.2731,0.1032,0.5409,11.8445,1.7162,1.1662,15.2677,0.1947,0.7238,11.3476,,2.0763,56.6286
2007年,0.29197,0.88077,,21.309,,0.17069,0.83005,72.07471,0.06719,0.58215,0.0706,5.63406,,1.90209,0.70061,21.89115,0.19933,1.25866,,2.01556,0.54224,0.55096,18.32657,3.23359,1.36017,23.47129,0.40168,0.9442,16.18407,0.0932,2.71821,75.99236
2008年,1.9671,13.627,,45.9279,,0.1052,4.67,168.7224,2.8387,0.9217,1.0476,12.8408,0.4038,19.8257,3.8278,46.8496,0.1308,1.6836,0.1846,6.7907,4.7918,2.3502,41.6676,12.6076,2.8378,59.4631,4.0688,2.2826,31.5871,0.0773,6.9605,195.3388
2009年,0.30796,12.7162,,54.39223,,0.06772,2.27348,173.737,0.06708,1.0544,0.15975,18.64198,0.35852,17.59252,4.20984,55.44663,0.16804,2.2473,0.36942,4.91857,2.13381,2.06821,42.15412,15.08477,3.91713,63.22423,0.44578,1.39976,24.40199,0.15123,7.90315,196.24809
2010年,0.5,4.6,,82.4,,0.2,3.1,242.5,0.1,1.3,0.2,16.8,0.3,9.1,3.7,83.6,0.7,4.3,0.5,9.8,4.3,4.4,57.0,24.6,4.7,90.6,0.8,1.6,33.6,0.3,12.3,261.4
2011年,1.0699,6.4325,,88.1488,1.1141,0.1414,10.8517,276.5243,,1.3923,0.2367,15.5755,0.1659,17.0034,9.3089,89.5411,0.7844,5.0938,0.255,16.7134,9.466,4.1026,67.7737,25.1361,5.4718,102.4842,0.7733,2.0509,43.8664,0.3506,11.3813,310.2411
2012年,0.87784,6.91315,0.14029,103.44036,1.59431,0.21778,16.01446,330.23239,0.13495,1.95162,0.44068,16.17029,0.21926,18.55386,10.40332,105.39198,0.36885,6.24989,0.50914,27.09244,18.37025,4.78317,94.36223,29.98691,7.23126,136.36357,1.17643,2.76695,41.24911,0.38302,11.0996,375.87869
2013年,1.11415,9.76269,0.1479,172.73713,0.53613,0.11317,5.58813,483.59283,0.2143,7.16813,0.13467,13.80534,0.73526,25.50791,13.74791,179.90526,0.42108,6.88272,2.15716,25.76759,15.7705,3.54319,168.87333,21.5487,15.36208,209.3273,0.80615,1.45927,56.44642,0.34401,16.25496,534.8683
2014年,1.06502,8.66857,0.16382,178.7756,0.21922,0.10588,5.36726,499.53475,0.24019,6.26186,0.13929,12.29082,0.81147,27.52195,16.81307,185.03746,0.26313,7.18763,0.68976,26.27961,17.91987,3.42352,184.5035,21.98895,11.8567,221.77267,0.73543,1.30479,58.09427,0.25007,14.93205,553.3363
