,五金、家具及室内装修材料专门零售主营业务成本,体育用品零售主营业务成本,医药及医疗器材专门零售主营业务成本,图书零售主营业务成本,家用电器及电子产品专门零售主营业务成本,家用电器零售主营业务成本,文化、体育用品及器材专门零售主营业务成本,无店铺及其他零售主营业务成本,服装零售主营业务成本,机动车燃料零售主营业务成本,汽车、摩托车、燃料及零配件专门零售主营业务成本,汽车零售主营业务成本,百货零售主营业务成本,纺织、服装及日用品专门零售主营业务成本,综合零售主营业务成本,药品零售主营业务成本,计算机、软件及辅助设备零售主营业务成本,超级市场零售主营业务成本,通信设备零售主营业务成本,邮购及电子销售主营业务成本,食品、饮料及烟草制品专门零售主营业务成本
2004年,195.60929,12.527,577.21833,220.63054,1462.29475,968.09911,325.25094,181.70139,153.2254,1085.69102,4180.53783,2937.35011,2101.20163,257.74705,4186.32425,520.34672,235.96789,1921.46007,210.34364,6.85531,256.95686
2005年,181.46389,233.77488,543.04544,587.40721,1084.71518,286.56209,12.07241,6.9602,363.89223,1618.17756,3344.45862,1609.81973,2367.97467,159.11104,2426.8625,5085.6324,198.96683,225.13639,203.38077,0.0,259.69947
2006年,229.9468,24.851,632.4109,244.34,1935.1247,1292.2548,409.7092,266.5536,189.5934,2030.9516,6585.1368,4384.3098,3041.6271,303.9874,6092.6659,578.4767,359.2206,2818.4266,229.8025,22.8792,284.5062
2007年,323.67105,43.71335,730.51563,245.90028,2313.28265,1561.50076,485.59245,283.30566,280.2718,2244.16923,8242.18157,5808.04682,3591.74336,429.71486,7165.19022,684.97852,461.10968,3283.42667,226.99311,17.59036,350.69909
2008年,460.8371,29.1166,1100.7671,308.4159,2869.8717,1928.7866,660.9304,492.0191,554.2894,4943.491,13366.6823,8150.4184,4366.3425,882.1963,8612.0322,1049.4072,581.428,3862.1024,298.0709,59.7991,475.4163
2009年,591.70402,46.87053,1338.09602,348.1003,2907.42157,1981.40992,778.2222,552.49998,650.23768,4969.51142,16523.80344,11192.90481,4957.82175,1042.01105,9697.44284,1273.62008,570.12,4332.65874,280.85198,106.27161,558.14259
2010年,930.3,54.2,1771.0,401.2,3714.0,2622.1,919.5,913.1,856.3,6641.1,22827.5,15751.0,6230.7,1293.2,12008.5,1687.9,699.7,5205.2,301.8,251.6,803.7
2011年,1207.3858,66.3952,2189.4155,449.2738,4748.6667,3235.5017,1153.0998,1429.1675,1110.5941,9013.3241,28023.3662,18441.8591,7543.3132,1725.9735,14020.3036,2065.9569,978.7086,5744.081,420.7252,425.4844,1426.7803
2012年,1391.24542,109.53674,2962.47905,584.08999,5174.02072,2538.18734,1504.23012,2245.07604,1410.94066,10001.70674,31821.96936,21193.5871,8333.19585,2184.40592,15478.06998,2776.49144,1296.13196,6439.09736,585.41962,914.0,1832.2369
2013年,2000.39704,152.57766,3636.45834,670.8516,6077.17679,2551.67735,2215.32847,2760.46311,1680.24093,11047.04138,36998.00372,25207.06596,9435.11157,2654.07644,17445.08467,3388.73106,1614.94436,7149.11635,663.31102,1286.25135,2039.80981
2014年,2192.1478,108.26661,4279.71047,754.02881,6963.3949,2715.12176,2501.99975,3833.4224,1722.56212,12132.57075,42014.84463,29041.71232,9914.37427,2935.76033,18421.65618,3982.30265,2034.86909,7556.05296,721.77908,2322.52551,2502.79857
