,五金、家具及室内装修材料专门零售主营业务税金及附加,体育用品零售主营业务税金及附加,医药及医疗器材专门零售主营业务税金及附加,图书零售主营业务税金及附加,家用电器及电子产品专门零售主营业务税金及附加,家用电器零售主营业务税金及附加,文化、体育用品及器材专门零售主营业务税金及附加,无店铺及其他零售主营业务税金及附加,服装零售主营业务税金及附加,机动车燃料零售主营业务税金及附加,汽车、摩托车、燃料及零配件专门零售主营业务税金及附加,汽车零售主营业务税金及附加,百货零售主营业务税金及附加,纺织、服装及日用品专门零售主营业务税金及附加,综合零售主营业务税金及附加,药品零售主营业务税金及附加,计算机、软件及辅助设备零售主营业务税金及附加,超级市场零售主营业务税金及附加,通信设备零售主营业务税金及附加,邮购及电子销售主营业务税金及附加,食品、饮料及烟草制品专门零售主营业务税金及附加
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.536,0.6103,0.0,0.0,0.1392,0.0,0.0,0.0,0.1768,0.0,10.272,0.0,0.0,0.0,0.043,0.0,0.0,0.0,1.519
1999年,0.0,0.0,0.5475,0.7319,0.0,0.0,0.0531,0.0,0.0,0.0,0.1958,0.0,9.8511,0.4694,0.0,0.0,0.08,0.0,0.0,0.0,1.5822
2000年,0.0,0.0,0.5474,0.9269,0.0,0.0,0.0587,0.0,0.0,0.0,0.3803,0.0,9.7968,0.6,0.0,0.0,0.0835,0.0,0.0,0.0,1.628
2001年,0.0,0.0,0.6918,0.8958,0.0,0.0,0.0767,0.0,0.0,0.0,0.3726,0.0,11.1292,0.5691,0.0,0.0,0.2776,0.0,0.0,0.0,1.3875
2002年,0.0,0.0,0.9859,1.0215,0.0,0.0,0.0562,0.0,0.0,0.0,0.8478,0.0,12.3991,0.5295,0.0,0.0,0.7487,0.0,0.0,0.0,2.0219
2003年,0.59072,0.0,0.81972,0.96972,1.52306,0.91219,1.85241,0.24576,0.54224,0.64896,1.87154,1.06401,10.65055,1.05028,14.45591,0.78168,0.11893,3.37306,0.45059,0.0,1.07273
