,专用设备制造业国有控股工业企业外商资本金,仪器仪表制造业国有控股工业企业外商资本金,其他制造业国有控股工业企业外商资本金,其他采矿业国有控股工业企业外商资本金,农副食品加工业国有控股工业企业外商资本金,化学原料和化学制品制造业国有控股工业企业外商资本金,化学纤维制造业国有控股工业企业外商资本金,医药制造业国有控股工业企业外商资本金,印刷和记录媒介复制业国有控股工业企业外商资本金,国有控股工业企业外商资本金,家具制造业国有控股工业企业外商资本金,废弃资源综合利用业国有控股工业企业外商资本金,开采辅助活动国有控股工业企业外商资本金,文教、工美、体育和娱乐用品制造业国有控股工业企业外商资本金,有色金属冶炼和压延加工业国有控股工业企业外商资本金,有色金属矿采选业国有控股工业企业外商资本金,木材加工和木、竹、藤、棕、草制品业国有控股工业企业外商资本金,橡胶和塑料制品业国有控股工业企业外商资本金,水的生产和供应业国有控股工业企业外商资本金,汽车制造业国有控股工业企业外商资本金,烟草制品业国有控股工业企业外商资本金,煤炭开采和洗选业国有控股工业企业外商资本金,燃气生产和供应业国有控股工业企业外商资本金,电力、热力生产和供应业国有控股工业企业外商资本金,电气机械和器材制造业国有控股工业企业外商资本金,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业外商资本金,石油加工、炼焦和核燃料加工业国有控股工业企业外商资本金,石油和天然气开采业国有控股工业企业外商资本金,纺织业国有控股工业企业外商资本金,纺织服装、服饰业国有控股工业企业外商资本金,计算机、通信和其他电子设备制造业国有控股工业企业外商资本金,通用设备制造业国有控股工业企业外商资本金,造纸和纸制品业国有控股工业企业外商资本金,酒、饮料和精制茶制造业国有控股工业企业外商资本金,金属制品、机械和设备修理业国有控股工业企业外商资本金,金属制品业国有控股工业企业外商资本金,铁路、船舶、航空航天和其他运输设备国有控股工业企业外商资本金,非金属矿物制品业国有控股工业企业外商资本金,非金属矿采选业国有控股工业企业外商资本金,食品制造业国有控股工业企业外商资本金,黑色金属冶炼和压延加工业国有控股工业企业外商资本金,黑色金属矿采选业国有控股工业企业外商资本金
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,54.97219,11.11801,0.63095,0.0,17.05238,207.73301,11.00053,29.48161,2.55804,1693.31155,0.65616,0.50097,0.19352,0.61453,25.02843,5.22319,0.48659,15.17909,24.69513,563.79763,0.42415,15.06613,32.67104,218.8835,18.36875,2.12244,78.45435,0.0,2.34684,0.21609,104.99203,52.42671,24.75705,11.81687,10.82399,15.66788,44.25116,25.20023,0.88963,9.54449,53.46626,0.0
2013年,55.65,4.14,0.64,0.0,7.05,236.16,6.39,28.94,4.07,1827.18,0.34,0.53,0.2,0.45,23.04,4.35,0.0,13.39,32.84,631.84,0.42,15.88,53.09,235.02,20.05,0.96,85.04,5.35,2.54,0.47,94.17,65.77,24.52,7.0,12.54,12.5,51.7,28.21,1.34,7.7,52.9,0.01
2014年,53.03,4.62,0.01,0.0,12.39,242.33,5.98,36.17,4.48,1867.55,1.84,0.64,0.2,0.45,23.33,9.79,0.0,15.56,38.08,627.6,0.42,19.44,60.13,259.86,17.67,0.0,96.85,0.0,2.99,0.12,73.94,52.3,28.52,11.15,13.72,18.46,41.87,22.93,1.34,8.72,60.6,0.0
