,储备资产中其它债权差额(贷-借),储备资产中外汇差额(贷-借),储备资产中特别提款权差额(贷-借),储备资产中货币黄金差额(贷-借),储备资产在基金组织的储备头寸差额(贷-借),储备资产差额(贷-借)
1978年,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,-427800.0,6100.0,0.0,0.0,-421700.0
1983年,-48300.0,-191500.0,-12100.0,0.0,-17600.0,-269500.0
1984年,0.0,68100.0,-7100.0,0.0,-7900.0,53100.0
1985年,0.0,557600.0,-7700.0,0.0,-7700.0,542200.0
1986年,67900.0,117200.0,-8600.0,0.0,-3800.0,172700.0
1987年,-7900.0,-145100.0,-7100.0,0.0,-5900.0,-166000.0
1988年,-8200.0,-44900.0,5400.0,0.0,2200.0,-45500.0
1989年,-7900.0,-217800.0,4600.0,0.0,900.0,-220200.0
1990年,-49200.0,-554300.0,-2200.0,0.0,-3200.0,-608900.0
1991年,-45400.0,-1061900.0,-1500.0,0.0,-300.0,-1109100.0
1992年,0.0,226900.0,15800.0,0.0,-32500.0,210200.0
1993年,0.0,-175600.0,-6500.0,0.0,5400.0,-176700.0
1994年,0.0,-3042100.0,-5500.0,0.0,-5100.0,-3052700.0
1995年,0.0,-2195900.0,-4300.0,0.0,-46100.0,-2246300.0
1996年,0.0,-3145000.0,-3200.0,0.0,-18000.0,-3166200.0
1997年,0.0,-3486162.0,1200.0,0.0,-87400.0,-3572362.0
1998年,0.0,-506900.0,-7400.0,0.0,-128300.0,-642600.0
1999年,0.0,-971632.0,-4100.0,0.0,125200.0,-850532.0
2000年,0.0,-1089840.0,-5700.0,0.0,40700.0,-1054840.0
2001年,0.0,-4659104.0,-5183.04787343,0.0,-68225.9243995,-4732512.97227
2002年,0.0,-7424215.0,-14316.9521266,0.0,-112174.075601,-7550706.02773
2003年,0.0,-10596930.6,-9000.0,0.0,-8900.0,-10614830.6
2004年,0.0,-19037700.0,-16100.0,0.0,47800.0,-19006000.0
2005年,0.0,-25257289.7,-500.0,0.0,192900.0,-25064889.7
2006年,0.0,-28526743.6,18088.0,0.0,31009.0,-28477646.6
2007年,0.0,-46086510.0,-7886.87975,0.0,23976.64475,-46070420.235
2008年,0.0,-47834166.0,-711.40218,0.0,-119031.46182,-47953908.864
2009年,0.0,-38205148.0,-1109241.00716,-487562.614774,-232434.76385,-40034386.3858
2010年,0.0,-46955634.0,-10710.3177216,0.0,-207558.403384,-47173902.7211
2011年,0.0,-38481758.0,46518.2143327,0.0,-344905.375589,-38780145.1613
2012年,0.0,-9867285.0,50534.806283,0.0,161593.241884,-9655156.95183
2013年,0.0,-43269605.0,20292.301198,0.0,111370.00259,-43137942.6962
2014年,0.0,-11881792.0,6066.28279973,0.0,97713.5355768,-11778012.1816
