,资本和金融项目差额(贷-借),资本项目差额(贷-借),金融项目中(中)长期债券的债务证券投资的负债差额(贷-借),金融项目中(中)长期债券的债务证券投资资产差额(贷-借),金融项目中债务证券投资的负债差额(贷-借),金融项目中债务证券投资的资产差额(贷-借),金融项目中其它投资差额(贷-借),金融项目中其它投资的其它负债差额(贷-借),金融项目中其它投资的其它资产差额(贷-借),金融项目中其它投资的短期其它负债差额(贷-借),金融项目中其它投资的短期其它资产差额(贷-借),金融项目中其它投资的短期贷款负债差额(贷-借),金融项目中其它投资的短期贷款资产差额(贷-借),金融项目中其它投资的短期贸易信贷负债差额(贷-借),金融项目中其它投资的短期贸易信贷资产差额(贷-借),金融项目中其它投资的负债差额(贷-借),金融项目中其它投资的货币和存款负债差额(贷-借),金融项目中其它投资的货币和存款资产差额(贷-借),金融项目中其它投资的贷款负债差额(贷-借),金融项目中其它投资的贷款资产差额(贷-借),金融项目中其它投资的贸易信贷负债差额(贷-借),金融项目中其它投资的贸易信贷资产差额(贷-借),金融项目中其它投资的资产差额(贷-借),金融项目中其它投资的长期其它负债差额(贷-借),金融项目中其它投资的长期其它资产差额(贷-借),金融项目中其它投资的长期贷款负债差额(贷-借),金融项目中其它投资的长期贷款资产差额(贷-借),金融项目中其它投资的长期贸易信贷负债差额(贷-借),金融项目中其它投资的长期贸易信贷资产差额(贷-借),金融项目中外国在华直接投资差额(贷-借),金融项目中我国在外直接投资差额(贷-借),金融项目中直接投资差额(贷-借),金融项目中股本证券投资的负债差额(贷-借),金融项目中股本证券投资的资产差额(贷-借),金融项目中证券投资差额(贷-借),金融项目中证券投资的负债差额(贷-借),金融项目中证券投资的资产差额(贷-借),金融项目中货币市场工具的债务证券投资的负债差额(贷-借),金融项目中货币市场工具的债务证券投资资产差额(贷-借),金融项目差额(贷-借)
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,-173600.0,0.0,4100.0,0.0,4100.0,-2000.0,-214300.0,-1300.0,-207400.0,0.0,-207400.0,3100.0,0.0,17700.0,-25900.0,64400.0,0.0,0.0,-200.0,-39500.0,65900.0,-31800.0,-278700.0,-1300.0,0.0,-3300.0,-39500.0,48200.0,-5900.0,43000.0,-4400.0,38600.0,0.0,0.0,2100.0,4100.0,-2000.0,0.0,-2000.0,-173600.0
1983年,-137200.0,0.0,2000.0,0.0,2000.0,-64100.0,-157400.0,2100.0,-142600.0,0.0,-142600.0,300.0,0.0,400.0,-28200.0,36600.0,0.0,0.0,33900.0,-26400.0,600.0,-25000.0,-194000.0,2100.0,0.0,33600.0,-26400.0,200.0,3200.0,91600.0,-9300.0,82300.0,0.0,0.0,-62100.0,2000.0,-64100.0,0.0,-64100.0,-137200.0
1984年,-375200.0,0.0,8300.0,0.0,8300.0,-172100.0,-339900.0,17100.0,-385000.0,0.0,-385000.0,-400.0,0.0,13900.0,-8500.0,104000.0,0.0,0.0,97900.0,-26700.0,-11000.0,-32200.0,-443900.0,17100.0,0.0,98300.0,-26700.0,-24900.0,-23700.0,141900.0,-13400.0,128500.0,0.0,0.0,-163800.0,8300.0,-172100.0,0.0,-172100.0,-375200.0
1985年,848500.0,0.0,76400.0,0.0,76400.0,226300.0,413100.0,32100.0,-83400.0,0.0,-83400.0,258500.0,0.0,2900.0,-29300.0,616300.0,0.0,0.0,597500.0,-20200.0,-13300.0,-99600.0,-203200.0,32100.0,0.0,339000.0,-20200.0,-16200.0,-70300.0,195600.0,-62900.0,132700.0,0.0,0.0,302700.0,76400.0,226300.0,0.0,226300.0,848500.0
1986年,654000.0,0.0,160800.0,0.0,160800.0,-4000.0,317800.0,54100.0,65500.0,0.0,65500.0,-278100.0,0.0,-2000.0,7900.0,312000.0,0.0,0.0,276900.0,-12500.0,-19000.0,-47200.0,5800.0,54100.0,0.0,555000.0,-12500.0,-17000.0,-55100.0,224400.0,-45000.0,179400.0,0.0,0.0,156800.0,160800.0,-4000.0,0.0,-4000.0,654000.0
1987年,273100.0,0.0,119100.0,0.0,119100.0,-14000.0,1100.0,61600.0,-309400.0,0.0,-309400.0,10700.0,0.0,-10600.0,3400.0,339300.0,0.0,0.0,293000.0,-21900.0,-15300.0,-6900.0,-338200.0,61600.0,0.0,282300.0,-21900.0,-4700.0,-10300.0,231400.0,-64500.0,166900.0,0.0,0.0,105100.0,119100.0,-14000.0,0.0,-14000.0,273100.0
1988年,526900.0,0.0,121600.0,0.0,121600.0,-34000.0,204900.0,-29500.0,-259200.0,0.0,-259200.0,63500.0,0.0,17000.0,-100.0,488700.0,0.0,0.0,520100.0,-19300.0,-1900.0,-5300.0,-283800.0,-29500.0,0.0,456600.0,-19300.0,-18900.0,-5200.0,319400.0,-85000.0,234400.0,0.0,0.0,87600.0,121600.0,-34000.0,0.0,-34000.0,526900.0
