,上海港口生产用码头长度,上海港口码头长度,上海港口非生产用码头长度,八所港口生产用码头长度,八所港口码头长度,八所港口非生产用码头长度,大连港口生产用码头长度,大连港口码头长度,大连港口非生产用码头长度,天津港口生产用码头长度,天津港口码头长度,天津港口非生产用码头长度,宁波—舟山港口生产用码头长度,宁波—舟山港口码头长度,宁波—舟山港口非生产用码头长度,广州港口生产用码头长度,广州港口码头长度,广州港口非生产用码头长度,日照港口生产用码头长度,日照港口码头长度,日照港口非生产用码头长度,汕头港口生产用码头长度,汕头港口码头长度,汕头港口非生产用码头长度,海口港口生产用码头长度,海口港口码头长度,海口港口非生产用码头长度,港口生产用码头长度,港口码头长度,港口非生产用码头长度,湛江港口生产用码头长度,湛江港口码头长度,湛江港口非生产用码头长度,烟台港口生产用码头长度,烟台港口码头长度,烟台港口非生产用码头长度,秦皇岛港口生产用码头长度,秦皇岛港口码头长度,秦皇岛港口非生产用码头长度,营口港口生产用码头长度,营口港口码头长度,营口港口非生产用码头长度,连云港港口生产用码头长度,连云港港口码头长度,连云港港口非生产用码头长度,青岛港口生产用码头长度,青岛港口码头长度,青岛港口非生产用码头长度
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,12762,14135,1323,628,628,0,9346,12591,1321,4423,4423,0,834,1002,92,2470,3065,595,0,0,0,350,350,0,741,741,0,43892,52036,4617,2007,2393,386,1625,1625,0,2070,2617,300,528,558,30,1308,1435,35,4595,6268,535
1980年,13763,15442,1639,631,631,0,9346,12601,1321,5312,5312,0,834,1020,110,2470,3208,738,0,0,0,350,350,0,779,779,0,46358,55066,5181,2007,2393,386,1625,1625,0,1983,2617,387,563,593,30,1402,1529,35,4828,6501,535
1981年,13541,15452,1911,631,631,0,9346,12601,1321,6168,6168,0,834,984,110,2578,3397,819,0,0,0,350,426,0,751,751,0,47126,55972,5534,2007,2393,386,1625,1625,0,2107,2618,387,563,593,30,1332,1367,35,4828,6501,535
1982年,13368,16138,2678,631,631,0,9546,12756,1476,6168,6168,0,1688,2007,279,2954,3773,819,0,0,0,350,438,12,751,751,0,48548,58497,6745,2007,2393,386,1660,1660,0,2107,2618,387,563,581,18,1462,1497,35,4828,6621,655
1983年,13483,16232,2657,631,631,0,9546,12779,1499,6168,6168,0,2058,2518,420,3190,4009,819,0,0,0,350,458,24,751,751,0,49932,60095,6951,2209,2616,407,1660,1660,0,2614,3125,387,563,581,18,1416,1481,65,4828,6621,655
1984年,13422,16128,2614,631,631,0,9546,12779,1499,5804,5804,0,2092,2493,401,0,0,0,0,0,0,2092,483,49,546,751,205,49687,59886,6962,2209,2459,250,1926,1926,0,2937,3448,387,563,581,18,1351,1481,65,4778,6571,655
1985年,13852,16862,2918,631,631,0,10856,14831,2241,6699,6699,0,2503,2940,437,0,0,0,0,0,0,490,623,49,856,1061,205,58057,69448,8154,3561,3811,250,1926,1926,0,3552,4063,387,563,581,18,1351,1481,65,6408,8216,670
1986年,13818,16217,2290,842,842,0,9306,15033,3998,7082,7419,337,3053,3586,533,4953,5134,181,0,0,0,620,753,49,1040,1270,230,76022,88197,12175,2707,2942,235,1926,2052,126,3552,4063,387,917,1013,96,1351,1416,65,6172,8328,1018
1987年,14517,17128,2611,842,842,0,9306,13304,3998,8007,8590,583,3304,3944,640,4856,4940,84,0,0,0,1095,1144,49,1040,1270,230,83691,97247,13556,3027,3648,621,1926,2052,126,4065,4452,387,1084,1173,89,2758,3140,382,6292,7190,898
