,上海港口泊位数,上海港口生产用泊位数,上海港口非生产用泊位数,八所港口泊位数,八所港口生产用泊位数,八所港口非生产用泊位数,大连港口泊位数,大连港口生产用泊位数,大连港口非生产用泊位数,天津港口泊位数,天津港口生产用泊位数,天津港口非生产用泊位数,宁波—舟山港口泊位数,宁波—舟山港口生产用泊位数,宁波—舟山港口非生产用泊位数,广州港口泊位数,广州港口生产用泊位数,广州港口非生产用泊位数,日照港口泊位数,日照港口生产用泊位数,日照港口非生产用泊位数,汕头港口泊位数,汕头港口生产用泊位数,汕头港口非生产用泊位数,沿海主要港口码头泊位数,海口港口泊位数,海口港口生产用泊位数,海口港口非生产用泊位数,港口生产用泊位数,港口非生产用泊位数,湛江港口泊位数,湛江港口生产用泊位数,湛江港口非生产用泊位数,烟台港口泊位数,烟台港口生产用泊位数,烟台港口非生产用泊位数,秦皇岛港口泊位数,秦皇岛港口生产用泊位数,秦皇岛港口非生产用泊位数,营口港口泊位数,营口港口生产用泊位数,营口港口非生产用泊位数,连云港港口泊位数,连云港港口生产用泊位数,连云港港口非生产用泊位数,青岛港口泊位数,青岛港口生产用泊位数,青岛港口非生产用泊位数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,107.0,95.0,11.0,4.0,4.0,,107.0,63.0,12.0,27.0,27.0,,19.0,13.0,5.0,24.0,14.0,10.0,,,,3.0,3.0,,415.0,10.0,10.0,,313.0,57.0,20.0,14.0,6.0,15.0,15.0,,17.0,11.0,4.0,10.0,8.0,2.0,13.0,9.0,2.0,36.0,24.0,5.0
1980年,114.0,101.0,12.0,4.0,4.0,,107.0,63.0,12.0,32.0,32.0,,20.0,13.0,6.0,26.0,14.0,12.0,,,,3.0,3.0,,437.0,11.0,11.0,,330.0,62.0,20.0,14.0,6.0,15.0,15.0,,17.0,10.0,5.0,10.0,8.0,2.0,16.0,12.0,2.0,37.0,25.0,5.0
1981年,112.0,97.0,15.0,4.0,4.0,,107.0,63.0,12.0,35.0,35.0,,20.0,13.0,6.0,27.0,14.0,13.0,,,,4.0,3.0,,433.0,10.0,10.0,,325.0,66.0,20.0,14.0,6.0,15.0,15.0,,17.0,11.0,5.0,10.0,8.0,2.0,11.0,9.0,2.0,36.0,24.0,5.0
1982年,120.0,96.0,22.0,4.0,4.0,,106.0,63.0,12.0,35.0,35.0,,23.0,15.0,7.0,29.0,16.0,13.0,,,,5.0,3.0,1.0,446.0,10.0,10.0,,328.0,75.0,20.0,14.0,6.0,15.0,15.0,,17.0,11.0,5.0,9.0,8.0,1.0,12.0,10.0,2.0,36.0,23.0,6.0
1983年,119.0,96.0,21.0,4.0,4.0,,107.0,63.0,13.0,35.0,35.0,,30.0,19.0,11.0,31.0,17.0,13.0,,,,6.0,3.0,2.0,460.0,10.0,10.0,,336.0,81.0,22.0,15.0,7.0,15.0,15.0,,19.0,13.0,5.0,9.0,8.0,1.0,12.0,10.0,2.0,36.0,23.0,6.0
1984年,117.0,96.0,19.0,4.0,4.0,,107.0,63.0,13.0,31.0,31.0,,30.0,20.0,10.0,,,,,,,7.0,3.0,3.0,454.0,10.0,6.0,4.0,330.0,81.0,20.0,15.0,5.0,16.0,16.0,,20.0,14.0,5.0,9.0,8.0,1.0,12.0,9.0,2.0,36.0,23.0,6.0
1985年,120.0,98.0,20.0,4.0,4.0,,112.0,67.0,14.0,34.0,34.0,,34.0,23.0,11.0,,,,,,,8.0,4.0,3.0,503.0,13.0,9.0,4.0,373.0,87.0,26.0,21.0,5.0,16.0,16.0,,22.0,16.0,5.0,9.0,8.0,1.0,12.0,9.0,2.0,42.0,29.0,6.0
1986年,165.0,98.0,64.0,5.0,5.0,,100.0,52.0,17.0,40.0,36.0,4.0,40.0,27.0,13.0,101.0,94.0,7.0,,,,9.0,5.0,3.0,869.0,13.0,9.0,4.0,686.0,183.0,20.0,16.0,4.0,17.0,16.0,1.0,22.0,16.0,5.0,13.0,8.0,5.0,11.0,9.0,2.0,44.0,31.0,5.0
1987年,172.0,102.0,70.0,5.0,5.0,,69.0,52.0,17.0,52.0,46.0,6.0,44.0,28.0,16.0,90.0,87.0,3.0,,,,14.0,11.0,3.0,887.0,13.0,9.0,4.0,759.0,128.0,24.0,18.0,6.0,17.0,16.0,1.0,23.0,18.0,5.0,14.0,10.0,4.0,20.0,16.0,4.0,36.0,31.0,5.0
