,上海港口万吨级泊位数,上海港口生产用万吨级泊位数,八所港口万吨级泊位数,八所港口生产用万吨级泊位数,大连港口万吨级泊位数,大连港口生产用万吨级泊位数,天津港口万吨级泊位数,天津港口生产用万吨级泊位数,宁波—舟山港口万吨级泊位数,宁波—舟山港口生产用万吨级泊位数,广州港口万吨级泊位数,广州港口生产用万吨级泊位数,日照港口万吨级泊位数,日照港口生产用万吨级泊位数,汕头港口万吨级泊位数,汕头港口生产用万吨级泊位数,沿海主要港口万吨级泊位数,海口港口万吨级泊位数,海口港口生产用万吨级泊位数,港口生产用万吨级泊位数,湛江港口万吨级泊位数,湛江港口生产用万吨级泊位数,烟台港口万吨级泊位数,烟台港口生产用万吨级泊位数,秦皇岛港口万吨级泊位数,秦皇岛港口生产用万吨级泊位数,营口港口万吨级泊位数,营口港口生产用万吨级泊位数,连云港港口万吨级泊位数,连云港港口生产用万吨级泊位数,青岛港口万吨级泊位数,青岛港口生产用万吨级泊位数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,50.0,50.0,2.0,2.0,23.0,23.0,12.0,12.0,,,12.0,12.0,,,,,138.0,0.0,,133.0,8.0,8.0,3.0,3.0,9.0,9.0,0.0,,5.0,5.0,14.0,9.0
1980年,50.0,50.0,2.0,2.0,23.0,23.0,17.0,17.0,,,12.0,12.0,,,,,144.0,,,139.0,8.0,8.0,3.0,3.0,9.0,9.0,,,5.0,5.0,15.0,10.0
1981年,48.0,48.0,2.0,2.0,23.0,23.0,20.0,20.0,,,13.0,13.0,,,,,146.0,,,141.0,8.0,8.0,3.0,3.0,9.0,9.0,,,5.0,5.0,15.0,10.0
1982年,45.0,45.0,2.0,2.0,23.0,23.0,20.0,20.0,3.0,3.0,15.0,15.0,,,,,148.0,,,143.0,8.0,8.0,3.0,3.0,9.0,9.0,,,5.0,5.0,15.0,10.0
1983年,45.0,45.0,2.0,2.0,23.0,23.0,20.0,20.0,4.0,4.0,16.0,16.0,,,,,153.0,,,148.0,9.0,9.0,3.0,3.0,11.0,11.0,,,5.0,5.0,15.0,10.0
1984年,44.0,44.0,2.0,2.0,23.0,23.0,20.0,20.0,4.0,4.0,,,,,,,153.0,,,148.0,9.0,9.0,3.0,3.0,12.0,12.0,,,5.0,5.0,15.0,10.0
1985年,46.0,46.0,2.0,2.0,25.0,25.0,23.0,23.0,5.0,5.0,,,,,,,178.0,,,173.0,15.0,15.0,3.0,3.0,14.0,14.0,,,5.0,5.0,21.0,16.0
1986年,45.0,45.0,3.0,3.0,25.0,25.0,24.0,24.0,7.0,7.0,,,,,,,197.0,,,197.0,13.0,13.0,3.0,3.0,14.0,14.0,1.0,1.0,5.0,5.0,16.0,16.0
1987年,47.0,47.0,3.0,3.0,25.0,25.0,24.0,24.0,8.0,8.0,,,,,,,212.0,,,212.0,13.0,13.0,3.0,3.0,16.0,16.0,1.0,1.0,11.0,11.0,16.0,16.0
1988年,48.0,48.0,3.0,3.0,28.0,28.0,26.0,26.0,10.0,10.0,22.0,22.0,,,,,226.0,,,226.0,13.0,13.0,3.0,3.0,16.0,16.0,1.0,1.0,11.0,11.0,16.0,16.0
1989年,55.0,55.0,3.0,3.0,28.0,28.0,26.0,26.0,10.0,10.0,22.0,22.0,,3.0,,,253.0,,,253.0,17.0,17.0,3.0,3.0,22.0,22.0,3.0,3.0,12.0,12.0,16.0,16.0
1990年,64.0,64.0,3.0,3.0,28.0,28.0,32.0,32.0,10.0,10.0,22.0,22.0,5.0,5.0,,,284.0,,,284.0,17.0,17.0,9.0,9.0,22.0,22.0,5.0,5.0,14.0,14.0,16.0,16.0
1991年,62.0,62.0,3.0,3.0,28.0,28.0,33.0,33.0,13.0,13.0,22.0,22.0,,,,,296.0,,,296.0,18.0,18.0,9.0,9.0,22.0,22.0,7.0,7.0,15.0,15.0,17.0,17.0
