,国家铁路其他平均运距,国家铁路化肥和农药平均运距,国家铁路平均运距,国家铁路木材平均运距,国家铁路棉花平均运距,国家铁路水泥平均运距,国家铁路焦炭平均运距,国家铁路煤平均运距,国家铁路盐平均运距,国家铁路石油平均运距,国家铁路矿建材料平均运距,国家铁路粮食平均运距,国家铁路金属矿石平均运距,国家铁路钢铁及有色金属平均运距,国家铁路非金属矿石平均运距
1978年,1155.5223652,555.48854041,496.172738436,1146.85774389,775.167785235,361.060142712,461.393728223,308.597768556,717.162698413,582.766514061,205.463420372,486.758732738,360.379103098,840.560271647,449.107286473
1979年,968.0,579.0,510.0,1151.0,821.0,365.0,518.0,399.0,626.0,558.0,205.0,598.0,333.0,828.0,430.0
1980年,972.0,711.0,526.0,1208.0,818.0,383.0,490.0,426.0,549.0,541.0,210.0,702.0,319.0,770.0,412.0
1981年,969.0,728.0,544.0,1227.0,861.0,395.0,534.0,445.0,601.0,576.0,218.0,721.0,306.0,769.0,418.0
1982年,1032.0,748.0,550.0,1203.0,950.0,412.0,534.0,456.0,619.0,572.0,244.0,695.0,300.0,759.0,412.0
1983年,1084.0,710.0,572.0,1237.0,1102.0,422.0,561.0,463.0,691.0,557.0,260.0,739.0,310.0,792.0,446.0
1984年,1147.0,724.0,597.0,1255.0,1175.0,417.0,555.0,479.0,710.0,557.0,265.0,791.0,332.0,841.0,477.0
1985年,1242.0,715.0,636.0,1335.0,1250.0,446.0,609.0,501.0,773.0,586.0,288.0,946.0,384.0,870.0,478.0
1986年,1256.3239362,708.762659621,661.787640203,1377.49584027,1331.0,422.961876833,617.857142857,521.596429782,858.665430955,600.447928331,310.66542081,911.782412384,405.818441744,879.14124824,488.735695574
1987年,1310.0,750.0,690.0,1410.0,1323.0,440.0,658.0,526.0,991.0,604.0,328.0,1034.0,408.0,890.0,493.0
1988年,1347.0,780.0,702.0,1371.0,1543.0,450.0,738.0,530.0,1065.0,605.0,332.0,1016.0,433.0,879.0,507.0
1989年,1371.0,817.0,707.0,1404.0,1755.0,488.0,749.0,519.0,1173.0,619.0,355.0,1008.0,477.0,914.0,537.0
1990年,1397.0,796.0,725.0,1469.0,1869.0,443.0,764.0,548.0,1114.0,643.0,354.0,1041.0,510.0,971.0,529.0
1991年,1438.0,859.0,740.0,1473.0,2030.0,442.0,746.0,545.0,1201.0,668.0,365.0,1076.0,484.0,970.0,513.0
1992年,1473.0,847.0,758.0,1501.0,1915.0,479.0,771.0,558.0,1048.0,689.0,391.0,1119.0,481.0,960.0,538.0
1993年,1547.47339742,813.0,761.0,1525.0,2595.0,512.0,797.0,549.0,910.0,708.0,473.0,1176.0,479.0,1001.0,572.0
1994年,1580.0,979.0,791.0,1592.0,2918.0,500.0,800.0,561.0,810.0,753.0,512.0,1338.0,470.0,1014.0,569.0
1995年,1343.89863383,994.224852071,805.54328317,1613.49924585,2891.12903226,477.556215528,778.618857902,560.770224327,801.395812562,1627.41035857,546.308277831,1339.94933691,478.172779289,1085.09435974,595.051917779
1996年,1600.0,1005.0,799.0,1597.0,2855.0,444.0,791.0,562.0,832.0,872.0,589.0,1385.0,493.0,1081.0,596.0
1997年,1603.0,1064.0,806.0,1655.0,2840.0,429.0,792.0,554.0,820.0,850.0,581.0,1444.0,483.0,1077.0,581.0
1998年,1588.0,1155.0,800.0,1695.0,2822.0,420.0,804.0,553.0,776.0,862.0,546.0,1429.0,458.0,1066.0,566.0
1999年,1594.85015013,1144.0,802.0,1696.0,3036.0,420.0,834.0,550.0,736.0,889.0,513.0,1417.0,472.0,1058.0,559.0
2000年,1590.0,1179.0,806.0,1712.0,2772.0,429.0,851.0,555.0,753.0,869.0,510.0,1276.0,473.0,1079.0,581.0
2001年,1544.0,1206.0,798.0,1736.0,3017.0,416.0,842.0,558.0,759.0,913.0,515.0,1321.0,517.0,1045.0,591.0
2002年,1527.53462896,1234.39919219,806.776568536,1759.06637028,3440.74074074,414.571746385,868.608587208,566.737526267,758.359872611,944.907272551,497.825328527,1382.51630041,548.953925016,1041.18105218,609.589041096
2003年,1531.5438579,1278.0,820.0,1764.0,3366.0,420.0,895.0,574.0,794.0,956.0,476.0,1348.0,574.0,1083.0,639.0
2004年,1536.8956743,1302.81602003,834.709463913,1772.84522706,3410.0,413.054054054,920.169703714,575.847192823,770.187793427,920.663094441,526.345536288,1499.11058133,619.090015011,1112.75259591,666.376414977
2005年,1565.0,1400.0,838.0,1531.0,3486.0,383.0,932.0,595.0,807.0,935.0,464.0,1493.0,625.0,1134.0,661.0
2006年,1573.0,1376.0,832.0,1484.0,3670.0,365.0,931.0,601.0,772.0,926.0,491.0,1536.0,605.0,1077.0,648.0
2007年,1584.23454583,1365.0,837.0,1385.0,3738.0,395.0,928.0,607.0,751.0,912.0,502.0,1597.0,626.0,1078.0,663.0
2008年,1674.30146863,1470.0,853.0,1409.0,3859.0,446.0,980.0,622.0,794.0,917.0,458.0,1739.0,648.0,1146.0,728.0
2009年,1667.65359845,1460.0,845.0,1425.0,3869.0,515.0,982.0,639.0,732.0,952.0,403.0,1749.0,652.0,1103.0,680.0
2010年,1671.0,1459.0,831.0,1361.0,3779.0,521.0,990.0,642.0,732.0,942.0,362.0,1802.0,652.0,1093.0,705.0
2011年,1681.80844647,1580.0,832.0,1104.0,3810.0,460.0,1031.0,653.0,700.0,898.0,373.0,1795.0,669.0,1090.0,708.0
2012年,1738.72246436,1630.0,835.0,1131.0,3701.0,427.0,1070.0,645.0,637.0,855.0,354.0,1817.0,653.0,1124.0,693.0
2013年,1805.42881363,1696.14867133,830.275754672,1122.41212922,3843.51839169,374.808869664,1033.55308815,646.737845091,641.998138022,850.52710503,312.286152545,1791.78376014,634.733743222,1107.76432596,687.986746222
2014年,1772.37003113,1734.74979112,814.156832234,1065.86259935,3878.26211982,387.281053117,1027.52273908,645.59941514,629.143916362,870.022578327,284.862698461,1764.67203825,576.218072927,1087.7392827,621.973307103
