,国家铁路主要货物运输量,国家铁路其他货物货运量,国家铁路化肥和农药货运量,国家铁路木材货运量,国家铁路棉花货运量,国家铁路水泥货运量,国家铁路焦炭货运量,国家铁路煤货运量,国家铁路盐货运量,国家铁路石油货运量,国家铁路矿建材料货运量,国家铁路粮食货运量,国家铁路金属矿石货运量,国家铁路钢铁及有色金属货运量,国家铁路非金属矿石货运量
1978年,107492.0,13056.0,1658.0,3803.0,149.0,1962.0,1435.0,40243.0,1008.0,6116.0,17004.0,2462.0,6489.0,5890.0,6217.0
1979年,109495.0,13641.0,1879.0,3958.0,142.0,2186.0,1406.0,41319.0,902.0,5928.0,16666.0,2835.0,6183.0,6386.0,6065.0
1980年,108584.0,13284.0,2213.0,4241.0,163.0,2363.0,1400.0,41478.0,931.0,5563.0,15843.0,3147.0,5901.0,6079.0,5977.0
1981年,104836.0,13349.0,2454.0,4033.0,182.0,2425.0,1296.0,41199.0,898.0,4978.0,13948.0,3428.0,5337.0,5518.0,5791.0
1982年,111048.0,13619.0,2500.0,4098.0,205.0,2501.0,1216.0,43846.0,898.0,5042.0,16275.0,3465.0,5646.0,5876.0,5862.0
1983年,116070.0,14563.0,2545.0,4296.0,199.0,2606.0,1301.0,46020.0,902.0,5379.0,16129.0,3560.0,6033.0,6239.0,6298.0
1984年,121215.0,15171.0,2675.0,4581.0,155.0,2775.0,1384.0,48708.0,929.0,5609.0,15865.0,3587.0,6430.0,6759.0,6585.0
1985年,127516.0,15534.0,2313.0,4714.0,150.0,3007.0,1575.0,51856.0,952.0,5811.0,15844.0,4503.0,6724.0,7453.0,7081.0
1986年,132219.0,16991.0,2271.0,4808.0,217.0,3410.0,1680.0,53106.0,1079.0,6251.0,14983.0,4651.0,6995.0,8524.0,7253.0
1987年,136949.0,18893.0,2665.0,4602.0,265.0,3458.0,1917.0,54343.0,1042.0,6569.0,14727.0,5544.0,7255.0,8492.0,7178.0
1988年,140553.0,20521.0,2895.0,4253.0,182.0,3287.0,2082.0,56480.0,1117.0,6463.0,14903.0,5464.0,7421.0,7944.0,7543.0
1989年,146805.0,20760.0,3158.0,4122.0,140.0,3529.0,2307.0,60891.0,1315.0,6458.0,14673.0,5319.0,7992.0,7942.0,8198.0
1990年,146210.0,19768.0,3368.0,3653.0,124.0,3475.0,2548.0,62870.0,1118.0,6534.0,12480.0,5432.0,8674.0,8304.0,7862.0
1991年,147898.0,20932.0,3750.0,3497.0,139.0,3706.0,2420.0,62603.0,1115.0,6553.0,11970.0,6216.0,8869.0,8311.0,7817.0
1992年,152317.0,22040.0,3818.0,3404.0,154.0,4076.0,2517.0,64108.0,1160.0,6698.0,11917.0,6409.0,9347.0,8499.0,8170.0
1993年,156660.0,19453.0,2933.0,3529.0,129.0,4853.0,3093.0,65336.0,1234.0,7044.0,12929.0,6606.0,9830.0,9854.0,9837.0
1994年,157155.0,19336.0,3693.0,3470.0,106.0,4871.0,3647.0,65943.0,1010.0,6912.0,11254.0,7548.0,10188.0,9739.0,9437.0
1995年,159346.0,23716.0,4225.0,3978.0,124.0,4714.0,3765.0,67357.0,1003.0,3765.0,10510.0,6711.0,10661.0,9379.0,9438.0
1996年,161678.0,18830.0,4136.0,3946.0,121.0,4250.0,3829.0,72058.0,1156.0,7307.0,9887.0,6023.0,11237.0,9490.0,9408.0
1997年,161880.0,18968.0,4186.0,3867.0,143.0,3898.0,3991.0,70345.0,1099.0,7722.0,10002.0,7087.0,11712.0,9896.0,8964.0
1998年,153208.0,17801.0,4905.0,3539.0,153.0,3710.0,4000.0,64081.0,1088.0,7873.0,10126.0,5541.0,11905.0,10088.0,8398.0
1999年,156881.0,17651.0,5414.0,3360.0,227.0,3861.0,3890.0,64917.0,1160.0,8703.0,10344.0,6464.0,12279.0,10453.0,8158.0
2000年,165498.0,18531.0,5189.0,3436.0,233.0,3900.0,4725.0,68545.0,1245.0,9391.0,9671.0,7935.0,13022.0,11537.0,8138.0
2001年,178592.0,19587.0,5601.0,3366.0,161.0,3930.0,4986.0,76625.0,1216.0,9852.0,9799.0,7090.0,14987.0,12894.0,8498.0
2002年,186894.0,18987.0,5942.0,3149.0,243.0,3596.0,5613.0,81852.0,1256.0,10299.0,8599.0,8282.0,16777.0,14123.0,8176.0
2003年,199076.0,20099.0,5660.0,3054.0,218.0,3652.0,7124.0,88132.0,1263.0,10765.0,7664.0,10138.0,18082.0,15280.0,7945.0
2004年,216961.0,21615.0,6392.0,3237.0,264.0,3700.0,7189.0,99210.0,1278.0,11944.0,7785.0,10906.0,19319.0,16083.0,8039.0
2005年,230920.0,20684.0,7163.0,3501.0,283.0,3470.0,7918.0,107082.0,1287.0,12667.0,7820.0,11082.0,22187.0,17536.0,8240.0
2006年,244395.0,21858.0,7417.0,3607.0,389.0,3799.0,8831.0,112034.0,1288.0,12743.0,8016.0,10111.0,25568.0,20059.0,8675.0
2007年,261239.2163,23104.5675,8151.586,3729.3787,386.2777,3540.5808,9327.1279,122080.6265,1355.7553,12701.8496,8031.5181,10471.3655,27577.3489,21593.7598,9187.474
2008年,273932.2601,21510.5514,7810.9284,2935.2205,388.1953,3549.2835,8774.7291,134325.0,1413.0336,12671.3016,9518.1666,11469.5294,29795.9458,20716.2651,9054.1098
2009年,276275.6635,20725.1743,8029.332,2475.5203,442.6392,3740.3508,8548.6477,132720.1535,1318.1458,12530.9528,10745.2436,9925.0198,35679.6734,21526.5372,7868.2731
2010年,308209.4553,22396.5477,8178.7021,2501.3553,397.2776,3526.4006,9494.1412,156019.9967,1379.3435,12847.4604,12553.4125,9692.3584,38087.7525,22428.0225,8706.6843
2011年,328135.9362,23355.8541,8308.3676,2813.9051,275.7619,3638.5174,9894.7195,172125.7362,1698.9127,12564.4969,12440.3526,9578.2853,39147.6502,22778.5638,9514.8129
2012年,322345.5782,22597.3327,8924.7122,2436.9361,388.5955,3425.6739,9337.8811,168515.2922,1532.4215,12652.417,11759.0814,9980.7448,40111.7638,21932.1803,8750.5457
2013年,321614.2714,21596.3575,8339.7167,2483.1804,436.5938,3568.5727,9996.6715,167945.6587,1500.2327,12731.7605,13547.9459,10446.7106,40187.3864,21569.8041,7263.6799
2014年,306259.312,21257.3486,7867.6824,2187.4205,495.9007,3416.525,9589.5361,164130.5731,1531.3714,12806.972,11890.8208,8260.3673,36708.3953,19664.7573,6451.6415
