,国家铁路其他货物周转量,国家铁路化肥和农药货物周转量,国家铁路木材货物周转量,国家铁路棉花货物周转量,国家铁路水泥货物周转量,国家铁路焦炭货物周转量,国家铁路煤货物周转量,国家铁路盐货物周转量,国家铁路石油货物周转量,国家铁路矿建材料货物周转量,国家铁路粮食货物周转量,国家铁路货物周转量,国家铁路金属矿石货物周转量,国家铁路钢铁及有色金属货物周转量,国家铁路非金属矿石货物周转量
1978年,1508.65,92.1,436.15,11.55,70.84,66.21,1241.89,72.29,356.42,349.37,119.84,5333.46,233.85,495.09,279.21
1979年,1319.92,108.72,455.58,11.62,79.9,72.78,1646.81,56.45,330.65,341.55,169.46,5588.68,205.91,528.64,260.69
1980年,1290.78,157.31,512.15,13.36,90.47,68.68,1766.69,51.07,300.74,332.9,220.97,5707.32,188.12,467.89,246.19
1981年,1293.41,178.71,494.64,15.68,95.84,69.17,1766.69,53.98,286.82,304.33,247.04,5701.34,163.57,424.36,242.1
1982年,1405.19,186.92,493.17,19.42,102.97,64.91,1997.64,55.58,288.45,396.78,240.83,6109.02,169.61,445.86,241.69
1983年,1578.88,180.62,531.52,21.94,110.04,73.0,2131.53,62.34,299.61,419.72,263.18,6634.45,187.25,494.25,280.59
1984年,1740.63,193.77,574.94,18.2,115.82,76.79,2335.49,66.0,312.63,421.13,283.63,7234.76,213.32,568.26,314.15
1985年,1929.89,165.47,629.33,18.81,134.23,95.94,2595.93,73.62,340.65,456.86,425.89,8111.6,258.21,648.07,338.73
1986年,2134.62,160.96,662.3,28.93,144.23,103.8,2769.99,92.65,375.34,465.47,424.07,8750.09,283.87,749.38,354.48
1987年,2474.14,199.82,648.89,34.5,151.98,126.09,2857.35,103.21,396.88,483.23,573.3,9455.65,295.76,756.06,353.94
1988年,2764.08,225.84,583.16,28.06,148.06,153.59,2995.14,118.99,391.17,494.85,555.35,9860.19,321.09,698.61,382.21
1989年,2846.77,258.14,578.87,24.64,172.2,172.76,3161.82,154.34,399.92,520.22,536.06,10372.95,381.06,726.2,439.94
1990年,2762.09,268.13,536.38,23.24,154.1,194.58,3446.4,124.55,420.03,441.72,565.48,10601.21,442.78,805.95,415.78
1991年,3010.63,322.07,515.24,28.27,163.67,180.61,3414.18,133.97,437.69,436.64,668.62,10948.07,429.45,806.22,400.81
1992年,3246.11,323.31,510.98,29.49,195.29,194.04,3577.09,121.53,461.78,466.44,716.99,11548.51,449.59,816.11,439.76
1993年,3010.3,238.41,538.01,33.48,248.27,246.54,3588.64,112.27,498.95,611.64,776.91,11923.41,470.78,986.14,563.07
1994年,3054.4,361.5,552.47,30.93,243.64,291.84,3699.71,81.8,520.62,576.09,1009.89,12426.0,478.69,987.92,536.5
1995年,3187.19,420.06,641.85,35.85,225.12,293.15,3777.18,80.38,612.72,574.17,899.24,12836.01,509.78,1017.71,561.61
1996年,3011.92,415.85,630.2,34.56,188.84,302.69,4048.47,96.16,636.93,582.0,834.14,12921.85,553.89,1025.68,560.52
