,国外部门金融交易资金运用_中央银行贷款,国外部门金融交易资金运用_保险准备金,国外部门金融交易资金运用_其他(净),国外部门金融交易资金运用_其他对外债权债务,国外部门金融交易资金运用_净金融投资,国外部门金融交易资金运用_准备金,国外部门金融交易资金运用_国际储备资产,国外部门金融交易资金运用_国际收支错误与遗漏,国外部门金融交易资金运用_存款,国外部门金融交易资金运用_库存现金,国外部门金融交易资金运用_未贴现的银行承兑汇票,国外部门金融交易资金运用_直接投资,国外部门金融交易资金运用_证券,国外部门金融交易资金运用_证券公司客户保证金,国外部门金融交易资金运用_证券投资基金份额,国外部门金融交易资金运用_贷款,国外部门金融交易资金运用_资金来源,国外部门金融交易资金运用_资金运用,国外部门金融交易资金运用_通货,国外部门金融交易资金运用_金融机构往来
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,-353.1,,,-456.2,,,,,,,,,,1210.5,,
1993年,,,,,658.08,,,-564.91,,,,,,,,,,2363.85,,
1994年,,,,,-662.04,,,-842.41,,,,,,,,,,4483.31,,
1995年,,,,,-136.8,,,-1487.34,,,,,,,,,,4167.12,,
1996年,,,,,-611.93,,,-1293.6,,,,,,,,,,4607.47,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,-60.61,-2358.8,,,-1372.35,-437.77,,,3622.26,63.34,,,-270.49,,1604.12,59.75,
1999年,,,,581.0,-1298.22,,,-1361.09,-122.0,,,3208.0,51.0,,,-45.0,,2447.0,135.09,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,,,,-209.94,-1435.66,,,-450.16,41.23,,,3661.76,70.27,,,-123.33,,3038.13,48.3,
2002年,,,,191.84877558,-2928.43885326,,,549.776670677,23.73992586,,,4081.22125629,186.14973,,,-342.63667848,,4785.4534956,95.3538156727,
2003年,,,,514.21905402,-3725.62527891,,,1376.73979809,61.45184157,,,3896.54003163,639.72933,,,547.46602485,,7184.22394326,148.077863099,
2004年,,,,1895.19749574,-5682.14959158,,,2135.12870297,128.169062112,,,4546.98282494,904.0914176,,,1138.29903398,,10846.8650017,98.9964643477,
2005年,,,,2358.5701559,-13503.8951738,,,-1373.43901716,982.576966679,,,6481.82442333,1666.683282,,,239.528093178,,10509.5460643,153.802160395,
2006年,,,,1551.0,-20300.0,,,-1027.0,839.0,,,6226.0,3417.0,,,880.0,,12068.0,182.0,
2007年,,,,2230.0,-25575.0,,,1159.0,2375.0,,,9778.0,886.0,,,1222.0,,17848.0,198.0,
2008年,,,,-1242.0,-31296.0,,,-1814.0,163.0,,,10271.0,522.0,,16.0,2016.0,,10456.0,247.0,276.0
2009年,,,,2241.0,-20911.0,,,-2975.0,383.0,,,5341.0,193.0,,,256.0,,6300.0,243.0,617.0
2010年,,,0.26,3382.61889993,-25773.1182577,,,-4040.0160753,637.425911,,,12529.0409946,344.793770125,-18.5927895526,-19.1069493051,,,14202.7457423,390.44621802,998.135762778
2011年,,,,2965.0,-13234.0,,,-2259.0,2219.0,,,14224.0,343.0,-45.0,24.0,1245.0,,25258.0,370.0,6172.0
2012年,,,39.0,3040.0,-12408.0,,,-5014.0,519.0,,,15932.0,1979.0,-22.0,165.0,-310.0,,12539.0,235.0,-4025.0
2013年,,,60.3431570174,4886.08736844,-11463.1376299,,,-4788.00228444,1154.1640227,,,15925.8427819,2057.71311115,-5.2459173897,22.851335,259.040430029,,28411.0362352,234.923853006,8603.31837775
2014年,,,,,,,,,,,,,,,,,,,,
