,国外部门金融交易资金来源_中央银行贷款,国外部门金融交易资金来源_保险准备金,国外部门金融交易资金来源_其他(净),国外部门金融交易资金来源_其他对外债权债务,国外部门金融交易资金来源_净金融投资,国外部门金融交易资金来源_准备金,国外部门金融交易资金来源_国际储备资产,国外部门金融交易资金来源_国际收支错误与遗漏,国外部门金融交易资金来源_存款,国外部门金融交易资金来源_库存现金,国外部门金融交易资金来源_未贴现的银行承兑汇票,国外部门金融交易资金来源_直接投资,国外部门金融交易资金来源_证券,国外部门金融交易资金来源_证券公司客户保证金,国外部门金融交易资金来源_证券投资基金份额,国外部门金融交易资金来源_贷款,国外部门金融交易资金来源_资金来源,国外部门金融交易资金来源_资金运用,国外部门金融交易资金来源_通货,国外部门金融交易资金来源_金融机构往来
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,-117.0,,,,,,,,,,1563.6,,,
1993年,,,,,,,101.83,,,27.66,,,,,,,1705.77,,,
1994年,,,,,,,2631.01,,,2.07,,,,,,,5145.35,,,
1995年,,,,,,,1877.41,,,1.67,,,,,,,4303.92,,,
1996年,,,,,,,2631.52,,,9.65,,,,,,,5219.4,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,-3.98,3154.17,,,532.01,,-52.86,-1.31,,218.06,,,,116.85,3962.93,,,
1999年,,,,3540.0,,,704.0,,-1061.0,131.22,,147.0,,,,284.0,3745.22,,,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,,,,988.35,,,3917.01,,215.17,50.84,,569.89,,,,-1267.47,4473.79,,,
2002年,,,,603.71138511,,,6249.7193562,,192.517904278,13.2721534824,,208.44854739,,,,446.2230024,7713.89234886,,,
2003年,,,,1846.9041213,,,9686.001987,,501.906011335,40.4117195152,,-12.60371898,,,,-1152.770898,10909.8492222,,,
2004年,,,,172.376526896,,,17080.335552,,-1572.13191901,-100.334488463,,149.400626704,,,,799.368295152,16529.0145933,,,
2005年,,,,4242.79017517,,,16958.129672,,845.165704614,-23.1309154553,,926.128043896,,,,1064.35855788,24013.4412381,,,
2006年,,,,10825.0,,,19692.0,,790.0,33.0,,1421.0,,,,-393.0,32369.0,,,
2007年,,,,8154.0,,,32618.0,,168.0,-187.0,,1201.0,,,,1470.0,43423.0,,,
2008年,,,,2401.0,,,29119.0,,2411.0,,,3716.0,,,,2820.0,41752.0,,,1286.0
2009年,,,,-1922.0,,,27216.0,,,,,2999.0,,,,3448.0,27211.0,,,-4530.0
2010年,,,,2377.86886162,,,31934.3734471,,,,,4071.89990297,,,,1814.201419,39976.864,,,-221.479630602
2011年,,,,1530.0,,,25057.0,,3026.0,30.0,,3211.0,-71.0,,,1417.0,38492.0,,,4291.0
2012年,,,,4529.0,,,6069.0,,2527.0,43.0,,3919.0,-128.0,,,2624.0,24947.0,,,5363.0
2013年,,,,6531.32730388,,,26605.9559719,,3278.5117724,22.0711830263,,4517.43077312,156.107250514,,,2670.96359421,39874.173865,,,-3908.19398399
2014年,,,,,,,,,,,,,,,,,,,,
