,中外合作经营餐饮业企业主营业务税金及附加,中外合资经营餐饮业企业主营业务税金及附加,其他外商投资餐饮业企业主营业务税金及附加,其他有限责任公司餐饮业企业主营业务税金及附加,其他港澳台商投资餐饮业企业主营业务税金及附加,其他联营餐饮业企业主营业务税金及附加,其他餐饮业企业主营业务税金及附加,其他餐饮服务业主营业务税金及附加,内资餐饮业企业主营业务税金及附加,国有与集体联营餐饮业企业主营业务税金及附加,国有独资公司餐饮业企业主营业务税金及附加,国有联营餐饮业企业主营业务税金及附加,国有餐饮业企业主营业务税金及附加,外商投资股份有限公司餐饮业企业主营业务税金及附加,外商投资餐饮业企业主营业务税金及附加,外资餐饮业企业主营业务税金及附加,快餐服务业主营业务税金及附加,有限责任公司餐饮业企业主营业务税金及附加,正餐服务业主营业务税金及附加,港、澳、台商合作经营餐饮业企业主营业务税金及附加,港、澳、台商合资经营餐饮业企业主营业务税金及附加,港、澳、台商投资股份有限公司餐饮业企业主营业务税金及附加,港、澳、台商投资餐饮业企业主营业务税金及附加,港、澳、台商独资经营餐饮业企业主营业务税金及附加,私营合伙餐饮业企业主营业务税金及附加,私营有限责任公司餐饮业企业主营业务税金及附加,私营独资餐饮业企业主营业务税金及附加,私营股份有限公司餐饮业企业主营业务税金及附加,私营餐饮业企业主营业务税金及附加,联营餐饮业企业主营业务税金及附加,股份合作餐饮业企业主营业务税金及附加,股份有限公司餐饮业企业主营业务税金及附加,集体联营餐饮业企业主营业务税金及附加,集体餐饮业企业主营业务税金及附加,餐饮业企业主营业务税金及附加,饮料及冷饮服务业主营业务税金及附加
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
