,合同利用合作经营企业外商直接投资项目,合同利用合资经营企业外商直接投资项目,合同利用外商投资股份制企业外商直接投资项目,合同利用外商直接投资项目,合同利用外资企业外商直接投资项目,合同利用外资项目
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,470.0,,522.0
1984年,,,,1856.0,,1894.0
1985年,,,,3073.0,,3145.0
1986年,,,,1498.0,,1551.0
1987年,,,,2233.0,,2289.0
1988年,,,,5945.0,,6063.0
1989年,,,,5779.0,,5909.0
1990年,,,,7273.0,,7371.0
1991年,,,,12978.0,,13086.0
1992年,,,,48764.0,,48858.0
1993年,,,,83437.0,,83595.0
1994年,,,,47549.0,,47646.0
1995年,,,,37011.0,,37184.0
1996年,,,,24556.0,,24673.0
1997年,2373.0,9001.0,6.0,21001.0,9602.0,21138.0
1998年,2003.0,8107.0,9.0,19799.0,9673.0,19850.0
1999年,1656.0,7050.0,3.0,16918.0,8201.0,17022.0
2000年,1757.0,8378.0,8.0,22347.0,12196.0,22347.0
2001年,1589.0,8893.0,11.0,26140.0,15643.0,26140.0
2002年,1595.0,10380.0,19.0,34171.0,22173.0,34171.0
2003年,1547.0,12521.0,37.0,41081.0,26943.0,41081.0
2004年,1343.0,11570.0,43.0,43664.0,30708.0,43664.0
2005年,1166.0,10480.0,47.0,44001.0,32308.0,44001.0
2006年,1036.0,10223.0,50.0,41473.0,30164.0,41473.0
2007年,641.0,7649.0,38.0,37871.0,29543.0,37871.0
2008年,468.0,4612.0,38.0,27514.0,22396.0,27514.0
2009年,390.0,4283.0,21.0,23435.0,18741.0,23435.0
2010年,300.0,4970.0,51.0,27406.0,22085.0,27406.0
2011年,284.0,5005.0,35.0,27712.0,22388.0,27712.0
2012年,166.0,4355.0,52.0,24925.0,20352.0,24925.0
2013年,142.0,4476.0,30.0,22773.0,18125.0,22773.0
2014年,104.0,4824.0,41.0,23778.0,18809.0,23778.0
