,政府部门实物交易资金运用_其他经常转移,政府部门实物交易资金运用_其他财产收入,政府部门实物交易资金运用_其他资本转移,政府部门实物交易资金运用_其他非金融资产获得减处置,政府部门实物交易资金运用_净出口,政府部门实物交易资金运用_净金融投资,政府部门实物交易资金运用_初次分配总收入,政府部门实物交易资金运用_利息,政府部门实物交易资金运用_劳动者报酬,政府部门实物交易资金运用_单位社会保险付款,政府部门实物交易资金运用_可支配总收入,政府部门实物交易资金运用_固定资本形成总额,政府部门实物交易资金运用_地租,政府部门实物交易资金运用_增加值,政府部门实物交易资金运用_存货增加,政府部门实物交易资金运用_居民消费,政府部门实物交易资金运用_工资及工资性收入,政府部门实物交易资金运用_总储蓄,政府部门实物交易资金运用_投资性补助,政府部门实物交易资金运用_收入税,政府部门实物交易资金运用_政府消费,政府部门实物交易资金运用_最终消费,政府部门实物交易资金运用_生产税,政府部门实物交易资金运用_生产税净额,政府部门实物交易资金运用_生产补贴,政府部门实物交易资金运用_社会保险福利,政府部门实物交易资金运用_社会保险缴款,政府部门实物交易资金运用_社会补助,政府部门实物交易资金运用_红利,政府部门实物交易资金运用_经常转移,政府部门实物交易资金运用_财产收入,政府部门实物交易资金运用_资本形成总额,政府部门实物交易资金运用_资本转移
2005年,107.696206806,77.09694438,4.37,-3179.87587442,,-336.739235076,,1255.00275301,14470.6103312,,,8385.82629281,,,,,,,1781.96573482,,26398.83,26398.83,,418.313423205,,5400.8,668.1,2179.35,,8355.94620681,1332.09969739,8385.82629281,1786.33573482
2006年,118.053453548,102.3743,6.56557448,-4345.77284914,,1897.65655334,,1796.04044692,16651.8328917,,,10231.4299703,,,,,,,1965.08540191,,30528.4,30528.4,,486.012615578,,6477.4,960.4,2735.81,,10291.6634535,1898.41474692,10231.4299703,1971.65097639
2007年,163.60585808,164.9,16.3957448,-6611.31469939,,8462.73198398,,2380.48320734,20640.858298,,,11571.3723819,,,,,,,2507.65918761,,35900.4,35900.4,,594.439565351,,7887.9,1218.87,3269.44989,,12539.8257481,2545.38320734,11571.3723819,2524.05493241
2008年,182.575175881,267.1745,18.64611084,-4421.97327849,,5735.98970136,,3587.13707345,23889.80345,,,14713.1292579,,,351.6415,,,,3162.56915715,,41752.1,41752.1,,498.230582127,,9925.1,1560.83,5061.73,,16730.2351759,3854.31157345,15064.7707579,3181.21526799
2009年,390.16261801,317.468364227,13.662,-7530.59622031,,2044.98878817,,3813.80055298,27499.1301262,,,19306.9918218,,,267.258912427,,,,3817.29234894,,45690.2,45690.2,,210.165919134,,12302.6,1694.7,6136.6139,,20524.076518,4131.26891721,19574.2507343,3830.95434894
2010年,873.51460946,378.4277,12.52695975,-11799.5328113,,6076.57405985,,4621.56753316,30784.8287044,,,22557.0573326,,,342.982385405,,,,5174.52257057,,53356.4,53356.4,,256.797758201,,16207.243134,3244.9,6011.70478654,,26337.36253,4999.99523316,22900.039718,5187.04953032
2011年,965.108624144,632.8924,11.254200648,-9033.18675862,,8408.06858512,,6156.00194344,34400.0215202,,,23433.5747805,,,434.785893932,,,,6219.44472476,,63154.9,63154.9,,300.843121006,,20363.89,5416.3794,7444.17553155,,34189.5535557,6788.89434344,23868.3606744,6230.69892541
2012年,859.217705143,846.947,17.5275914556,-6317.9859414,,6453.7862701,,6850.58267918,33604.9797657,,,25744.1575223,,,378.270560792,,,,6622.54401218,,71409.0,71409.0,,261.886275101,,23930.6977,6349.4244,8541.909033,,39681.2488381,7697.52967918,26122.4280831,6640.07160363
2013年,385.046083939,,86.2349345561,-7461.68717393,,4393.48954548,,5760.18804621,37081.8730996,,,27879.7917688,,,382.816784808,,,,7707.34359611,,81245.9,81245.9,,286.134288323,,28743.9264,7425.7608,9899.63709129,,46454.3703752,5760.18804621,28262.6085537,7793.57853067
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
