,其他费用固定资产投资价格指数(上年=100),固定资产投资价格指数(上年=100),建筑安装工程固定资产投资价格指数(上年=100),设备工器具购置固定资产投资价格指数(上年=100)
1978年,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0
1990年,112.4,108.0,106.9,109.1
1991年,116.8,109.5,109.7,106.1
1992年,120.9,115.3,116.8,109.4
1993年,123.4,126.6,131.3,119.7
1994年,112.1,110.4,110.4,109.5
1995年,112.4,105.9,104.7,106.3
1996年,104.3,104.0,105.1,101.6
1997年,102.9,101.7,102.9,98.1
1998年,100.4,99.8,100.5,97.5
1999年,99.9,99.6,100.3,97.5
2000年,101.0,101.1,102.4,97.4
2001年,101.0,100.4,101.4,97.0
2002年,101.2,100.2,101.0,97.0
2003年,101.6,102.2,104.2,97.0
2004年,103.5,105.6,108.2,99.4
2005年,103.2,101.6,101.8,99.4
2006年,103.3,101.5,101.3,100.7
2007年,104.18,103.9,105.1,100.15
2008年,105.38,108.9,112.9,100.55
2009年,102.4,97.6,96.3,97.6
2010年,103.1,103.6,104.9,100.3
2011年,104.0,106.6,109.2,101.1
2012年,102.24,101.12,101.6,98.9
2013年,101.73,100.25,100.31,99.0
2014年,101.43,100.51,100.59,99.65
