,专用设备制造业工业生产者出厂价格指数(上年=100),交通运输设备制造业工业生产者出厂价格指数(上年=100),仪器仪表及文化、办公用机械制造业工业生产者出厂价格指数(上年=100),农副食品加工业工业生产者出厂价格指数(上年=100),化学原料及化学制品制造业工业生产者出厂价格指数(上年=100),化学纤维制造业工业生产者出厂价格指数(上年=100),医药制造业工业生产者出厂价格指数(上年=100),印刷业和记录媒介的复制工业生产者出厂价格指数(上年=100),塑料制品业工业生产者出厂价格指数(上年=100),家具制造业工业生产者出厂价格指数(上年=100),工业生产者出厂价格指数(上年=100),工艺品及其他制造业工业生产者出厂价格指数(上年=100),废弃资源和废旧材料回收加工业工业生产者出厂价格指数(上年=100),文教体育用品制造业工业生产者出厂价格指数(上年=100),有色金属冶炼及压延加工业工业生产者出厂价格指数(上年=100),有色金属矿采选业工业生产者出厂价格指数(上年=100),木材加工及木、竹、藤、棕、草制品业工业生产者出厂价格指数(上年=100),橡胶制品业工业生产者出厂价格指数(上年=100),水的生产和供应业工业生产者出厂价格指数(上年=100),烟草制品业工业生产者出厂价格指数(上年=100),煤炭开采和洗选业工业生产者出厂价格指数(上年=100),燃气生产和供应业工业生产者出厂价格指数(上年=100),电力、热力的生产和供应业工业生产者出厂价格指数(上年=100),电气机械及器材制造业工业生产者出厂价格指数(上年=100),皮革、毛皮、羽毛(绒)及其制品业工业生产者出厂价格指数(上年=100),石油加工、炼焦及核燃料加工业工业生产者出厂价格指数(上年=100),石油和天然气开采业工业生产者出厂价格指数(上年=100),纺织业工业生产者出厂价格指数(上年=100),纺织服装、鞋、帽制造业工业生产者出厂价格指数(上年=100),通信设备、计算机及其他电子设备制造业工业生产者出厂价格指数(上年=100),通用设备制造业工业生产者出厂价格指数(上年=100),造纸及纸制品业工业生产者出厂价格指数(上年=100),金属制品业工业生产者出厂价格指数(上年=100),非金属矿物制品业工业生产者出厂价格指数(上年=100),非金属矿采选业工业生产者出厂价格指数(上年=100),食品制造业工业生产者出厂价格指数(上年=100),饮料制造业工业生产者出厂价格指数(上年=100),黑色金属冶炼及压延加工业工业生产者出厂价格指数(上年=100),黑色金属矿采选业工业生产者出厂价格指数(上年=100)
1978年,,,,,,,,,,,100.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,101.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,100.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,100.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,101.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,108.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,103.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,107.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,118.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,104.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,106.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,106.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,119.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,114.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,102.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,99.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,95.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,97.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,102.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,98.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,97.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,102.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
